,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,000959.SZ,首钢股份,普钢,9.9537,4.75,"北京纳木纳尼资产管理有限公司
香港中央结算有限公司(陆股通)"
1,000088.SZ,盐田港,港口,9.9796,5.4,"中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划"
2,300318.SZ,博晖创新,医疗保健,9.9831,6.5,中央汇金资产管理有限责任公司
3,603825.SH,华扬联众,互联网,9.9932,32.14,"中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
东方富海(芜湖)二号股权投资基金(有限合伙)
中国建设银行股份有限公司-易方达信息产业混合型证券投资基金
平安资产-工商银行-鑫享3号资产管理产品
全国社保基金四一三组合
东方富海(芜湖)股权投资基金(有限合伙)"
4,300364.SZ,中文在线,出版业,10.0,7.48,
5,600211.SH,西藏药业,中成药,10.0,61.49,
6,603608.SH,天创时尚,服饰,10.0,10.78,富荣基金-王伟军-富荣王伟军单一资产管理计划
7,300494.SZ,盛天网络,互联网,10.0051,21.55,"中国工商银行股份有限公司-南方大数据100指数证券投资基金
深圳创富兆业金融管理有限公司-创富福星云产业私募证券投资基金"
8,603069.SH,海汽集团,公路,10.0154,14.28,
9,603863.SH,松炀资源,造纸,10.0215,15.37,
10,002331.SZ,皖通科技,软件服务,10.0332,13.27,
11,600824.SH,益民集团,百货,10.0515,4.27,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金"
