,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300859.SZ,300859,西域旅游,旅游服务,31.11,12.0,2.0,12.06,,0.0
1,601456.SH,601456,国联证券,证券,16.43,10.0,0.0,78.16,,0.0
2,002991.SZ,002991,甘源食品,食品,141.15,9.0,0.0,32.89,,0.0
3,300857.SZ,300857,协创数据,IT设备,37.98,9.0,1.0,19.61,,0.0
4,002995.SZ,002995,天地在线,互联网,71.2,8.0,0.0,11.51,,0.0
5,600543.SH,600543,莫高股份,红黄酒,10.69,8.0,1.0,34.33,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
6,603167.SH,603167,渤海轮渡,水运,19.39,8.0,2.0,90.3,"交通银行股份有限公司-景顺长城中证红利低波动100交易型开放式指数证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金
中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)",5.0
7,002108.SZ,002108,沧州明珠,塑料,7.4,8.0,2.0,104.93,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
深圳福星资本管理有限公司-福星高照1号私募投资基金
中央汇金资产管理有限责任公司",3.0
8,300858.SZ,300858,科拓生物,食品,89.1,7.0,0.0,18.38,,0.0
9,300855.SZ,300855,图南股份,钢加工,49.01,7.0,0.0,24.5,,0.0
10,002506.SZ,002506,协鑫集成,电气设备,4.88,7.0,0.0,247.61,"香港中央结算有限公司(陆股通)
长城(德阳)超日项目基金合伙企业(有限合伙)
天津融境股权投资基金中心(有限合伙)",3.0
11,600363.SH,600363,联创光电,元器件,25.15,6.0,1.0,111.53,,0.0
12,300278.SZ,300278,华昌达,专用机械,5.93,6.0,0.0,17.9,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托",2.0
13,002919.SZ,002919,名臣健康,日用化工,39.93,6.0,2.0,16.88,,0.0
14,300368.SZ,300368,汇金股份,IT设备,15.51,6.0,2.0,79.06,中央汇金资产管理有限责任公司,1.0
15,600139.SH,600139,西部资源,综合类,4.28,6.0,0.0,28.33,,0.0
16,002993.SZ,002993,奥海科技,元器件,62.34,6.0,3.0,28.18,,0.0
17,605188.SH,605188,国光连锁,超市连锁,13.6,6.0,0.0,6.74,,0.0
18,605388.SH,605388,均瑶健康,软饮料,28.31,5.0,3.0,19.82,,0.0
19,600166.SH,600166,福田汽车,汽车整车,2.7,5.0,0.0,177.53,中央汇金资产管理有限责任公司,1.0
20,002417.SZ,002417,深南股份,软件服务,9.76,5.0,0.0,22.39,,0.0
21,605399.SH,605399,晨光新材,化工原料,21.19,5.0,0.0,9.75,,0.0
22,002651.SZ,002651,利君股份,专用机械,9.19,5.0,0.0,48.44,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
23,002009.SZ,002009,天奇股份,工程机械,11.64,5.0,0.0,43.13,"云南国际信托有限公司-云南信托-招信智赢19号集合资金信托计划
创金合信基金-包商银行-华润深国投信托-天奇持股计划1期集合资金信托计划",2.0
24,600158.SH,600158,中体产业,文教休闲,14.63,5.0,2.0,96.19,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
25,600165.SH,600165,新日恒力,化工原料,7.5,5.0,0.0,51.37,"上海迎水投资管理有限公司-迎水绿洲7号私募证券投资基金
华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划
国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划
国通信托有限责任公司-国通信托·紫金8号集合资金信托计划",4.0
26,600151.SH,600151,航天机电,汽车配件,7.9,5.0,0.0,113.31,"招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
27,605333.SH,605333,沪光股份,汽车配件,11.17,5.0,3.0,4.48,,0.0
28,002992.SZ,002992,宝明科技,元器件,37.0,5.0,0.0,12.77,,0.0
29,300099.SZ,300099,精准信息,电器仪表,8.43,5.0,0.0,38.02,,0.0
30,000505.SZ,000505,京粮控股,食品,14.08,5.0,1.0,57.18,"招商基金-国新投资有限公司-招商基金-国新1号单一资产管理计划
鑫牛润瀛(天津)股权投资基金管理有限公司-鑫牛润瀛(天津)股权投资基金合伙企业(有限合伙)",2.0
31,601216.SH,601216,君正集团,化工原料,8.41,5.0,0.0,709.64,"香港中央结算有限公司(陆股通)
中信信诚资产-招商银行-诚融聚荷1号资产管理计划
中央汇金资产管理有限责任公司",3.0
32,605118.SH,605118,力鼎光电,元器件,21.3,5.0,0.0,8.73,,0.0
33,605158.SH,605158,华达新材,钢加工,13.0,4.0,0.0,12.79,,0.0
34,603931.SH,603931,格林达,化工原料,40.99,4.0,3.0,10.43,,0.0
35,002288.SZ,002288,超华科技,元器件,9.46,4.0,2.0,75.71,天风天成资管-招商证券-天风天成科瑞集合资产管理计划,1.0
