,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE
0,000868.SZ,*ST安凯,汽车整车,4.74,3.54,67.17
1,600052.SH,浙江广厦,影视音像,4.85,2.33,71.3
2,600223.SH,鲁商发展,区域地产,7.3,4.84,79.4
3,300256.SZ,星星科技,元器件,5.68,3.11,80.12
4,300058.SZ,蓝色光标,广告包装,6.27,2.25,103.77
5,600812.SH,华北制药,化学制药,6.81,2.22,103.85
6,002512.SZ,达华智能,元器件,6.28,2.06,106.4
7,002291.SZ,星期六,服饰,7.72,2.97,109.34
8,600143.SH,金发科技,塑料,7.2,2.26,110.55
9,002045.SZ,国光电器,元器件,8.72,2.98,118.18
10,002524.SZ,光正集团,医疗保健,10.82,4.52,118.92
11,000158.SZ,常山北明,软件服务,7.82,2.43,119.28
12,002351.SZ,漫步者,IT设备,8.71,2.71,124.92
13,002634.SZ,棒杰股份,服饰,9.73,3.33,128.54
14,002600.SZ,领益智造,元器件,9.92,2.74,134.66
15,300214.SZ,日科化学,化工原料,9.26,2.66,136.56
16,300345.SZ,红宇新材,钢加工,10.8,2.36,144.85
17,600984.SH,建设机械,工程机械,10.15,2.61,149.76
18,300202.SZ,聚龙股份,专用机械,13.82,4.52,164.77
19,300433.SZ,蓝思科技,元器件,13.34,3.9,165.57
20,300093.SZ,金刚玻璃,玻璃,11.96,2.54,166.13
21,603477.SH,振静股份,纺织,14.61,4.56,168.9
22,600696.SH,ST岩石,区域地产,13.13,2.6,170.54
23,002552.SZ,宝鼎科技,机械基件,20.45,6.43,174.93
24,002655.SZ,共达电声,元器件,12.17,2.65,179.04
25,002213.SZ,特尔佳,汽车配件,10.58,2.02,180.23
26,603456.SH,九洲药业,化学制药,13.8,2.91,189.62
27,300306.SZ,远方信息,电器仪表,13.09,2.5,195.96
28,300192.SZ,科斯伍德,文教休闲,13.68,2.26,202.16
29,000066.SZ,中国长城,IT设备,15.24,2.99,202.17
30,601808.SH,中海油服,石油开采,14.3,2.36,211.19
31,300326.SZ,凯利泰,医疗保健,14.7,2.67,212.8
32,300363.SZ,博腾股份,化学制药,13.45,2.09,213.3
33,300012.SZ,华测检测,电器仪表,14.19,2.23,213.42
34,002241.SZ,歌尔股份,元器件,17.84,3.95,214.41
35,300078.SZ,思创医惠,元器件,13.88,2.11,215.66
36,002201.SZ,九鼎新材,玻璃,20.59,4.35,217.89
37,603012.SH,创力集团,专用机械,16.1,2.33,218.72
38,002785.SZ,万里石,其他建材,14.56,2.27,219.56
39,000038.SZ,深大通,广告包装,11.42,2.16,227.33
40,002705.SZ,新宝股份,家用电器,15.55,2.55,235.07
41,000043.SZ,中航善达,房产服务,19.26,3.3,238.86
42,002036.SZ,联创电子,元器件,14.77,2.01,244.77
43,002050.SZ,三花智控,机械基件,14.5,2.09,258.21
44,300476.SZ,胜宏科技,元器件,15.67,2.18,258.69
45,002607.SZ,中公教育,文教休闲,18.7,2.17,274.27
46,002123.SZ,梦网集团,互联网,20.54,3.27,278.0
47,002626.SZ,金达威,食品,17.46,2.09,286.91
48,002463.SZ,沪电股份,元器件,24.67,3.86,287.8
49,300369.SZ,绿盟科技,软件服务,18.74,2.13,290.28
50,600146.SH,商赢环球,服饰,20.27,2.37,291.17
51,603566.SH,普莱柯,生物制药,21.18,2.61,293.99
52,300537.SZ,广信材料,染料涂料,19.31,2.04,302.68
53,002653.SZ,海思科,化学制药,20.0,2.27,310.83
54,603787.SH,新日股份,摩托车,24.1,3.2,316.74
55,300322.SZ,硕贝德,通信设备,21.92,2.58,323.36
56,600183.SH,生益科技,元器件,24.79,2.87,331.65
57,300551.SZ,古鳌科技,专用机械,22.58,2.08,336.07
58,300639.SZ,凯普生物,医疗保健,23.07,3.05,336.59
59,002791.SZ,坚朗五金,其他建材,24.29,2.76,340.41
60,603936.SH,博敏电子,元器件,21.39,2.61,349.29
61,603976.SH,正川股份,医疗保健,22.42,2.37,355.36
62,002568.SZ,百润股份,红黄酒,23.6,2.35,355.97
63,300468.SZ,四方精创,软件服务,25.54,2.75,359.21
64,300566.SZ,激智科技,元器件,23.8,2.33,362.71
65,300632.SZ,光莆股份,半导体,21.78,2.05,370.43
66,300462.SZ,华铭智能,专用机械,27.9,2.52,412.52
67,300416.SZ,苏试试验,电器仪表,27.95,2.52,414.53
68,300526.SZ,中潜股份,服饰,46.58,4.93,422.91
69,603811.SH,诚意药业,化学制药,28.1,2.28,425.15
70,002800.SZ,天顺股份,仓储物流,28.88,2.44,432.86
71,603129.SH,春风动力,摩托车,29.85,2.23,454.21
72,300735.SZ,光弘科技,通信设备,26.59,2.36,468.16
73,300379.SZ,东方通,软件服务,36.1,3.36,470.41
74,002861.SZ,瀛通通讯,通信设备,28.41,2.02,472.54
75,002475.SZ,立讯精密,元器件,31.96,2.26,481.93
76,002850.SZ,科达利,机械基件,30.12,2.08,483.61
77,000526.SZ,紫光学大,文教休闲,33.26,2.72,485.82
78,002881.SZ,美格智能,通信设备,31.49,2.18,485.96
79,002353.SZ,杰瑞股份,化工机械,30.69,2.01,496.59
80,002458.SZ,益生股份,农业综合,33.78,3.07,532.65
81,300525.SZ,博思软件,软件服务,38.02,4.01,545.25
82,603516.SH,淳中科技,通信设备,34.94,2.12,555.85
83,300492.SZ,山鼎设计,建筑工程,60.84,6.1,565.53
