,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
620,002158.SZ,汉钟精机,工程机械,3.0,3.0,10.016,10.0324,539720.3
605,002143.SZ,印纪传媒,影视音像,2.0,2.0,10.096,10.0917,350684.6008
51,000068.SZ,华控赛格,元器件,2.0,3.0,7.923,10.0,509375.7608
2119,300749.SZ,顶固集创,家居用品,2.0,3.0,6.927,9.9924,82821.0
2255,600157.SH,永泰能源,煤炭开采,2.0,2.0,10.213,10.2564,2671545.9951
41,000055.SZ,方大集团,其他建材,2.0,3.0,7.022,9.9174,360847.0369
2575,600552.SH,凯盛科技,玻璃,1.0,2.0,6.066,10.0756,333817.3093
2622,600604.SH,市北高新,园区开发,1.0,2.0,5.514,10.0418,1052671.7346
1501,300116.SZ,坚瑞沃能,电气设备,1.0,2.0,5.137,10.274,208353.8025
2407,600331.SH,宏达股份,铅锌,1.0,2.0,5.301,10.1382,485648.0
2309,600218.SH,全柴动力,农用机械,1.0,1.0,10.0,10.0,231209.385
2271,600175.SH,美都能源,综合类,1.0,2.0,5.368,9.8712,627465.6023
2631,600614.SH,鹏起科技,综合类,1.0,1.0,10.065,10.0649,1024788.6321
2785,600783.SH,鲁信创投,矿物制品,1.0,2.0,7.083,10.0,1432891.641
1929,300549.SZ,优德精密,专用机械,1.0,1.0,10.0,10.0,97513.3632
2822,600825.SH,新华传媒,出版业,1.0,2.0,5.334,9.9265,624842.9343
1742,300358.SZ,楚天科技,医疗保健,1.0,1.0,10.0,10.0,188789.1711
1236,002782.SZ,可立克,电气设备,1.0,3.0,4.158,9.9738,535482.0
1405,300019.SZ,硅宝科技,化工原料,1.0,1.0,10.049,10.0486,184156.544
1190,002733.SZ,雄韬股份,电气设备,1.0,14.0,5.441,9.9946,662657.5535
1082,002622.SZ,融钰集团,电气设备,1.0,1.0,10.089,10.089,311624.0285
1066,002606.SZ,大连电瓷,电气设备,1.0,1.0,10.041,10.0413,323093.9472
1025,002565.SZ,顺灏股份,造纸,1.0,1.0,10.096,10.0962,313655.3291
970,002509.SZ,天广中茂,专用机械,1.0,1.0,10.122,10.1215,575875.2638
643,002181.SZ,粤传媒,出版业,1.0,1.0,10.0,10.0,586501.6423
464,002002.SZ,鸿达兴业,化工原料,1.0,1.0,10.065,10.0649,864163.9803
302,000780.SZ,平庄能源,煤炭开采,1.0,2.0,7.255,10.1493,374279.0336
186,000610.SZ,西安旅游,旅游服务,1.0,2.0,6.454,9.9741,199713.2789
158,000571.SZ,新大洲A,综合类,1.0,1.0,10.035,10.0346,256456.3705
126,000533.SZ,万家乐,电气设备,1.0,2.0,4.95,9.901,228072.4992
3243,603220.SH,贝通信,通信设备,1.0,2.0,6.23,9.9965,266661.52
