,ts_code,symbol,name,industry,COL_JUMP_OFF_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002647.SZ,002647,仁东控股,多元金融,-83.92979256895372,58.4,,0.0
1,600086.SH,600086,退金钰,,-81.55339805825243,2.01,"易方达基金-农业银行-易方达中证金融资产管理计划
天风证券-湖北省国有资本运营有限公司-天风证券天权50号定向资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
上海国际信托有限公司-上信-浦银股益4号集合资金信托计划",7.0
2,603222.SH,603222,济民制药,化学制药,-79.52941176470588,44.13,深圳前海正帆投资管理有限公司-正帆敏行4号私募证券投资基金,1.0
3,603655.SH,603655,朗博科技,汽车配件,-77.45264130602187,25.12,"益家资本管理有限公司-益家聚美1号私募证券投资基金
益家资本管理有限公司-益家聚美3号私募证券投资基金",2.0
4,000007.SZ,000007,全新好,酒店餐饮,-73.44573234984195,12.54,,0.0
5,600687.SH,600687,退刚泰,,-72.11538461538463,4.47,"上海淮茂股权投资基金管理合伙企业(有限合伙)
华润深国投信托有限公司-华润信托·韶夏增利39号单一资金信托
浙江汇通刚泰股权投资基金合伙企业(有限合伙)",3.0
6,002781.SZ,002781,奇信股份,装修装饰,-71.24999999999999,18.32,"深圳市旭达基金管理有限公司-旭达三角梅1号私募证券投资基金
深圳市旭达基金管理有限公司-旭达紫罗兰1号私募证券投资基金
深圳市前海宏泰恒信基金管理有限公司-宏泰牛刀1号私募证券投资基金
深圳雪杉基金管理有限公司-雪杉潜渊2号私募证券投资基金
深圳市前海宏泰恒信基金管理有限公司-靖宣二号私募基金",5.0
7,002862.SZ,002862,实丰文化,文教休闲,-69.16699565732334,11.64,深圳安泰量子资产管理有限公司-安泰汉唐云界一号私募证券投资基金,1.0
8,300312.SZ,300312,邦讯技术,通信设备,-67.42788461538461,10.8,深圳市鼎益丰基金投资管理有限公司-鼎益丰天河1号私募证券投资基金,1.0
9,002071.SZ,002071,*ST长城,影视音像,-67.14285714285714,2.4,,0.0
