code,name,p_change_range0,p_change_range1,normalizing_std,mark,stop_mark
002631,德尔未来,-4.947,10.339,0.028,-51.147033,
002540,亚太科技,-3.106,10.094,0.021,-31.351963999999995,
600530,交大昂立,-0.994,9.93,0.028,-9.87042,
000717,韶钢松山,-3.32,9.883,0.024,-32.81155999999999,
600298,安琪酵母,-0.692,9.714,0.024,-6.722087999999999,
000932,华菱钢铁,-5.605,9.663,0.022,-54.161115,
002023,海特高新,-2.458,9.63,0.025,-23.670540000000003,
300483,沃施股份,-0.951,9.366,0.025,-8.907065999999999,
600585,海螺水泥,-0.427,8.579,0.024,-3.6632330000000004,
600808,马钢股份,-0.789,8.508,0.027,-6.712812,
000756,新华制药,-2.475,8.275,0.021,-20.480625,
600740,山西焦化,-3.335,8.224,0.014,-27.42704,
300091,金通灵,-0.573,7.713,0.027,-4.419549,
600775,南京熊猫,-3.632,7.693,0.027,-27.940976,
300190,维尔利,-1.256,7.281,0.029,-9.144936,
000158,常山北明,-3.668,6.882,0.026,-25.243176,
002133,广宇集团,-0.205,6.795,0.027,-1.3929749999999999,
600282,南钢股份,-1.042,6.664,0.018,-6.943888,
300150,世纪瑞尔,-2.796,6.577,0.025,-18.389291999999998,
002665,首航节能,-2.573,6.562,0.022,-16.884026,
601009,南京银行,-0.358,6.265,0.029,-2.24287,
600578,京能电力,-0.567,6.074,0.023,-3.4439579999999994,
002028,思源电气,-1.061,6.012,0.021,-6.378731999999999,
300149,量子高科,-2.034,5.914,0.024,-12.029075999999998,
002057,中钢天源,-0.679,5.906,0.025,-4.010174,
600548,深高速,-0.459,5.859,0.023,-2.6892810000000003,
600817,*ST宏盛,-2.088,5.824,0.024,-12.160512,
300137,先河环保,-2.769,5.803,0.022,-16.068507,
002350,北京科锐,-2.297,5.776,0.025,-13.267472,
002424,贵州百灵,-1.574,5.771,0.027,-9.083554,
002773,康弘药业,-3.126,5.649,0.027,-17.658774,
600533,栖霞建设,-0.896,5.635,0.027,-5.04896,
002637,赞宇科技,-0.769,5.607,0.026,-4.311783,
600262,北方股份,-2.433,5.45,0.019,-13.25985,
002097,山河智能,-1.216,5.442,0.02,-6.617472,
600036,招商银行,-2.813,5.333,0.016,-15.001729000000001,
002564,天沃科技,-1.645,5.312,0.024,-8.738240000000001,
002330,得利斯,-1.513,5.273,0.023,-7.978048999999999,
600831,广电网络,-0.25,5.258,0.028,-1.3145,
600566,济川药业,-0.978,5.116,0.026,-5.003448,
600280,中央商场,-1.772,5.065,0.021,-8.97518,
300273,和佳股份,-3.745,4.868,0.02,-18.23066,
600507,方大特钢,-2.568,4.773,0.021,-12.257064,
600104,上汽集团,-0.275,4.735,0.016,-1.3021250000000002,
300441,鲍斯股份,-3.513,4.689,0.028,-16.472457,
600805,悦达投资,-0.882,4.657,0.026,-4.107474,
300072,三聚环保,-0.32,4.605,0.013,-1.4736000000000002,
300124,汇川技术,-3.464,4.445,0.026,-15.397480000000002,
002779,中坚科技,-0.78,4.444,0.012,-3.46632,
601877,正泰电器,-0.683,4.402,0.019,-3.0065660000000003,
600129,太极集团,-0.195,4.315,0.017,-0.8414250000000001,
600483,福能股份,-0.489,4.244,0.014,-2.075316,
601229,上海银行,-0.589,4.234,0.012,-2.493826,
300035,中科电气,-0.156,4.018,0.021,-0.6268079999999999,
300359,全通教育,-2.71,3.964,0.027,-10.74244,
600146,商赢环球,-2.049,3.949,0.02,-8.091501,
002747,埃斯顿,-3.511,3.946,0.02,-13.854406,
000958,东方能源,-0.001,3.839,0.017,-0.003839,
000976,华铁股份,-0.802,3.808,0.015,-3.054016,
002030,达安基因,-0.062,3.76,0.024,-0.23312,
002069,獐子岛,-2.845,3.697,0.017,-10.517965,
300204,舒泰神,-2.328,3.629,0.021,-8.448312,
002623,亚玛顿,-0.36,3.578,0.029,-1.28808,
601238,广汽集团,-0.392,3.575,0.018,-1.4014000000000002,
600776,东方通信,-2.184,3.572,0.025,-7.801248000000001,
000078,海王生物,-2.376,3.505,0.014,-8.327879999999999,
300274,阳光电源,-2.831,3.501,0.018,-9.911330999999999,
002119,康强电子,-3.047,3.476,0.025,-10.591372,
601668,中国建筑,-1.425,3.447,0.01,-4.911975,
002571,德力股份,-2.141,3.396,0.028,-7.270836,
000043,中航地产,-1.147,3.353,0.014,-3.8458910000000004,
002243,通产丽星,-3.247,3.351,0.015,-10.880697,
601618,中国中冶,-1.077,3.343,0.01,-3.600411,
601886,江河集团,-0.23,3.309,0.008,-0.76107,
000895,双汇发展,-2.228,3.234,0.029,-7.205352,
000898,鞍钢股份,-1.566,3.225,0.012,-5.05035,
300289,利德曼,-0.001,3.221,0.02,-0.0032210000000000003,
002485,希努尔,-0.659,3.105,0.013,-2.046195,
300481,濮阳惠成,-2.435,3.07,0.021,-7.4754499999999995,
600200,江苏吴中,-3.459,3.069,0.015,-10.615671,
600926,杭州银行,-0.871,2.968,0.016,-2.585128,
600377,宁沪高速,-0.101,2.934,0.015,-0.29633400000000004,
002672,东江环保,-0.99,2.926,0.025,-2.8967400000000003,
002537,海联金汇,-2.975,2.873,0.011,-8.547175000000001,
002206,海 利 得,-2.785,2.872,0.017,-7.99852,
002267,陕天然气,-1.307,2.84,0.017,-3.71188,
600665,天地源,-0.753,2.832,0.023,-2.1324959999999997,
000697,炼石有色,-1.981,2.794,0.024,-5.5349140000000006,
000821,京山轻机,-0.744,2.789,0.012,-2.075016,
002022,科华生物,-1.336,2.744,0.026,-3.6659840000000004,
300660,江苏雷利,-0.713,2.738,0.022,-1.952194,
300108,吉药控股,-2.04,2.709,0.013,-5.52636,
002675,东诚药业,-4.3,2.633,0.022,-11.3219,
000619,海螺型材,-0.14,2.622,0.018,-0.36708,
002021,中捷资源,-0.261,2.604,0.023,-0.679644,
002177,御银股份,-2.26,2.52,0.015,-5.6952,
600188,兖州煤业,-0.071,2.497,0.028,-0.17728699999999997,
002110,三钢闽光,-1.935,2.492,0.021,-4.82202,
600884,杉杉股份,-1.665,2.432,0.014,-4.0492799999999995,
601288,农业银行,-0.519,2.404,0.009,-1.247676,
000965,天保基建,-0.001,2.4,0.021,-0.0024,
002513,蓝丰生化,-0.003,2.362,0.012,-0.007086,
600663,陆家嘴,-0.99,2.306,0.008,-2.28294,
000799,酒鬼酒,-1.649,2.291,0.016,-3.777859,
002841,视源股份,-0.717,2.222,0.029,-1.5931739999999999,
002359,北讯集团,-1.589,2.215,0.015,-3.5196349999999996,
000020,深华发Ａ,-6.32,2.188,0.024,-13.828160000000002,
600727,鲁北化工,-2.438,2.18,0.021,-5.314840000000001,
300400,劲拓股份,-0.269,2.172,0.015,-0.5842680000000001,
601010,文峰股份,-0.532,2.155,0.016,-1.14646,
000421,南京公用,-0.19,2.128,0.014,-0.40432,
300426,唐德影视,-1.937,2.069,0.014,-4.007653,
002225,濮耐股份,-0.223,2.058,0.013,-0.45893399999999995,
002228,合兴包装,-0.223,2.031,0.022,-0.45291300000000007,
002826,易明医药,-2.051,2.022,0.019,-4.1471219999999995,
300741,华宝股份,-1.922,1.989,0.018,-3.822858,
600301,ST南化,-1.443,1.949,0.011,-2.8124070000000003,
600218,全柴动力,-0.96,1.943,0.016,-1.86528,
002627,宜昌交运,-0.374,1.942,0.021,-0.726308,
600175,美都能源,-1.177,1.922,0.008,-2.262194,
300512,中亚股份,-1.131,1.916,0.016,-2.166996,
601398,工商银行,-1.336,1.861,0.008,-2.4862960000000003,
600519,贵州茅台,-0.735,1.858,0.014,-1.3656300000000001,
300133,华策影视,-0.989,1.818,0.025,-1.798002,
002017,东信和平,-1.257,1.783,0.025,-2.2412309999999995,
002493,荣盛石化,-0.263,1.76,0.017,-0.46288,
600869,智慧能源,-1.515,1.738,0.01,-2.63307,
002442,龙星化工,-0.09,1.701,0.012,-0.15309,
300595,欧普康视,-2.527,1.684,0.026,-4.2554680000000005,
601939,建设银行,-1.608,1.645,0.008,-2.64516,
600575,皖江物流,-0.27,1.626,0.005,-0.43902,
000705,浙江震元,-0.385,1.594,0.023,-0.6136900000000001,
600083,博信股份,-1.237,1.547,0.012,-1.913639,
600782,新钢股份,-0.004,1.522,0.021,-0.0060880000000000005,
600004,白云机场,-1.822,1.516,0.01,-2.762152,
000529,广弘控股,-3.002,1.448,0.014,-4.346895999999999,
600383,金地集团,-0.082,1.43,0.009,-0.11726,
000726,鲁 泰Ａ,-0.281,1.354,0.008,-0.3804740000000001,
600039,四川路桥,-1.604,1.353,0.007,-2.1702120000000003,
002712,思美传媒,-5.949,1.334,0.02,-7.9359660000000005,
600247,*ST成城,-3.042,1.331,0.017,-4.048902,
600713,南京医药,-0.191,1.328,0.013,-0.25364800000000004,
600351,亚宝药业,-0.654,1.325,0.027,-0.86655,
300452,山河药辅,-1.002,1.263,0.028,-1.265526,
002757,南兴装备,-2.17,1.243,0.017,-2.6973100000000003,
000408,藏格控股,-0.789,1.218,0.007,-0.961002,
300291,华录百纳,-0.19,1.179,0.007,-0.22401000000000001,
600582,天地科技,-0.689,1.17,0.019,-0.8061299999999999,
600064,南京高科,-0.063,1.16,0.012,-0.07307999999999999,
002459,天业通联,-0.24,1.145,0.005,-0.2748,
601328,交通银行,-1.286,1.142,0.005,-1.4686119999999998,
300234,开尔新材,-3.971,1.126,0.026,-4.471346,
000030,富奥股份,-0.555,1.116,0.016,-0.6193800000000002,
300628,亿联网络,-1.57,1.114,0.02,-1.7489800000000002,
002566,益盛药业,-0.345,1.062,0.019,-0.36639,
300144,宋城演艺,-0.69,0.991,0.016,-0.6837899999999999,
002370,亚太药业,-2.064,0.989,0.02,-2.041296,
002473,*ST圣莱,-1.117,0.989,0.024,-1.104713,
002698,博实股份,-0.834,0.927,0.022,-0.773118,
600168,XD武汉控,-0.8,0.92,0.014,-0.7360000000000001,
