code,name,pe,past_p_change,past_average_turnover,stop_mark
300110,华仁药业,267.62,-43.586,7.377,
600112,*ST天成,105.28,-39.274,2.5,
002512,达华智能,140.34,-37.549,7.773,
002729,好利来,86.32,-37.281,10.753,
002694,顾地科技,315.2,-36.078,14.913,
601600,中国铝业,43.12,-35.102,2.73,
300566,激智科技,55.9,-34.411,3.683,
002188,ST巴士,15.79,-31.636,5.323,
600634,富控互动,81.85,-31.297,9.62,
000663,永安林业,121.48,-30.66,9.12,
002012,凯恩股份,124.64,-28.428,4.507,
600212,江泉实业,108.62,-25.197,1.147,
601700,风范股份,33.13,-24.583,4.627,
601360,三六零,4774.36,-24.202,6.297,
002517,恺英网络,20.36,-23.812,4.283,
600715,文投控股,57.85,-23.695,2.877,
300680,隆盛科技,109.7,-20.304,9.373,
300492,山鼎设计,322.3,-20.253,5.773,
000806,银河生物,2419.58,-18.599,6.247,
002508,老板电器,28.72,-18.394,1.747,
000979,中弘股份,121.77,-17.937,1.047,
002606,大连电瓷,47.31,-17.445,13.743,
300042,朗科科技,68.88,-16.204,0.657,
002684,猛狮科技,70.79,-12.534,2.88,
000662,天夏智慧,39.3,-12.408,1.193,
600803,新奥股份,28.46,-12.149,0.613,
002251,步 步 高,55.01,-11.678,1.183,
600829,人民同泰,25.3,-11.624,0.577,
600664,哈药股份,33.08,-11.403,0.71,
601838,成都银行,11.43,-11.291,12.123,
600804,鹏博士,26.37,-11.265,2.15,
000723,美锦能源,20.31,-11.198,3.283,
300069,金利华电,126.36,-11.052,1.44,
300143,星普医科,42.84,-10.758,1.613,
002926,华西证券,32.81,-10.477,11.937,
000586,汇源通信,2487.27,-10.387,0.823,
002330,得利斯,617.35,-10.332,0.943,
300580,贝斯特,29.92,-9.012,3.36,
300326,凯利泰,28.95,-8.713,0.587,
002288,超华科技,101.66,-8.482,1.55,
300547,川环科技,33.51,-8.423,2.777,
002071,长城影视,30.51,-8.338,0.93,
002663,普邦股份,52.6,-8.262,1.6,
002453,天马精化,607.3,-7.979,0.71,
600892,大晟文化,43.92,-7.773,1.067,
300495,美尚生态,31.91,-7.771,1.45,
000815,美利云,1802.72,-7.414,1.59,
600074,ST保千里,10.15,-7.348,4.91,
300010,立思辰,106.5,-7.056,1.9,
600122,宏图高科,17.24,-6.948,3.087,
601101,昊华能源,10.67,-6.849,0.917,
000835,长城动漫,54.15,-6.693,0.847,
000932,华菱钢铁,6.36,-6.462,2.0,
000007,全新好,361.03,-6.193,2.42,
600188,兖州煤业,10.92,-5.874,1.09,
002442,龙星化工,59.91,-5.705,1.207,
000018,神州长城,17.78,-5.449,1.14,
002124,天邦股份,24.43,-5.4,0.763,
002596,海南瑞泽,88.08,-5.273,5.303,
601939,建设银行,7.37,-5.145,1.077,
300107,建新股份,98.52,-5.067,7.36,
300237,美晨生态,24.62,-4.983,0.51,
600695,绿庭投资,127.4,-4.936,1.103,
300247,乐金健康,63.0,-4.734,1.933,
000006,深振业Ａ,23.7,-4.674,3.707,
600971,恒源煤电,7.58,-4.538,1.687,
300282,汇冠股份,38.44,-4.459,0.663,
600643,爱建集团,24.04,-4.199,1.87,
002892,科力尔,41.99,-3.966,9.593,
002160,常铝股份,32.41,-3.957,1.963,
300737,科顺股份,42.53,-3.902,19.783,
002617,露笑科技,35.74,-3.847,0.653,
002035,华帝股份,38.73,-3.83,1.35,
002037,久联发展,46.24,-3.588,1.653,
600959,江苏有线,32.08,-3.397,0.52,
300273,和佳股份,68.82,-3.369,1.673,
300471,厚普股份,42.0,-3.339,3.237,
000537,广宇发展,129.56,-2.954,1.84,
000593,大通燃气,369.81,-2.82,1.497,
000711,京蓝科技,46.56,-2.791,1.013,
600581,八一钢铁,10.07,-2.733,6.293,
601669,中国电建,14.3,-2.616,0.55,
002521,齐峰新材,27.03,-2.449,1.297,
002471,中超控股,50.55,-2.447,0.663,
002081,金 螳 螂,17.81,-2.259,0.68,
002768,国恩股份,38.28,-2.193,1.553,
002087,新野纺织,14.27,-2.125,0.74,
601666,平煤股份,10.3,-1.986,1.073,
601225,陕西煤业,7.56,-1.973,0.557,
002010,传化智联,168.14,-1.939,0.607,
300262,巴安水务,19.61,-1.854,1.03,
000983,西山煤电,15.62,-1.828,0.79,
002839,张家港行,21.53,-1.558,9.233,
002455,百川股份,36.4,-1.546,1.573,
002053,云南能投,36.9,-1.5,0.833,
002033,丽江旅游,19.39,-1.256,1.623,
002398,建研集团,25.67,-1.214,4.087,
300363,博腾股份,57.62,-1.157,0.813,
000587,金洲慈航,15.31,-1.138,1.233,
000584,哈工智能,104.93,-1.088,0.67,
000898,鞍钢股份,10.89,-1.058,0.703,
600054,黄山旅游,21.63,-1.041,0.563,
002418,康盛股份,39.38,-1.014,0.927,
600383,金地集团,18.67,-0.944,0.647,
300522,世名科技,34.32,-0.922,2.147,
002048,宁波华翔,15.07,-0.921,0.737,
600282,南钢股份,6.86,-0.859,1.977,
600569,安阳钢铁,8.69,-0.856,1.91,
600887,伊利股份,28.61,-0.803,0.957,
601001,大同煤业,11.38,-0.647,0.913,
000989,九 芝 堂,24.94,-0.647,1.28,
600782,新钢股份,11.96,-0.617,2.303,
600853,龙建股份,50.9,-0.609,0.62,
600708,光明地产,15.18,-0.575,0.73,
002146,荣盛发展,12.45,-0.474,0.997,
000036,华联控股,7.05,-0.466,0.913,
000001,平安银行,8.62,-0.424,0.543,
600790,轻纺城,14.37,-0.352,0.893,
002833,弘亚数控,29.77,-0.293,2.41,
002101,广东鸿图,20.89,-0.254,0.953,
600231,凌钢股份,8.46,-0.246,1.123,
601699,潞安环能,13.61,-0.218,2.583,
600908,无锡银行,13.71,-0.139,1.437,
002807,江阴银行,19.43,-0.133,2.37,
600984,建设机械,35.61,-0.117,0.667,
002023,海特高新,117.65,-0.108,1.793,
000910,大亚圣象,18.51,-0.084,0.557,
002756,永兴特钢,23.91,-0.082,1.31,
002477,雏鹰农牧,13.67,-0.004,1.287,
