code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
002509,天广中茂,3.661,-49.888,3.797,0.022,4.8,★,
300116,坚瑞沃能,0.251,-48.293,3.847,0.041,4.085,★,
600715,文投控股,7.047,-27.766,2.64,0.016,9.79,★,
002212,南洋股份,1.003,-23.931,1.313,0.018,15.27,,
000655,*ST金岭,0.466,-22.057,0.853,0.007,4.238,★,
000550,江铃汽车,6.009,-22.037,0.523,0.017,13.925,,
000816,智慧农业,3.597,-21.915,6.59,0.054,3.068,,
002027,分众传媒,5.441,-21.855,2.8,0.034,10.753,,
600113,浙江东日,2.206,-21.775,3.397,0.02,10.34,,
600191,华资实业,0.143,-21.484,0.83,0.019,6.58,,
002555,三七互娱,0.882,-20.97,0.837,0.01,14.825,★,
300657,弘信电子,16.021,-20.026,30.173,0.055,42.24,,
601116,三江购物,6.526,-19.962,2.063,0.033,18.322,,
002264,新 华 都,4.414,-19.703,3.2,0.036,8.647,,
300083,劲胜智能,1.56,-19.291,3.4,0.045,5.508,,
300677,英科医疗,1.94,-19.274,13.683,0.036,57.425,,
002860,星帅尔,3.836,-18.84,4.043,0.034,35.935,,
600196,复星医药,3.211,-18.633,1.11,0.007,39.018,★,
000151,中成股份,1.099,-18.585,10.743,0.021,15.255,,
000532,华金资本,2.556,-18.213,3.187,0.018,12.663,,
002110,三钢闽光,1.59,-17.605,2.127,0.028,17.622,,
601238,广汽集团,5.994,-17.452,0.157,0.023,17.78,,
600532,宏达矿业,1.663,-17.236,2.05,0.01,7.375,★,
002213,特 尔 佳,0.404,-17.215,1.617,0.009,12.308,,
300156,神雾环保,6.294,-16.89,4.807,0.022,12.875,,
000935,四川双马,9.59,-16.49,3.143,0.057,19.285,,
300128,锦富技术,1.879,-16.226,1.173,0.019,8.852,,
300104,乐视网,1.075,-16.067,9.357,0.06,5.085,,
300618,寒锐钴业,8.597,-15.45,3.247,0.052,161.402,,
600833,第一医药,10.521,-14.899,1.223,0.024,11.988,,
002234,民和股份,8.392,-14.756,1.19,0.029,9.985,,
600741,华域汽车,2.23,-14.715,0.487,0.012,22.373,★,
000509,华塑控股,2.75,-14.58,1.613,0.019,3.26,,
002476,宝莫股份,2.62,-14.54,0.737,0.02,5.455,★,
300484,蓝海华腾,4.405,-14.306,3.07,0.012,16.152,,
000418,小天鹅Ａ,12.564,-14.155,0.627,0.038,61.827,,
600176,中国巨石,2.464,-14.07,0.917,0.019,13.893,,
