,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300720.SZ,300720,海川智能,电器仪表,32.35,4.0,2.0,5.0,13.52,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
1,000816.SZ,000816,智慧农业,农用机械,2.52,5.0,2.0,5.0,33.67,香港中央结算有限公司(陆股通),1.0
2,300286.SZ,300286,安科瑞,电器仪表,25.62,4.0,2.0,5.0,44.14,中央汇金资产管理有限责任公司,1.0
3,300403.SZ,300403,汉宇集团,家用电器,9.96,2.0,2.0,4.0,37.94,"中国建设银行股份有限公司-大成中证红利指数证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金
中国银行股份有限公司-易方达中证红利交易型开放式指数证券投资基金",5.0
4,300514.SZ,300514,友讯达,通信设备,21.74,2.0,2.0,4.0,33.24,,0.0
5,601995.SH,601995,中金公司,证券,41.47,2.0,2.0,4.0,107.94,,0.0
6,300843.SZ,300843,胜蓝股份,元器件,48.94,2.0,2.0,4.0,18.22,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",2.0
7,000550.SZ,000550,江铃汽车,汽车整车,22.33,3.0,1.0,3.0,115.77,中央汇金资产管理有限责任公司,1.0
8,603919.SH,603919,金徽酒,白酒,37.7,5.0,1.0,3.0,185.22,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央企业贫困地区产业投资基金股份有限公司
甘肃长城兴陇丝路基金管理有限公司-甘肃长城兴陇丝路基金(有限合伙)
贫困地区产业发展基金有限公司
光大兴陇信托有限责任公司-光大-融金1号证券投资集合资金信托计划",6.0
9,300274.SZ,300274,阳光电源,电气设备,45.78,2.0,2.0,3.0,496.34,"香港中央结算有限公司(陆股通)
全国社保基金四一三组合
中央汇金资产管理有限责任公司
挪威中央银行-自有资金
交通银行股份有限公司-工银瑞信互联网加股票型证券投资基金
基本养老保险基金一二零六组合
上海浦东发展银行股份有限公司-易方达裕祥回报债券型证券投资基金
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
上海浦东发展银行股份有限公司-广发高端制造股票型发起式证券投资基金",9.0
