,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_LIMIT,COL_FLOAT_HOLDERS
0,600397.SH,600397,安源煤业,煤炭开采,2.81,True,True,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
1,000573.SZ,000573,粤宏远A,区域地产,3.17,True,True,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
2,601599.SH,601599,鹿港文化,影视音像,3.19,True,True,
3,601600.SH,601600,中国铝业,铝,3.29,True,True,"中国信达资产管理股份有限公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
4,601106.SH,601106,中国一重,工程机械,3.3,True,True,"中国华融资产管理股份有限公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划"
5,002285.SZ,002285,世联行,房产服务,3.44,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
6,600794.SH,600794,保税科技,仓储物流,3.57,True,True,
7,000407.SZ,000407,胜利股份,供气供热,3.77,True,True,"平安资产-工商银行-平安资产鑫享7号保险资产管理产品
平安资产-工商银行-鑫享3号资产管理产品"
8,000965.SZ,000965,天保基建,区域地产,3.78,True,True,"长江证券资管-天津市万博咨询有限公司-长江资管万博红日1号单一资产管理计划
中信建投证券-天津市万博咨询有限公司-中信建投万博咨询单一资产管理计划
国投大成投资基金(北京)有限公司"
9,000560.SZ,000560,我爱我家,房产服务,3.8,True,True,
10,601598.SH,601598,中国外运,仓储物流,3.85,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
11,300117.SZ,300117,嘉寓股份,装修装饰,3.94,True,True,中央汇金资产管理有限责任公司
12,002936.SZ,002936,郑州银行,银行,4.02,True,True,
13,000698.SZ,000698,沈阳化工,化工原料,4.1,True,True,"领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中央汇金资产管理有限责任公司"
14,601669.SH,601669,中国电建,建筑工程,4.15,True,True,"建信基金-工商银行-陕西省国际信托-陕国投·财富尊享30号定向投资集合资金信托计划
诺德基金-民生银行-诺德千金209号特定客户资产管理计划
国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
民生加银基金-平安银行-嘉兴民臻投资合伙企业(有限合伙)"
15,601099.SH,601099,太平洋,证券,4.26,True,True,"陕西省国际信托股份有限公司-陕国投·财富72号单一资金信托
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
16,300084.SZ,300084,海默科技,石油开采,4.27,True,True,
17,601608.SH,601608,中信重工,专用机械,4.28,True,True,"中国黄金集团资产管理有限公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
18,600403.SH,600403,大有能源,煤炭开采,4.35,True,True,"中国信达资产管理股份有限公司
中国华融资产管理股份有限公司
中央汇金资产管理有限公司"
19,601919.SH,601919,中远海控,水运,4.37,True,True,中国国有企业结构调整基金股份有限公司
20,601818.SH,601818,光大银行,银行,4.42,True,True,"中央汇金投资有限责任公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
