,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,COL_INDAY_P_CHANGE,circ_mv
479,002017.SZ,东信和平,通信设备,2.0,-23.37,18.39,0.11,821087.9085
1060,002600.SZ,领益智造,元器件,2.0,-22.69,6.63,0.05,986471.7476
358,000862.SZ,银星能源,新型电力,2.0,-22.6,7.33,0.03,367491.6684
1408,300017.SZ,网宿科技,电信运营,2.0,-21.67,13.58,0.01,2941954.1055
1475,300085.SZ,银之杰,软件服务,2.0,-20.74,17.8,0.04,736228.6605
1264,002813.SZ,路畅科技,汽车配件,2.0,-19.49,32.78,0.01,98340.0
2246,600131.SH,岷江水电,水力发电,2.0,-19.4,20.48,0.02,834885.4907
3137,603000.SH,人民网,互联网,2.0,-18.71,28.28,0.04,3126894.3064
1202,002746.SZ,仙坛股份,农业综合,0.0,-17.67,25.28,0.02,612587.2124
3044,601519.SH,大智慧,软件服务,2.0,-16.88,11.38,0.08,2262002.6
3061,601615.SH,明阳智能,机械基件,2.0,-16.11,15.31,0.03,422402.9
2633,600604.SH,市北高新,园区开发,0.0,-16.06,16.24,0.01,2166715.9658
1052,002592.SZ,八菱科技,汽车配件,1.0,-15.81,22.1,0.07,543058.8911
1818,300431.SZ,暴风集团,互联网,2.0,-15.79,10.99,0.02,275441.6567
1666,300277.SZ,海联讯,软件服务,2.0,-15.64,7.8,0.01,260824.6875
2867,600864.SH,哈投股份,证券,2.0,-15.07,7.53,0.02,1188472.9668
1006,002546.SZ,新联电子,电气设备,2.0,-15.06,5.88,0.03,458709.1758
3538,603888.SH,新华网,互联网,2.0,-14.91,23.77,0.08,419469.1425
61,000150.SZ,宜华健康,医疗保健,0.0,-14.72,12.25,0.01,705241.4621
1506,300116.SZ,坚瑞沃能,电气设备,2.0,-13.93,2.29,0.08,296354.1663
1117,002657.SZ,中科金财,软件服务,2.0,-13.84,19.71,0.04,556749.7359
2082,300702.SZ,天宇股份,化学制药,2.0,-13.54,31.65,0.06,165389.2114
2399,600310.SH,桂东电力,水力发电,2.0,-13.47,5.46,0.02,451965.15
1102,002642.SZ,荣之联,软件服务,2.0,-13.21,8.02,0.01,413606.8674
1025,002565.SZ,顺灏股份,造纸,1.0,-13.21,12.72,0.04,871112.6169
2981,601108.SH,财通证券,证券,2.0,-13.2,12.89,0.02,3102226.8207
2264,600155.SH,华创阳安,证券,2.0,-13.12,10.77,0.02,1215116.8419
3059,601608.SH,中信重工,专用机械,2.0,-13.06,5.31,0.03,2304231.6446
2641,600613.SH,神奇制药,中成药,1.0,-13.03,8.99,0.04,430908.6602
3237,603177.SH,德创环保,环境保护,2.0,-12.89,12.34,0.05,76199.5
2229,600113.SH,浙江东日,区域地产,2.0,-12.67,8.67,0.02,356710.8157
2603,600572.SH,康恩贝,中成药,2.0,-12.5,9.58,0.04,2548834.0564
1881,300494.SZ,盛天网络,互联网,2.0,-12.43,12.65,0.03,286656.6533
128,000536.SZ,华映科技,元器件,2.0,-12.24,3.67,0.03,735227.0876
539,002077.SZ,大港股份,区域地产,2.0,-11.92,6.8,0.04,361566.8304
2071,300691.SZ,联合光电,元器件,2.0,-11.91,31.6,0.03,192123.9552
3089,601811.SH,新华文轩,出版业,2.0,-11.86,15.21,0.05,302822.5444
898,002437.SZ,誉衡药业,化学制药,2.0,-11.68,5.71,0.05,1237400.6786
1726,300337.SZ,银邦股份,铝,1.0,-11.66,4.9,0.1,343342.7927
2826,600818.SH,中路股份,文教休闲,0.0,-11.53,16.42,0.03,390726.8882
2744,600728.SH,佳都科技,软件服务,2.0,-11.4,12.33,0.03,1977888.6206
3116,601929.SH,吉视传媒,影视音像,2.0,-11.39,3.01,0.03,936383.3802
1971,300588.SZ,熙菱信息,软件服务,2.0,-11.18,15.7,0.02,123496.2
1520,300130.SZ,新国都,电脑设备,2.0,-11.14,17.41,0.02,583197.1019
1035,002575.SZ,群兴玩具,文教休闲,2.0,-11.12,9.0,0.01,529848.0
1561,300171.SZ,东富龙,医疗保健,2.0,-11.07,11.03,0.07,367990.549
2210,600093.SH,易见股份,仓储物流,2.0,-11.01,12.52,0.01,1405304.27
1629,300240.SZ,飞力达,仓储物流,0.0,-10.92,8.44,0.01,308089.7122
1193,002736.SZ,国信证券,证券,2.0,-10.91,13.39,0.01,10979800.0
2796,600783.SH,鲁信创投,矿物制品,2.0,-10.79,24.91,0.02,1854199.0014
2556,600517.SH,置信电气,电气设备,1.0,-10.69,4.81,0.01,598615.2215
1169,002711.SZ,欧浦智网,仓储物流,2.0,-10.65,4.61,0.02,484126.9769
700,002238.SZ,天威视讯,影视音像,2.0,-10.59,10.68,0.02,659333.2176
3042,601515.SH,东风股份,广告包装,2.0,-10.5,12.13,0.09,1348856.0
3258,603220.SH,贝通信,通信设备,2.0,-10.4,34.91,0.02,294780.04
2808,600797.SH,浙大网新,软件服务,2.0,-10.38,11.15,0.02,1132008.268
1078,002618.SZ,丹邦科技,元器件,2.0,-10.38,16.54,0.01,906259.68
236,000682.SZ,东方电子,电气设备,2.0,-10.29,6.56,0.13,641579.2307
3224,603138.SH,海量数据,软件服务,2.0,-9.77,23.34,0.04,110529.8376
3141,603005.SH,晶方科技,半导体,2.0,-9.69,21.97,0.02,383664.7003
1033,002573.SZ,清新环境,环境保护,2.0,-9.63,10.13,0.07,1092661.7375
1170,002712.SZ,思美传媒,广告包装,2.0,-9.59,8.61,0.01,259624.856
1653,300264.SZ,佳创视讯,通信设备,2.0,-9.38,6.37,0.02,202928.9276
2336,600235.SH,民丰特纸,造纸,2.0,-9.36,7.72,0.02,271203.6
1806,300419.SZ,浩丰科技,软件服务,2.0,-9.33,6.68,0.06,183396.0754
3101,601878.SH,浙商证券,证券,2.0,-9.29,11.49,0.03,1388575.9689
3152,603017.SH,中衡设计,建筑施工,2.0,-9.27,15.56,0.01,420006.2097
1501,300111.SZ,向日葵,半导体,2.0,-9.23,3.09,0.01,345227.0349
932,002471.SZ,中超控股,电气设备,2.0,-9.18,3.7,0.03,465072.6625
