,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
3162,603032.SH,德新交运,公路,3.0,3.0,10.005,10.0063,273251.88
1922,300538.SZ,同益股份,批发业,3.0,3.0,10.003,10.011,72253.603
2449,600375.SH,华菱星马,汽车整车,3.0,3.0,10.042,9.9404,307324.5501
479,002017.SZ,东信和平,通信设备,3.0,2.0,10.007,10.0142,534581.2421
1060,002600.SZ,领益智造,元器件,3.0,3.0,10.064,10.0917,892734.6132
2637,600613.SH,神奇制药,中成药,3.0,3.0,9.999,9.9415,360448.6235
1206,002750.SZ,龙津药业,中成药,3.0,17.0,3.513,10.0457,382985.9463
2087,300710.SZ,万隆光电,通信设备,3.0,7.0,6.264,9.9934,111065.012
1992,300612.SZ,宣亚国际,广告包装,2.0,7.0,8.765,10.0,126174.1094
1667,300280.SZ,紫天科技,专用机械,2.0,2.0,10.003,9.9974,547840.0
986,002526.SZ,山东矿机,工程机械,2.0,2.0,10.043,9.9291,503735.346
919,002458.SZ,益生股份,农业综合,2.0,3.0,7.047,10.0054,854046.352
1473,300085.SZ,银之杰,软件服务,2.0,8.0,7.752,9.9931,660124.1248
693,002231.SZ,奥维通信,通信设备,2.0,3.0,6.779,9.9607,256632.6488
2207,600094.SH,大名城,区域地产,2.0,4.0,6.565,9.9602,1256685.939
651,002189.SZ,利达光电,元器件,2.0,2.0,9.983,9.9892,400671.952
2488,600425.SH,青松建化,水泥,2.0,7.0,4.685,10.0985,616319.1684
637,002175.SZ,东方网络,电器仪表,2.0,2.0,10.077,10.1266,260744.5389
1666,300279.SZ,和晶科技,元器件,2.0,2.0,10.01,9.9828,199730.1916
1563,300175.SZ,朗源股份,食品,2.0,3.0,7.317,9.9222,260809.8082
3021,601319.SH,中国人保,保险,2.0,2.0,10.048,10.0457,974835.36
3055,601608.SH,中信重工,专用机械,2.0,2.0,9.963,9.9768,2056884.7449
1128,002668.SZ,奥马电器,家用电器,2.0,2.0,10.009,10.0186,388000.6988
1130,002670.SZ,国盛金控,证券,2.0,2.0,10.022,10.0164,841085.7703
3103,601890.SH,亚星锚链,船舶,2.0,4.0,8.008,9.9812,560289.6
395,000917.SZ,电广传媒,影视音像,2.0,2.0,9.999,10.0239,1193658.0348
3133,603000.SH,人民网,互联网,2.0,2.0,10.009,9.9948,2336325.2013
1748,300362.SZ,天翔环境,环境保护,2.0,3.0,7.744,10.066,207154.879
2242,600131.SH,岷江水电,水力发电,2.0,12.0,9.238,10.0062,726040.5561
1733,300346.SZ,南大光电,元器件,2.0,3.0,6.901,10.0239,327702.9011
3328,603383.SH,顶点软件,软件服务,2.0,8.0,6.964,10.0,388656.6869
1665,300278.SZ,华昌达,专用机械,2.0,7.0,4.331,10.0,197560.2539
2670,600651.SH,飞乐音响,电器仪表,2.0,7.0,4.913,10.1266,428570.7009
2176,600060.SH,海信电器,家用电器,1.0,3.0,3.789,10.0103,1394840.9827
2187,600072.SH,中船科技,船舶,1.0,4.0,5.203,10.0102,647038.7353
2162,600037.SH,歌华有线,影视音像,1.0,1.0,10.047,10.0469,1631163.68
1889,300504.SZ,天邑股份,通信设备,1.0,1.0,9.989,9.9887,195809.508
2069,300691.SZ,联合光电,元器件,1.0,1.0,10.02,10.0196,167557.152
1939,300556.SZ,丝路视觉,软件服务,1.0,1.0,10.0,10.0,133647.4222
1934,300551.SZ,古鳌科技,专用机械,1.0,3.0,4.01,10.0392,91128.6381
1883,300498.SZ,温氏股份,农业综合,1.0,2.0,6.936,10.0,13494663.0235
1876,300491.SZ,通合科技,电气设备,1.0,1.0,10.024,10.0242,92840.3197
1857,300472.SZ,新元科技,专用机械,1.0,4.0,3.552,10.0,161322.6549
1809,300424.SZ,航新科技,航空,1.0,1.0,10.024,10.0244,354911.2763
1782,300397.SZ,天和防务,通信设备,1.0,1.0,9.994,9.9943,300365.7959
1756,300370.SZ,安控科技,电器仪表,1.0,7.0,2.754,10.1538,255597.6209
1752,300366.SZ,创意信息,软件服务,1.0,1.0,10.012,10.0125,283104.6748
1740,300353.SZ,东土科技,通信设备,1.0,3.0,4.373,10.0365,423418.5741
1713,300326.SZ,凯利泰,医疗保健,1.0,1.0,9.96,9.9602,711764.4326
2201,600086.SH,东方金钰,服饰,1.0,2.0,8.556,9.9391,572809.9987
30,000037.SZ,深南电A,火力发电,1.0,14.0,5.183,9.9888,332116.1318
2225,600113.SH,浙江东日,区域地产,1.0,2.0,6.157,9.9617,274314.6
2376,600288.SH,大恒科技,软件服务,1.0,1.0,9.952,9.952,400545.6
3459,603718.SH,海利生物,生物制药,1.0,1.0,9.969,9.9686,902244.0
3420,603656.SH,泰禾光电,专用机械,1.0,1.0,10.012,10.0121,114819.3351
3290,603315.SH,福鞍股份,机械基件,1.0,2.0,5.486,10.0311,311230.5249
3288,603311.SH,金海环境,专用机械,1.0,3.0,3.749,9.8832,256830.0
3277,603289.SH,泰瑞机器,专用机械,1.0,7.0,3.963,10.0513,145685.0535
3265,603239.SH,浙江仙通,汽车配件,1.0,2.0,7.587,10.0343,116393.76
3112,601929.SH,吉视传媒,影视音像,1.0,1.0,9.842,9.8425,867943.399
3091,601860.SH,紫金银行,银行,1.0,1.0,10.012,10.0116,345954.0001
3072,601700.SH,风范股份,电气设备,1.0,2.0,7.518,10.0239,1044839.904
3040,601519.SH,大智慧,软件服务,1.0,11.0,8.483,10.0621,1761102.2
3005,601212.SH,白银有色,铜,1.0,2.0,5.992,10.0,778011.3337
2967,601068.SH,中铝国际,建筑施工,1.0,3.0,5.851,10.0295,220746.3736
2923,600975.SH,新五丰,农业综合,1.0,2.0,5.444,9.9851,481674.581
2914,600962.SH,国投中鲁,软饮料,1.0,4.0,4.734,9.9685,266212.96
2842,600839.SH,四川长虹,家用电器,1.0,3.0,3.602,10.1045,1458115.8138
2785,600776.SH,东方通信,通信设备,1.0,1.0,10.018,10.0181,2908152.1947
2784,600775.SH,南京熊猫,通信设备,1.0,1.0,10.01,10.0098,753130.991
2776,600766.SH,园城黄金,黄金,1.0,1.0,9.954,9.9542,215198.7212
2767,600756.SH,浪潮软件,软件服务,1.0,2.0,5.057,10.0104,683848.3688
2760,600748.SH,上实发展,全国地产,1.0,4.0,4.666,10.0407,1495940.5054
2696,600682.SH,南京新百,百货,1.0,3.0,5.058,10.0,1267652.39
2569,600536.SH,中国软件,软件服务,1.0,1.0,9.996,9.9965,1561829.2656
2414,600331.SH,宏达股份,铅锌,1.0,2.0,6.644,10.1227,729488.0
2629,600604.SH,市北高新,园区开发,1.0,2.0,6.383,9.9831,1734440.1204
1584,300197.SZ,铁汉生态,环境保护,1.0,2.0,6.961,9.9323,730088.1314
1657,300270.SZ,中威电子,通信设备,1.0,1.0,10.064,10.0645,128659.4947
980,002519.SZ,银河电子,通信设备,1.0,1.0,9.926,9.9256,368375.6953
949,002488.SZ,金固股份,汽车配件,1.0,1.0,9.962,9.9617,661943.9799
881,002420.SZ,毅昌股份,塑料,1.0,7.0,2.446,10.0271,159037.2815
842,002381.SZ,双箭股份,橡胶,1.0,4.0,3.665,10.0654,279991.843
817,002356.SZ,赫美集团,其他商业,1.0,3.0,4.009,9.9688,339049.0178
705,002243.SZ,通产丽星,塑料,1.0,2.0,7.114,9.9948,771137.144
700,002238.SZ,天威视讯,影视音像,1.0,2.0,5.772,9.9476,518576.688
696,002234.SZ,民和股份,农业综合,1.0,2.0,7.436,9.8196,523762.6697
652,002190.SZ,成飞集成,汽车配件,1.0,1.0,9.99,9.9896,733525.3118
643,002181.SZ,粤传媒,出版业,1.0,2.0,5.752,10.099,630744.5128
629,002167.SZ,东方锆业,小金属,1.0,1.0,10.0,10.0,449104.689
622,002160.SZ,常铝股份,铝,1.0,1.0,9.924,9.9237,260081.0243
619,002157.SZ,正邦科技,饲料,1.0,2.0,6.556,10.0426,2796098.1891
611,002149.SZ,西部材料,小金属,1.0,3.0,3.758,10.0407,344950.1512
610,002148.SZ,北纬科技,互联网,1.0,2.0,4.913,9.8266,337468.4058
586,002124.SZ,天邦股份,饲料,1.0,2.0,7.057,9.991,1293476.525
574,002112.SZ,三变科技,电气设备,1.0,7.0,3.137,10.0295,137116.7105
441,000977.SZ,浪潮信息,电脑设备,1.0,2.0,5.081,10.0232,3056816.8974
436,000971.SZ,高升控股,互联网,1.0,2.0,5.727,10.1064,244912.0695
391,000911.SZ,南宁糖业,食品,1.0,8.0,3.588,10.0291,245329.2693
363,000876.SZ,新希望,饲料,1.0,2.0,8.645,10.0264,5223456.301
347,000838.SZ,财信发展,区域地产,1.0,1.0,9.92,9.9196,259190.3847
325,000810.SZ,创维数字,家用电器,1.0,1.0,9.961,9.9607,814197.112
272,000727.SZ,华东科技,元器件,1.0,3.0,5.96,9.9585,776623.5636
258,000711.SZ,京蓝科技,软件服务,1.0,1.0,9.983,9.9834,268550.5148
221,000665.SZ,湖北广电,影视音像,1.0,2.0,5.392,10.0599,584629.9583
218,000661.SZ,长春高新,生物制药,1.0,1.0,10.0,10.0,3841788.6726
205,000633.SZ,合金投资,综合类,1.0,1.0,9.928,9.9278,234529.7812
979,002518.SZ,科士达,电器仪表,1.0,1.0,9.98,9.9804,627136.9532
1024,002564.SZ,天沃科技,化工机械,1.0,2.0,6.069,9.9808,344865.2666
1651,300264.SZ,佳创视讯,通信设备,1.0,1.0,10.083,10.0826,212167.4502
1025,002565.SZ,顺灏股份,造纸,1.0,3.0,7.811,10.0529,712230.4415
1636,300249.SZ,依米康,软件服务,1.0,1.0,9.953,9.9533,215268.067
1590,300203.SZ,聚光科技,环境保护,1.0,1.0,10.019,10.0191,1299419.7783
1585,300198.SZ,纳川股份,塑料,1.0,1.0,10.059,10.0592,278445.0482
161,000576.SZ,广东甘化,造纸,1.0,4.0,5.968,9.9652,393989.6187
1570,300182.SZ,捷成股份,软件服务,1.0,2.0,5.041,10.0823,960406.8213
1564,300176.SZ,派生科技,汽车配件,1.0,2.0,7.204,9.995,1651827.7183
1558,300170.SZ,汉得信息,软件服务,1.0,2.0,5.843,9.9921,961636.0744
1544,300156.SZ,神雾环保,环境保护,1.0,1.0,9.898,9.8985,312539.4
1518,300130.SZ,新国都,电脑设备,1.0,3.0,6.607,10.0251,588221.7754
1492,300104.SZ,乐视网,互联网,1.0,1.0,10.037,10.0372,909674.7237
1467,300079.SZ,数码科技,通信设备,1.0,1.0,10.0,10.0,558599.2178
1460,300072.SZ,三聚环保,环境保护,1.0,3.0,4.591,9.9602,2350665.6299
1458,300070.SZ,碧水源,环境保护,1.0,2.0,5.784,9.9685,2112245.8874
1457,300069.SZ,金利华电,电气设备,1.0,1.0,10.0,10.0,132128.528
1406,300017.SZ,网宿科技,电信运营,1.0,2.0,8.255,9.9628,2270988.6927
1405,300016.SZ,北陆药业,中成药,1.0,3.0,8.434,10.0,395692.4575
1397,300008.SZ,天海防务,船舶,1.0,2.0,7.03,10.1449,228915.9102
1348,002903.SZ,宇环数控,机床制造,1.0,1.0,10.016,10.0164,132660.0
1315,002868.SZ,绿康生化,农业综合,1.0,3.0,5.554,10.0,77843.04
1296,002848.SZ,高斯贝尔,通信设备,1.0,1.0,9.972,9.9725,140148.1127
1275,002825.SZ,纳尔股份,化工原料,1.0,1.0,10.0,10.0,69291.096
1225,002771.SZ,真视通,软件服务,1.0,3.0,3.92,10.0072,139828.4718
1172,002714.SZ,牧原股份,农业综合,1.0,2.0,6.351,10.0,6029221.5557
1163,002703.SZ,浙江世宝,汽车配件,1.0,3.0,7.755,9.9631,329627.3074
1143,002683.SZ,宏大爆破,化工原料,1.0,2.0,5.206,9.8843,624820.2303
1056,002596.SZ,海南瑞泽,其他建材,1.0,3.0,5.526,10.0565,840015.0581
1041,002581.SZ,未名医药,生物制药,1.0,7.0,3.26,10.0536,329048.3733
3491,603803.SH,瑞斯康达,通信设备,1.0,3.0,3.38,9.965,276497.7724
