,trade_date,ts_code,name,close,pct_change,net_amount,amount_rate,float_values,reason,buy_sell_rate,amount_in_values
0,20200512,300831.SZ,派瑞股份,7.62,9.9567,1219074.0,101.06,609600000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,93.23,0.0
1,20200512,002985.SZ,北摩高科,57.48,10.0096,41325889.0,92.39,2157799200.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,41.46,0.02
2,20200512,603212.SH,赛伍技术,24.27,10.0181,44921603.0,93.3,971042700.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,38.5,0.05
3,20200512,603212.SH,赛伍技术,24.27,10.0181,35611613.0,102.57,971042700.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,37.94,0.04
4,20200512,300832.SZ,新产业,45.2,43.9949,4790695.0,105.02,1862240000.0,无价格涨跌幅限制的证券,18.93,0.0
5,20200512,603392.SH,万泰生物,22.34,9.9951,2813419.0,107.77,974024000.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,11.87,0.0
6,20200512,000593.SZ,大通燃气,5.5,10.0,17253588.0,108.43,1971657429.0,日涨幅偏离值达到7%的前五只证券,7.28,0.01
7,20200512,603696.SH,安记食品,10.85,10.0406,21530416.0,34.61,2551920000.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,3.36,0.01
8,20200512,300816.SZ,艾可蓝,46.98,8.0745,37018169.0,19.12,939600000.0,日换手率达到20%的前五只证券,1.54,0.04
9,20200512,002049.SZ,紫光国微,68.53,10.0,370709589.0,24.23,41545106029.0,日涨幅偏离值达到7%的前五只证券,1.5,0.01
10,20200512,300821.SZ,东岳硅材,11.76,10.0094,41052590.0,15.93,3528000000.0,日涨幅偏离值达到7%的前五只证券,1.5,0.01
11,20200512,300522.SZ,世名科技,14.28,10.0154,29275191.0,38.43,1721815726.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.45,0.02
12,20200512,002987.SZ,京北方,44.17,10.0124,15858164.0,55.66,1774308900.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.24,0.01
13,20200512,000809.SZ,铁岭新城,2.33,9.3897,4350399.0,72.61,1921763712.0,日涨幅偏离值达到7%的前五只证券,1.22,0.0
14,20200512,300018.SZ,中元股份,6.77,10.0813,37196220.0,16.22,2650729909.0,日涨幅偏离值达到7%的前五只证券,1.18,0.01
15,20200512,300463.SZ,迈克生物,41.33,10.008,57791963.0,33.55,15571565317.0,日涨幅偏离值达到7%的前五只证券,1.11,0.0
16,20200512,688085.SH,三友医疗,60.95,20.0039,48266100.0,53.27,2589425886.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,1.1,0.02
17,20200512,002581.SZ,未名医药,23.74,10.0093,103036391.0,27.91,9514782162.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.04,0.01
18,20200512,000021.SZ,深科技,22.67,9.9951,114062570.0,17.51,33309644540.0,日涨幅偏离值达到7%的前五只证券,0.98,0.0
19,20200512,300825.SZ,阿尔特,21.01,10.0,25495103.0,18.18,1605479150.0,日涨幅偏离值达到7%的前五只证券,0.87,0.02
20,20200512,603976.SH,正川股份,21.9,9.995,18232501.0,21.79,838768642.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.74,0.02
21,20200512,002979.SZ,雷赛智能,29.9,-1.1243,16025821.0,13.49,1554800000.0,日换手率达到20%的前五只证券,0.58,0.01
22,20200512,002046.SZ,轴研科技,8.97,10.0614,18998501.0,15.45,3666032945.0,日涨幅偏离值达到7%的前五只证券,0.51,0.01
23,20200512,002581.SZ,未名医药,23.74,10.0093,48628628.0,26.93,9514782162.0,日涨幅偏离值达到7%的前五只证券,0.49,0.01
24,20200512,300826.SZ,测绘股份,43.08,4.5124,6847377.0,11.74,861600000.0,日换手率达到20%的前五只证券,0.42,0.01
25,20200512,300080.SZ,易成新能,6.69,10.0329,23937854.0,36.44,3356848826.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.39,0.01
26,20200512,002046.SZ,轴研科技,8.97,10.0614,14690017.0,13.53,3666032945.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.36,0.0
27,20200512,603982.SH,泉峰汽车,18.61,9.9882,10891281.0,14.66,930500000.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.34,0.01
28,20200512,600359.SH,新农开发,10.51,10.0524,27138158.0,12.42,4009699738.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.23,0.01
29,20200512,002220.SZ,ST天宝,0.86,-4.4444,1625406.0,33.93,568570641.0,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券,0.21,0.0
30,20200512,688365.SH,光云科技,43.02,-8.7593,8148100.0,16.34,1389193408.0,有价格涨跌幅限制的日换手率达到30%的前五只证券,0.2,0.01
31,20200512,603530.SH,神马电力,33.51,10.0131,7158842.0,14.47,1341890859.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.15,0.01
32,20200512,300828.SZ,锐新科技,33.3,2.4615,7806949.0,20.49,918081000.0,日振幅值达到15%的前五只证券,0.14,0.01
33,20200512,300828.SZ,锐新科技,33.3,2.4615,7806949.0,20.49,918081000.0,日换手率达到20%的前五只证券,0.14,0.01
34,20200512,603880.SH,南卫股份,14.99,9.978,1741752.0,25.45,1235621952.0,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.1,0.0
35,20200512,600175.SH,*ST美都,0.71,-5.3333,133062.0,14.43,2539307028.0,ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到15%的证券,0.02,0.0
36,20200512,000700.SZ,模塑科技,9.03,9.9878,-588340.0,16.01,7287881416.0,日涨幅偏离值达到7%的前五只证券,-0.01,-0.0
