,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
879,002417.SZ,深南股份,通信设备,7.0,5.704,46.399,-4.244,2.5500000000000007,235731.4836
1834,300453.SZ,三鑫医疗,医疗保健,3.0,10.011,33.141,-0.688,2.2799999999999994,105677.7826
2106,300736.SZ,百邦科技,通信设备,3.0,10.007,33.125,-0.24,6.079999999999998,56311.437
1366,002922.SZ,伊戈尔,电气设备,6.0,4.824,32.182,-2.641,4.310000000000002,70752.0
1524,300140.SZ,中环装备,电气设备,6.0,4.799,31.322,10.46,3.3599999999999994,311567.5184
2775,600776.SH,东方通信,通信设备,6.0,4.625,30.629,12.421,2.25,892904.0598
1145,002684.SZ,猛狮科技,电气设备,4.0,6.145,26.589,-6.122,1.12,295294.8961
1036,002575.SZ,群兴玩具,文教休闲,7.0,3.248,24.669,-10.119,0.71,443306.16
2072,300698.SZ,万马科技,通信设备,6.0,3.718,23.925,-2.134,3.0700000000000003,177500.528
2010,300635.SZ,达安股份,建筑施工,4.0,5.588,23.859,-7.784,2.2300000000000004,64109.0886
1008,002547.SZ,春兴精工,通信设备,3.0,7.411,23.696,0.0,1.3800000000000008,453879.0198
3235,603220.SH,贝通信,通信设备,3.0,7.406,23.683,-2.591,3.460000000000001,204175.92
3255,603283.SH,赛腾股份,专用机械,3.0,7.055,22.409,-2.682,2.8299999999999983,81720.0
480,002017.SZ,东信和平,通信设备,3.0,6.757,21.314,-4.729,1.4300000000000006,286789.5495
3277,603322.SH,超讯通信,通信设备,3.0,6.719,21.187,0.084,4.309999999999999,131540.9144
166,000586.SZ,汇源通信,通信设备,2.0,9.999,20.997,-4.511,0.9600000000000009,178351.68
662,002199.SZ,东晶电子,元器件,2.0,9.994,20.986,0.764,1.4600000000000009,216412.5195
1795,300414.SZ,中光防雷,元器件,3.0,6.415,20.324,2.597,2.1899999999999995,269499.5467
2696,600692.SH,亚通股份,房产服务,2.0,9.057,18.927,-2.462,0.75,192277.9298
913,002451.SZ,摩恩电气,电气设备,2.0,8.374,17.422,-3.592,1.8399999999999999,485522.0502
3154,603042.SH,华脉科技,通信设备,5.0,3.219,17.082,-2.888,2.01,171041.3724
2074,300700.SZ,岱勒新材,矿物制品,3.0,5.425,16.918,-1.698,2.849999999999998,117874.68
2774,600775.SH,南京熊猫,通信设备,4.0,3.846,15.919,0.729,1.5599999999999996,538142.6617
1346,002900.SZ,哈三联,化学制药,5.0,2.933,15.182,-1.961,1.1300000000000008,183534.5159
3525,603912.SH,佳力图,专用机械,6.0,2.34,14.823,3.239,1.620000000000001,157819.2
694,002231.SZ,奥维通信,通信设备,2.0,7.1,14.618,-8.092,0.2600000000000007,211056.648
1942,300563.SZ,神宇股份,通信设备,3.0,4.681,14.484,1.363,2.729999999999997,84678.0
3333,603507.SH,振江股份,钢加工,2.0,6.9,14.18,-1.099,3.6999999999999993,173453.6955
587,002124.SZ,天邦股份,饲料,3.0,4.529,14.026,-4.567,0.4500000000000002,731417.5767
2053,300679.SZ,电连技术,元器件,6.0,2.22,13.91,-0.119,3.09,288712.5792
1648,300265.SZ,通光线缆,电气设备,3.0,4.524,13.897,-1.046,0.8099999999999996,253916.795
652,002189.SZ,利达光电,元器件,4.0,3.284,13.731,-2.361,1.3599999999999994,259050.0544
124,000531.SZ,穗恒运A,火力发电,2.0,6.68,13.693,-0.413,0.41000000000000014,375424.2335
2061,300687.SZ,赛意信息,软件服务,3.0,4.433,13.634,1.938,2.3000000000000007,131026.9703
3213,603168.SH,莎普爱思,化学制药,2.0,6.379,13.037,-0.589,0.46999999999999975,226872.3275
2985,601177.SH,杭齿前进,机械基件,3.0,4.054,12.625,-8.257,0.29999999999999893,360454.06
657,002194.SZ,*ST凡谷,通信设备,3.0,4.051,12.623,-2.244,0.5899999999999999,364359.4078
140,000550.SZ,江铃汽车,汽车整车,4.0,3.049,12.586,-1.017,1.6300000000000008,681731.7154
1978,300602.SZ,飞荣达,元器件,2.0,6.094,12.407,-6.128,0.0799999999999983,214582.0
1262,002810.SZ,山东赫达,化工原料,6.0,1.993,12.406,1.926,1.8399999999999999,109585.027
1332,002885.SZ,京泉华,元器件,3.0,3.984,12.402,4.723,3.669999999999998,103478.5269
1673,300290.SZ,荣科科技,软件服务,4.0,3.035,12.295,-3.021,0.7199999999999998,219705.0526
3230,603200.SH,上海洗霸,环境保护,6.0,1.928,12.054,-2.483,2.4800000000000004,83391.0
1889,300508.SZ,维宏股份,软件服务,4.0,2.89,12.017,-2.429,2.150000000000002,61996.434
3270,603313.SH,梦百合,家居用品,5.0,2.304,11.955,-3.881,1.3500000000000014,173505.2175
2021,300647.SZ,超频三,元器件,3.0,3.905,11.869,0.137,1.3099999999999987,128463.66
1249,002796.SZ,世嘉科技,专用机械,3.0,3.82,11.763,0.337,3.1499999999999986,112043.8084
1275,002824.SZ,和胜股份,铝,2.0,5.732,11.611,-1.137,0.6999999999999993,78908.4432
