,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,COL_INDAY_P_CHANGE,circ_mv
1515,300125.SZ,易世达,电气设备,2.0,-39.82,15.84,0.03,417823.2305
696,002234.SZ,民和股份,农业综合,0.0,-24.89,30.1,0.03,575374.3196
1060,002600.SZ,领益智造,元器件,1.0,-22.69,6.43,0.03,956713.9271
760,002299.SZ,圣农发展,农业综合,1.0,-22.6,26.96,0.04,2994986.4
1408,300017.SZ,网宿科技,电信运营,1.0,-21.67,13.86,0.06,3002612.953
1758,300370.SZ,安控科技,电器仪表,1.0,-21.15,5.51,0.06,393391.8691
3470,603729.SH,龙韵股份,广告包装,1.0,-21.11,23.44,0.02,218784.272
1475,300085.SZ,银之杰,软件服务,1.0,-20.74,17.22,0.01,712239.1873
583,002121.SZ,科陆电子,电器仪表,1.0,-20.65,6.51,0.01,589556.9027
436,000971.SZ,高升控股,互联网,1.0,-20.1,5.02,0.01,296970.6736
1219,002765.SZ,蓝黛传动,汽车配件,0.0,-19.93,8.68,0.02,221247.775
1745,300356.SZ,光一科技,电气设备,1.0,-19.87,10.29,0.05,379466.6679
40,000050.SZ,深天马A,元器件,1.0,-19.86,16.67,0.02,3033702.6342
2135,300761.SZ,立华股份,农业综合,1.0,-19.77,77.41,0.02,319548.48
919,002458.SZ,益生股份,农业综合,0.0,-19.62,41.1,0.04,858222.6178
2246,600131.SH,岷江水电,水力发电,1.0,-19.4,20.58,0.02,838962.08
1901,300514.SZ,友讯达,通信设备,1.0,-19.2,16.57,0.02,149660.24
272,000727.SZ,华东科技,元器件,1.0,-19.06,2.87,0.03,841097.9727
3137,603000.SH,人民网,互联网,1.0,-18.71,27.91,0.09,3085983.7373
1487,300097.SZ,智云股份,电器仪表,1.0,-18.62,13.82,0.01,278948.466
2453,600375.SH,华菱星马,汽车整车,1.0,-17.72,6.5,0.03,361231.3881
1469,300079.SZ,数码科技,通信设备,1.0,-17.66,6.86,0.11,829435.2022
258,000711.SZ,京蓝科技,软件服务,2.0,-17.61,7.58,0.03,307959.5919
1676,300287.SZ,飞利信,软件服务,2.0,-17.54,5.39,0.01,603087.9629
2039,300659.SZ,中孚信息,软件服务,1.0,-17.35,30.45,0.04,197806.6987
123,000530.SZ,大冷股份,机械基件,1.0,-17.35,4.93,0.01,294689.7527
2205,600086.SH,东方金钰,服饰,1.0,-17.31,6.29,0.12,664755.5151
1202,002746.SZ,仙坛股份,农业综合,0.0,-16.71,25.5,0.02,617918.2721
675,002213.SZ,特尔佳,汽车配件,1.0,-16.65,10.33,0.02,203408.2356
593,002131.SZ,利欧股份,互联网,1.0,-16.54,2.25,0.02,897050.1438
1679,300290.SZ,荣科科技,软件服务,2.0,-16.42,9.36,0.02,300858.1543
938,002477.SZ,雏鹰农牧,农业综合,0.0,-16.35,2.67,0.03,526170.6527
2052,300672.SZ,国科微,半导体,2.0,-16.21,47.76,0.01,310921.7456
782,002321.SZ,华英农业,农业综合,1.0,-16.15,8.42,0.02,447143.8171
3061,601615.SH,明阳智能,机械基件,1.0,-16.11,14.89,0.01,410815.1
2771,600756.SH,浪潮软件,软件服务,1.0,-16.02,28.1,0.06,910717.4959
226,000670.SZ,盈方微,元器件,1.0,-15.92,5.71,0.03,342381.0421
1052,002592.SZ,八菱科技,汽车配件,0.0,-15.81,20.77,0.02,510377.0664
1666,300277.SZ,海联讯,软件服务,1.0,-15.64,7.74,0.01,258818.3438
913,002452.SZ,长高集团,电气设备,1.0,-15.6,4.58,0.01,194478.4039
1560,300170.SZ,汉得信息,软件服务,1.0,-15.6,17.28,0.01,1209722.4979
1883,300496.SZ,中科创达,软件服务,2.0,-15.56,34.32,0.02,819689.3837
562,002100.SZ,天康生物,饲料,1.0,-15.33,9.0,0.04,867064.5081
619,002157.SZ,正邦科技,饲料,1.0,-15.15,16.9,0.07,3664599.1941
325,000810.SZ,创维数字,家用电器,1.0,-15.13,10.46,0.02,1015077.6867
1573,300183.SZ,东软载波,软件服务,1.0,-15.09,16.56,0.01,444223.8663
2867,600864.SH,哈投股份,证券,1.0,-15.07,7.39,0.02,1166376.5239
1006,002546.SZ,新联电子,电气设备,1.0,-15.06,5.79,0.02,451688.117
949,002488.SZ,金固股份,汽车配件,1.0,-14.92,11.15,0.04,857221.298
3538,603888.SH,新华网,互联网,1.0,-14.91,22.35,0.05,394410.4053
640,002178.SZ,延华智能,建筑施工,1.0,-14.8,4.79,0.01,340084.0776
1861,300474.SZ,景嘉微,元器件,2.0,-14.79,49.72,0.02,338039.9656
1008,002548.SZ,金新农,饲料,2.0,-14.52,11.5,0.08,359446.8923
1753,300365.SZ,恒华科技,软件服务,1.0,-14.49,28.31,0.02,618787.2745
1722,300333.SZ,兆日科技,元器件,1.0,-14.48,10.43,0.01,345123.5549
1712,300323.SZ,华灿光电,半导体,1.0,-14.34,9.53,0.01,669400.176
978,002517.SZ,恺英网络,互联网,2.0,-14.26,5.07,0.02,1074567.2639
1584,300195.SZ,长荣股份,轻工机械,1.0,-14.17,11.3,0.01,341949.9272
631,002169.SZ,智光电气,电气设备,2.0,-14.16,5.97,0.03,448268.8193
2633,600604.SH,市北高新,园区开发,0.0,-14.04,16.12,0.01,2150705.7493
1754,300366.SZ,创意信息,软件服务,1.0,-14.03,9.46,0.01,304683.7569
1434,300043.SZ,星辉娱乐,文教休闲,1.0,-13.93,6.38,0.01,575926.095
1506,300116.SZ,坚瑞沃能,电气设备,1.0,-13.93,2.13,0.01,275648.1984
3337,603389.SH,亚振家居,家居用品,1.0,-13.91,11.6,0.03,73033.6
3323,603363.SH,傲农生物,饲料,2.0,-13.87,14.64,0.06,269365.67
1117,002657.SZ,中科金财,软件服务,1.0,-13.84,19.62,0.02,554207.4997
525,002063.SZ,远光软件,软件服务,1.0,-13.84,11.01,0.05,838346.694
1015,002555.SZ,三七互娱,互联网,1.0,-13.81,14.97,0.01,2383555.4568
3022,601298.SH,青岛港,港口,2.0,-13.8,9.17,0.01,416662.792
623,002161.SZ,远望谷,通信设备,1.0,-13.65,7.53,0.01,526035.9831
2082,300702.SZ,天宇股份,化学制药,1.0,-13.54,29.35,0.1,153370.4061
1257,002806.SZ,华锋股份,元器件,1.0,-13.47,22.05,0.02,127210.0331
1831,300444.SZ,双杰电气,电气设备,2.0,-13.45,8.94,0.01,269797.2669
2614,600584.SH,长电科技,半导体,1.0,-13.33,14.3,0.01,1481358.1797
1713,300324.SZ,旋极信息,软件服务,1.0,-13.27,8.15,0.01,845058.4592
