code,name,p_change_range0,p_change_range1,normalizing_std,mark,stop_mark
300439,美康生物,-8.527,13.748,0.028,-117.22919599999999,
600732,ST新梅,-9.199,10.126,0.024,-93.149074,
300628,亿联网络,-6.236,13.501,0.025,-84.192236,
300285,国瓷材料,-7.167,9.515,0.026,-68.194005,
601360,三六零,-8.53,7.862,0.029,-67.06286,
002009,天奇股份,-7.505,8.038,0.027,-60.32519,
600636,*ST爱富,-5.247,11.487,0.022,-60.272289,
600826,兰生股份,-5.643,10.271,0.021,-57.959253000000004,
002449,国星光电,-8.83,6.396,0.026,-56.47668,
600552,凯盛科技,-6.195,8.653,0.027,-53.605335000000004,
002255,海陆重工,-4.86,10.446,0.016,-50.76756,
000524,岭南控股,-5.145,9.632,0.022,-49.556639999999994,
002683,宏大爆破,-3.278,14.372,0.016,-47.111416,
002901,大博医疗,-7.047,6.616,0.028,-46.622952,
601233,桐昆股份,-3.699,12.337,0.022,-45.634563,
600595,中孚实业,-5.486,8.143,0.019,-44.672498000000004,
002507,涪陵榨菜,-6.119,7.25,0.028,-44.36275,
300031,宝通科技,-10.407,4.246,0.029,-44.18812200000001,
601388,怡球资源,-5.48,7.345,0.019,-40.2506,
002884,凌霄泵业,-5.123,7.788,0.022,-39.897924,
300183,东软载波,-5.859,6.76,0.027,-39.60684,
300416,苏试试验,-6.114,6.427,0.028,-39.294678,
600219,南山铝业,-5.616,6.953,0.018,-39.048048,
600569,安阳钢铁,-8.522,4.451,0.026,-37.931422,
600435,北方导航,-9.722,3.889,0.026,-37.808857999999994,
000717,韶钢松山,-2.302,16.236,0.024,-37.375272,
300143,星普医科,-2.302,16.144,0.019,-37.163487999999994,
002081,金 螳 螂,-5.604,6.451,0.021,-36.151404,
300523,辰安科技,-8.657,4.172,0.028,-36.117003999999994,
300246,宝莱特,-7.496,4.784,0.028,-35.860864,
601222,林洋能源,-8.744,4.08,0.025,-35.67552,
000603,盛达矿业,-5.463,6.332,0.018,-34.591716,
000948,南天信息,-4.519,7.419,0.024,-33.526461,
600256,广汇能源,-3.376,9.702,0.017,-32.753952,
002203,海亮股份,-6.25,5.183,0.02,-32.39375,
000661,长春高新,-4.674,6.887,0.018,-32.189838,
002641,永高股份,-5.994,5.313,0.023,-31.846121999999998,
000609,中迪投资,-5.913,5.343,0.022,-31.593159,
300252,金信诺,-5.397,5.849,0.022,-31.567053,
002497,雅化集团,-3.998,7.786,0.023,-31.128428,
002638,勤上股份,-4.911,6.261,0.024,-30.747770999999997,
002542,中化岩土,-4.117,7.468,0.029,-30.745756,
300339,润和软件,-4.668,6.548,0.028,-30.566064,
300331,苏大维格,-7.088,4.299,0.025,-30.471312000000005,
601717,郑煤机,-3.896,7.764,0.013,-30.248544,
601677,明泰铝业,-8.147,3.676,0.021,-29.948372000000003,
002599,盛通股份,-4.703,6.357,0.024,-29.896971000000004,
300323,华灿光电,-8.563,3.44,0.024,-29.45672,
300595,欧普康视,-2.49,11.783,0.027,-29.33967,
002670,国盛金控,-3.929,7.347,0.027,-28.866363,
000768,中航飞机,-8.473,3.228,0.029,-27.350844000000006,
002228,合兴包装,-4.328,6.287,0.02,-27.210136000000002,
300532,今天国际,-4.363,6.095,0.027,-26.592485,
002292,奥飞娱乐,-3.67,7.213,0.02,-26.471709999999998,
600780,通宝能源,-6.347,4.044,0.028,-25.667268,
002618,丹邦科技,-4.713,5.44,0.019,-25.638720000000003,
601811,新华文轩,-4.736,5.407,0.018,-25.607552,
600729,重庆百货,-5.185,4.929,0.019,-25.556865,
000975,银泰资源,-3.627,7.042,0.029,-25.541334,
002452,长高集团,-6.432,3.89,0.02,-25.020480000000003,
300529,健帆生物,-2.964,8.331,0.021,-24.693084,
300568,星源材质,-8.013,3.051,0.025,-24.447663000000002,
601877,正泰电器,-2.168,11.231,0.026,-24.348808000000002,
002636,金安国纪,-5.842,4.159,0.024,-24.296877999999996,
002495,佳隆股份,-3.805,6.357,0.018,-24.188385,
600712,南宁百货,-6.105,3.944,0.026,-24.078120000000002,
002506,协鑫集成,-2.923,8.123,0.025,-23.743529,
002353,杰瑞股份,-4.499,5.241,0.022,-23.579258999999997,
000553,沙隆达Ａ,-3.029,7.69,0.016,-23.29301,
600703,三安光电,-5.717,4.017,0.02,-22.965189000000002,
300245,天玑科技,-2.549,8.738,0.029,-22.273162,
002383,合众思壮,-4.677,4.712,0.028,-22.038023999999997,
600479,千金药业,-3.096,6.985,0.024,-21.62556,
000830,鲁西化工,-3.376,6.372,0.025,-21.511872,
600874,创业环保,-5.651,3.73,0.026,-21.078229999999998,
600376,首开股份,-2.681,7.715,0.019,-20.683915,
002318,久立特材,-5.9,3.492,0.024,-20.602800000000002,
002798,帝王洁具,-2.645,7.558,0.022,-19.99091,
601010,文峰股份,-2.93,6.783,0.012,-19.874190000000002,
601808,中海油服,-4.345,4.534,0.017,-19.700229999999998,
300168,万达信息,-4.931,3.942,0.027,-19.438002,
002327,富安娜,-3.745,5.168,0.011,-19.35416,
000591,太阳能,-2.8,6.787,0.025,-19.0036,
300248,新开普,-4.378,4.319,0.029,-18.908582,
002617,露笑科技,-3.322,5.673,0.015,-18.845706,
300404,博济医药,-3.441,5.391,0.024,-18.550431,
000960,锡业股份,-2.094,8.792,0.029,-18.410448,
600231,凌钢股份,-3.259,5.56,0.017,-18.12004,
300222,科大智能,-6.525,2.748,0.021,-17.9307,
601369,陕鼓动力,-4.624,3.875,0.021,-17.918,
600782,新钢股份,-3.584,4.963,0.021,-17.787392,
002557,洽洽食品,-4.089,4.32,0.025,-17.664480000000005,
002875,安奈儿,-1.74,10.118,0.029,-17.60532,
601117,中国化学,-2.753,6.391,0.016,-17.594423,
300567,精测电子,-4.297,4.094,0.026,-17.591918,
002519,银河电子,-4.177,4.211,0.022,-17.589347,
300227,光韵达,-3.006,5.802,0.018,-17.440811999999998,
600489,中金黄金,-8.248,2.086,0.029,-17.205327999999998,
002465,海格通信,-4.707,3.612,0.023,-17.001684,
002293,罗莱生活,-7.244,2.338,0.029,-16.936472,
600637,东方明珠,-5.22,3.228,0.018,-16.85016,
002859,洁美科技,-5.551,3.033,0.022,-16.836183,
300001,特锐德,-5.009,3.319,0.016,-16.624871000000002,
600141,兴发集团,-4.294,3.76,0.022,-16.145439999999997,
002696,百洋股份,-7.434,2.162,0.024,-16.072308,
000622,恒立实业,-3.038,5.256,0.016,-15.967728,
000403,ST生化,-2.349,6.778,0.028,-15.921522,
300678,中科信息,-3.667,4.338,0.027,-15.907446,
300319,麦捷科技,-2.069,7.646,0.029,-15.819574,
600295,鄂尔多斯,-6.898,2.293,0.029,-15.817114,
002251,步 步 高,-5.922,2.661,0.023,-15.758441999999999,
600624,复旦复华,-4.706,3.347,0.021,-15.750982,
300326,凯利泰,-1.69,9.252,0.02,-15.63588,
600398,海澜之家,-2.535,6.013,0.017,-15.242955,
300273,和佳股份,-2.358,6.432,0.018,-15.166656000000001,
000729,燕京啤酒,-3.016,5.022,0.015,-15.146352,
600583,海油工程,-3.647,4.121,0.015,-15.029287,
002690,美亚光电,-3.334,4.357,0.014,-14.526238000000001,
600478,科力远,-3.255,4.409,0.018,-14.351294999999999,
601168,西部矿业,-1.804,7.803,0.011,-14.076612,
600858,银座股份,-6.338,2.209,0.023,-14.000642000000001,
000720,*ST新能,-5.814,2.371,0.02,-13.784994,
001979,招商蛇口,-4.078,3.378,0.019,-13.775484000000002,
600500,中化国际,-4.299,3.2,0.012,-13.756800000000002,
600879,航天电子,-4.48,3.04,0.026,-13.619200000000001,
300220,金运激光,-3.724,3.654,0.028,-13.607496000000001,
300164,通源石油,-5.278,2.567,0.019,-13.548626,
002562,兄弟科技,-4.108,3.274,0.018,-13.449591999999999,
002128,露天煤业,-3.195,4.089,0.014,-13.064355,
600888,新疆众和,-2.537,5.145,0.017,-13.052864999999999,
600538,国发股份,-3.421,3.735,0.016,-12.777434999999999,
600677,航天通信,-2.921,4.314,0.023,-12.601194,
002332,仙琚制药,-4.898,2.555,0.024,-12.51439,
600681,百川能源,-1.733,7.183,0.015,-12.448139000000001,
300476,胜宏科技,-2.258,5.487,0.026,-12.389646,
600722,金牛化工,-2.519,4.91,0.016,-12.368290000000002,
002779,中坚科技,-2.717,4.539,0.018,-12.332462999999999,
002493,荣盛石化,-3.254,3.728,0.012,-12.130912,
002182,云海金属,-4.017,3.012,0.012,-12.099204,
002544,杰赛科技,-4.422,2.715,0.019,-12.005729999999998,
000878,云南铜业,-2.737,4.368,0.013,-11.955216000000002,
600320,振华重工,-3.293,3.601,0.019,-11.858093,
000751,锌业股份,-3.473,3.377,0.011,-11.728321,
000703,恒逸石化,-3.787,3.075,0.027,-11.645025,
300378,鼎捷软件,-3.352,3.457,0.025,-11.587864,
002151,北斗星通,-5.401,2.114,0.023,-11.417713999999998,
000822,山东海化,-4.066,2.772,0.023,-11.270952,
300214,日科化学,-3.485,3.211,0.023,-11.190335,
600843,上工申贝,-3.382,3.299,0.012,-11.157218,
000938,紫光股份,-5.425,2.053,0.027,-11.137525,
300257,开山股份,-2.594,4.234,0.019,-10.982996,
600566,济川药业,-2.069,5.214,0.019,-10.787766000000001,
002380,科远股份,-4.327,2.493,0.027,-10.787211,
000585,*ST东电,-7.503,1.436,0.024,-10.774308,
000688,建新矿业,-2.514,4.278,0.021,-10.754891999999998,
300303,聚飞光电,-2.573,4.168,0.015,-10.724264,
300035,中科电气,-4.896,2.176,0.027,-10.653696,
300649,杭州园林,-3.827,2.758,0.024,-10.554866,
600426,华鲁恒升,-1.385,7.571,0.024,-10.485835,
002114,罗平锌电,-3.158,3.318,0.009,-10.478244,
300125,易世达,-1.562,6.58,0.027,-10.27796,
000957,中通客车,-3.935,2.609,0.019,-10.266415,
002416,爱施德,-4.3,2.373,0.018,-10.2039,
300512,中亚股份,-1.126,9.049,0.014,-10.189173999999998,
600097,开创国际,-6.181,1.633,0.021,-10.093573,
600331,宏达股份,-3.118,3.237,0.013,-10.092966,
002016,世荣兆业,-7.823,1.273,0.025,-9.958679,
600867,通化东宝,-3.087,3.224,0.016,-9.952488,
600132,重庆啤酒,-0.893,11.094,0.021,-9.906941999999999,
600602,云赛智联,-3.863,2.557,0.018,-9.877691,
601881,中国银河,-3.626,2.659,0.025,-9.641533999999998,
600282,南钢股份,-1.272,7.559,0.024,-9.615048,
002421,达实智能,-1.435,6.688,0.021,-9.59728,
000554,泰山石油,-4.389,2.169,0.029,-9.519741000000002,
600516,方大炭素,-2.429,3.906,0.022,-9.487674,
600114,东睦股份,-3.96,2.386,0.025,-9.44856,
300375,鹏翎股份,-4.996,1.879,0.018,-9.387484,
300396,迪瑞医疗,-2.497,3.726,0.017,-9.303822,
601106,*ST一重,-1.906,4.864,0.008,-9.270783999999999,
000785,武汉中商,-3.184,2.871,0.017,-9.141264,
002675,东诚药业,-4.362,2.084,0.022,-9.090408,
002232,启明信息,-6.392,1.413,0.021,-9.031896000000001,
002792,通宇通讯,-1.746,5.163,0.018,-9.014598000000001,
002684,猛狮科技,-2.48,3.619,0.021,-8.97512,
002430,杭氧股份,-5.457,1.608,0.025,-8.774856,
300219,鸿利智汇,-5.512,1.587,0.015,-8.747544,
300401,花园生物,-3.69,2.358,0.026,-8.70102,
300363,博腾股份,-7.502,1.153,0.027,-8.649806,
600979,广安爱众,-3.72,2.311,0.013,-8.59692,
000982,*ST 中绒,-1.932,4.344,0.018,-8.392608000000001,
002657,中科金财,-5.386,1.551,0.027,-8.353686,
002140,东华科技,-1.416,5.895,0.022,-8.347319999999998,
002369,卓翼科技,-5.188,1.604,0.024,-8.321552,
002425,凯撒文化,-4.754,1.742,0.024,-8.281467999999998,
601900,南方传媒,-3.885,2.128,0.018,-8.26728,
002727,一心堂,-2.848,2.852,0.025,-8.122496,
600493,凤竹纺织,-4.206,1.924,0.022,-8.092344,
600395,盘江股份,-2.411,3.342,0.009,-8.057562,
000595,*ST宝实,-3.129,2.571,0.012,-8.044659000000001,
002171,楚江新材,-1.538,5.146,0.02,-7.914548,
601226,华电重工,-1.986,3.937,0.023,-7.818881999999999,
000898,鞍钢股份,-1.421,5.479,0.016,-7.785659000000001,
601857,中国石油,-2.061,3.74,0.009,-7.70814,
600766,园城黄金,-3.5,2.197,0.024,-7.689500000000001,
002420,毅昌股份,-5.129,1.494,0.023,-7.662725999999999,
002146,荣盛发展,-0.967,7.914,0.017,-7.652837999999999,
600225,*ST松江,-2.299,3.315,0.012,-7.621185,
