,ts_code,name,industry,COL_EIGEN_SLOPE_0,COL_EIGEN_SLOPE_1,COL_EIGEN_SLOPE_DIFF,COL_DAILY_LIMIT_COUNT,circ_mv
1390,002950.SZ,奥美医疗,医疗保健,15.14,,,,122784.0
1152,002692.SZ,远程股份,电气设备,14.22,2.78,11.44,2.0,344815.0398
637,002175.SZ,东方网络,电器仪表,13.64,9.81,3.83,7.0,429778.9296
3001,601179.SH,中国西电,电气设备,12.71,-4.78,17.49,1.0,2255388.2349
12,000016.SZ,深康佳A,家用电器,12.22,-4.37,16.59,3.0,902064.4795
1219,002765.SZ,蓝黛传动,汽车配件,12.15,4.48,7.67,4.0,219973.3063
2505,600452.SH,涪陵电力,水力发电,12.15,-3.4,15.55,1.0,513408.0
2633,600604.SH,市北高新,园区开发,11.86,7.92,3.94,5.0,2269448.1883
3285,603300.SH,华铁科技,钢加工,11.66,3.65,8.01,2.0,320000.629
2382,600290.SH,华仪电气,电气设备,11.36,2.78,8.58,5.0,670994.8002
2228,600112.SH,天成控股,电气设备,11.25,3.74,7.51,1.0,256130.0375
1827,300440.SZ,运达科技,软件服务,11.23,1.16,10.07,2.0,372220.9836
3585,603988.SH,中电电机,电气设备,11.09,5.68,5.41,3.0,298468.8
2070,300690.SZ,双一科技,电气设备,11.08,2.72,8.36,2.0,130711.3525
1084,002624.SZ,完美世界,影视音像,10.75,3.44,7.31,1.0,1651437.6131
13,000017.SZ,深中华A,文教休闲,10.74,1.94,8.8,1.0,168154.4594
2926,600973.SH,宝胜股份,电气设备,10.7,1.35,9.35,1.0,569504.4329
2652,600624.SH,复旦复华,综合类,10.66,1.29,9.37,6.0,827816.8201
226,000670.SZ,盈方微,元器件,10.54,7.68,2.86,5.0,348377.2074
182,000606.SZ,顺利办,互联网,10.3,2.05,8.25,1.0,470495.8608
1714,300325.SZ,德威新材,塑料,10.3,2.79,7.51,1.0,362414.7853
1006,002546.SZ,新联电子,电气设备,10.25,3.96,6.29,3.0,450127.8817
2164,600035.SH,楚天高速,路桥,10.14,2.42,7.72,2.0,590834.1198
898,002437.SZ,誉衡药业,化学制药,10.12,7.27,2.85,5.0,1129046.8539
2472,600396.SH,金山股份,火力发电,10.08,6.83,3.25,1.0,382903.7724
