,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300859.SZ,300859,西域旅游,旅游服务,29.56,12.0,3.0,11.45,,0.0
1,601456.SH,601456,国联证券,证券,16.85,11.0,0.0,80.16,,0.0
2,002991.SZ,002991,甘源食品,食品,147.7,10.0,0.0,34.42,,0.0
3,300857.SZ,300857,协创数据,IT设备,39.33,10.0,1.0,20.31,,0.0
4,300855.SZ,300855,图南股份,钢加工,48.96,8.0,0.0,24.48,,0.0
5,300858.SZ,300858,科拓生物,食品,95.05,8.0,0.0,19.61,,0.0
6,002995.SZ,002995,天地在线,互联网,76.06,8.0,0.0,12.3,,0.0
7,600543.SH,600543,莫高股份,红黄酒,9.72,8.0,1.0,31.21,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
8,605188.SH,605188,国光连锁,超市连锁,13.71,7.0,0.0,6.8,,0.0
9,002506.SZ,002506,协鑫集成,电气设备,5.14,7.0,0.0,260.8,"长城(德阳)超日项目基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
天津融境股权投资基金中心(有限合伙)",3.0
10,002108.SZ,002108,沧州明珠,塑料,6.73,7.0,2.0,95.43,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
深圳福星资本管理有限公司-福星高照1号私募投资基金
中央汇金资产管理有限责任公司",3.0
11,603167.SH,603167,渤海轮渡,水运,17.63,7.0,1.0,82.1,"交通银行股份有限公司-景顺长城中证红利低波动100交易型开放式指数证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金
中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)",5.0
12,300099.SZ,300099,精准信息,电器仪表,8.25,6.0,0.0,37.21,,0.0
13,605118.SH,605118,力鼎光电,元器件,22.14,6.0,0.0,9.08,,0.0
14,002651.SZ,002651,利君股份,专用机械,9.0,6.0,0.0,47.44,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
15,601216.SH,601216,君正集团,化工原料,9.13,6.0,0.0,770.39,"中信信诚资产-招商银行-诚融聚荷1号资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",3.0
16,002992.SZ,002992,宝明科技,元器件,38.55,6.0,0.0,13.3,,0.0
17,600139.SH,600139,西部资源,综合类,4.36,6.0,0.0,28.86,,0.0
18,300278.SZ,300278,华昌达,专用机械,6.19,6.0,0.0,18.68,"厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托
陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划",2.0
19,600165.SH,600165,新日恒力,化工原料,7.79,6.0,0.0,53.35,"上海迎水投资管理有限公司-迎水绿洲7号私募证券投资基金
国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划
国通信托有限责任公司-国通信托·紫金8号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划",4.0
20,600363.SH,600363,联创光电,元器件,27.94,6.0,1.0,123.91,,0.0
21,002417.SZ,002417,深南股份,软件服务,9.91,5.0,0.0,22.74,,0.0
22,600151.SH,600151,航天机电,汽车配件,7.98,5.0,0.0,114.45,"中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
23,600166.SH,600166,福田汽车,汽车整车,2.86,5.0,0.0,188.05,中央汇金资产管理有限责任公司,1.0
24,000524.SZ,000524,岭南控股,酒店餐饮,12.3,5.0,0.0,82.43,,0.0
25,300368.SZ,300368,汇金股份,IT设备,13.34,5.0,1.0,63.71,中央汇金资产管理有限责任公司,1.0
26,002163.SZ,002163,海南发展,装修装饰,21.56,5.0,0.0,173.22,"中国对外经济贸易信托有限公司-鸿道3期
华润深国投信托有限公司-华润信托·鸿道聚利集合资金信托计划
中航基金-浙商银行-中航基金同达1号资产管理计划",3.0
