,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300313.SZ,300313,天山生物,农业综合,34.66,11.0,2.0,19.0,63.83,"北京泽盈投资有限公司-泽盈顺势8号私募证券投资基金
北京泽盈投资有限公司-泽盈顺势3号私募证券投资基金",2.0
1,605006.SH,605006,山东玻纤,玻璃,9.97,8.0,2.0,11.0,9.97,,0.0
2,300301.SZ,300301,长方集团,半导体,8.3,6.0,3.0,10.0,51.78,,0.0
3,300185.SZ,300185,通裕重工,工程机械,5.73,6.0,2.0,8.0,172.04,中央汇金资产管理有限责任公司,1.0
4,300863.SZ,300863,卡倍亿,汽车配件,106.25,3.0,3.0,6.0,13.92,,0.0
5,605358.SH,605358,立昂微,半导体,8.57,3.0,3.0,6.0,3.48,,0.0
6,300064.SZ,300064,豫金刚石,矿物制品,6.64,4.0,3.0,6.0,42.41,,0.0
7,605009.SH,605009,豪悦护理,造纸,108.48,3.0,3.0,6.0,28.93,,0.0
8,003000.SZ,003000,华文食品,食品,7.95,2.0,2.0,5.0,3.18,,0.0
9,300569.SZ,300569,天能重工,专用机械,20.0,3.0,3.0,5.0,50.76,"上海致君资产管理有限公司-致君基石投资一号
中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金",2.0
10,605128.SH,605128,N沿浦,汽车配件,33.57,1.0,1.0,4.0,6.71,,0.0
11,300678.SZ,300678,中科信息,软件服务,32.89,3.0,1.0,4.0,59.2,"全国社会保障基金理事会转持一户
鹏华基金管理有限公司-社保基金17031组合
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金",3.0
12,300317.SZ,300317,珈伟新能,半导体,6.59,4.0,2.0,4.0,50.68,香港中央结算有限公司(陆股通),1.0
13,300459.SZ,300459,金科文化,互联网,5.49,4.0,2.0,3.0,128.41,"全国社保基金六零四组合
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
香港中央结算有限公司(陆股通)",3.0
14,601218.SH,601218,吉鑫科技,机械基件,3.96,3.0,2.0,3.0,38.7,,0.0
15,002378.SZ,002378,章源钨业,小金属,5.91,3.0,2.0,3.0,54.56,香港中央结算有限公司(陆股通),1.0
16,300869.SZ,300869,康泰医学,医疗保健,100.0,3.0,3.0,3.0,38.54,,0.0
17,300373.SZ,300373,扬杰科技,半导体,41.78,3.0,1.0,3.0,196.6,"国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金",5.0
18,300056.SZ,300056,中创环保,环境保护,9.83,4.0,2.0,3.0,32.16,九州证券-招商银行-九州联增一期集合资产管理计划,1.0
19,300208.SZ,300208,青岛中程,电气设备,10.03,2.0,2.0,3.0,68.95,"宁波梅山保税港区荟金投资管理有限公司-荟金1号私募证券投资基金
宁波梅山保税港区荟金投资管理有限公司-荟金2号私募证券投资基金",2.0
20,002163.SZ,002163,海南发展,装修装饰,16.5,2.0,2.0,2.0,132.57,中航基金-浙商银行-中航基金同达1号资产管理计划,1.0
21,300797.SZ,300797,钢研纳克,电器仪表,18.92,1.0,1.0,2.0,11.74,,0.0
22,300708.SZ,300708,聚灿光电,半导体,36.48,4.0,1.0,2.0,33.36,,0.0
23,000638.SZ,000638,万方发展,软件服务,6.96,3.0,2.0,2.0,21.53,,0.0
24,688333.SH,688333,铂力特,机械基件,96.87,1.0,1.0,2.0,43.0,,0.0
25,300128.SZ,300128,锦富技术,元器件,4.73,1.0,1.0,2.0,50.97,"上海睿度资产管理有限公司-睿度资产聚缘1号私募证券投资基金
泰兴市智成产业投资基金(有限合伙)",2.0
26,300200.SZ,300200,高盟新材,化工原料,13.86,1.0,1.0,2.0,56.95,中央汇金资产管理有限责任公司,1.0
27,300120.SZ,300120,经纬辉开,元器件,16.5,2.0,1.0,2.0,51.1,"博时基金-农业银行-博时中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中央汇金资产管理有限责任公司
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划",11.0
28,300063.SZ,300063,天龙集团,互联网,8.28,1.0,1.0,2.0,50.05,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,1.0
29,002691.SZ,002691,冀凯股份,专用机械,6.05,2.0,2.0,2.0,20.51,中央汇金资产管理有限责任公司,1.0
30,300102.SZ,300102,乾照光电,半导体,9.02,5.0,1.0,2.0,63.77,"深圳和君正德资产管理有限公司-正德鑫盛一号投资私募基金
深圳和君正德资产管理有限公司-正德远盛产业创新结构化私募基金
国通信托有限责任公司-国通信托·紫金15号卓丰增持集合资金信托计划
山西黄河股权投资管理有限公司-太行产业并购私募基金",4.0
31,300405.SZ,300405,科隆股份,化工原料,9.36,1.0,1.0,2.0,13.74,"中央汇金资产管理有限责任公司
上海银叶阶跃资产管理有限公司-银叶阶跃定增1号私募基金
中天证券-辽阳市国有资产经营(集团)有限公司-中天证券天沃1号单一资产管理计划",3.0
32,300402.SZ,300402,宝色股份,专用机械,15.4,3.0,1.0,2.0,31.11,中央汇金资产管理有限责任公司,1.0
33,300733.SZ,300733,西菱动力,汽车配件,22.5,1.0,1.0,2.0,15.26,,0.0
34,600515.SH,600515,海航基础,全国地产,9.47,2.0,2.0,2.0,157.04,"广东粤财信托有限公司-粤财信托·海航基础定增集合资金信托计划
长江财富资产-浦发银行-兴业信托-兴津浦鑫7号集合资金信托计划
长信基金-浦发银行-兴业国际信托-兴业信托·兴津浦鑫6号集合资金信托计划
大业信托有限责任公司-大业信托·海航基础定增项目投资集合资金信托计划
泰达宏利基金-浦发银行-兴业国际信托-兴业信托·锦馨八号集合资金信托计划
重庆信三威投资咨询中心(有限合伙)-润泽京渝1号私募基金",6.0
35,002487.SZ,002487,大金重工,钢加工,10.15,2.0,2.0,2.0,54.97,"中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金
中金公司-建设银行-中金新锐股票型集合资产管理计划",2.0
36,300466.SZ,300466,赛摩智能,电器仪表,7.8,1.0,1.0,2.0,29.55,"徐州经济技术开发区金龙湖城市投资有限公司-证券行业支持民企发展系列之兴业证券1号单一资产管理计划
徐州经济技术开发区金龙湖城市投资有限公司-证券行业支持民企发展系列之兴业证券5号单一资产管理计划
华泰证券资管-徐州市融资担保有限公司-证券行业支持民企发展系列之华泰证券资管5号单一资产管理计划",3.0
37,300687.SZ,300687,赛意信息,软件服务,26.64,1.0,1.0,2.0,40.26,"中国建设银行-华夏红利混合型开放式证券投资基金
珠海高瓴天成股权投资基金(有限合伙)",2.0
38,300139.SZ,300139,晓程科技,元器件,16.5,3.0,1.0,2.0,37.45,,0.0
39,300217.SZ,300217,东方电热,电器仪表,4.41,4.0,1.0,2.0,38.77,中央汇金资产管理有限责任公司,1.0
40,300004.SZ,300004,南风股份,电气设备,8.8,3.0,2.0,2.0,36.84,,0.0
41,300152.SZ,300152,科融环境,环境保护,4.89,5.0,1.0,2.0,34.84,,0.0
42,300300.SZ,300300,汉鼎宇佑,软件服务,8.23,1.0,1.0,2.0,55.24,香港中央结算有限公司(陆股通),1.0
43,300859.SZ,300859,西域旅游,旅游服务,45.14,3.0,1.0,2.0,17.49,,0.0
44,300561.SZ,300561,汇金科技,软件服务,27.25,3.0,1.0,2.0,36.64,,0.0
