code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
600539,*ST狮头,0.852,-58.218,1.673,0.015,7.002,,
600321,*ST正源,6.17,-30.767,0.447,0.02,2.385,,
000586,汇源通信,10.351,-30.269,1.947,0.041,10.54,,
300444,双杰电气,22.593,-29.118,11.63,0.061,16.722,,
300312,邦讯技术,2.281,-28.968,6.83,0.062,9.022,,
300083,劲胜智能,2.025,-27.437,1.63,0.028,5.535,★,
300278,华昌达,1.158,-26.353,5.473,0.041,8.15,,
002496,辉丰股份,0.63,-26.011,2.007,0.013,3.145,★,
002738,中矿资源,7.657,-25.348,1.98,0.023,22.085,,
002343,慈文传媒,6.859,-21.45,1.957,0.03,33.742,,
300738,奥飞数据,1.345,-21.439,10.897,0.022,59.828,,
002635,安洁科技,13.876,-19.801,6.297,0.049,17.385,,
600689,上海三毛,0.52,-19.676,2.833,0.026,10.862,,
002365,永安药业,8.722,-19.053,7.073,0.049,25.705,,
002223,鱼跃医疗,2.062,-18.961,2.203,0.022,19.855,,
300383,光环新网,4.936,-18.705,2.56,0.018,15.685,,
600710,苏美达,1.601,-18.418,0.93,0.03,5.845,,
300433,蓝思科技,4.034,-17.901,2.323,0.016,21.355,,
002600,领益智造,10.003,-17.866,4.847,0.047,6.395,,
300175,朗源股份,1.718,-17.863,0.803,0.016,5.18,,
300115,长盈精密,7.19,-17.48,1.633,0.033,15.448,,
000755,*ST三维,0.564,-17.267,0.873,0.032,5.478,,
000065,北方国际,0.07,-17.02,0.623,0.011,14.635,★,
002531,天顺风能,0.331,-16.843,0.513,0.015,5.97,,
600234,ST山水,3.378,-16.838,0.127,0.032,10.01,,
002200,云投生态,1.189,-16.561,1.317,0.011,8.665,,
002668,奥马电器,1.528,-16.501,1.287,0.014,21.732,,
002475,立讯精密,6.483,-15.849,0.503,0.021,21.102,,
000509,华塑控股,0.624,-15.837,1.46,0.016,3.275,★,
002264,新 华 都,1.958,-15.82,2.123,0.021,8.802,★,
600455,博通股份,3.14,-15.705,0.347,0.014,28.708,★,
002241,歌尔股份,2.384,-15.58,1.087,0.017,11.278,,
300459,金科文化,6.167,-15.56,1.377,0.018,11.005,,
600783,鲁信创投,3.101,-15.536,0.777,0.025,11.215,,
300136,信维通信,1.492,-15.476,1.603,0.015,31.315,,
300251,光线传媒,5.704,-15.391,2.223,0.04,11.325,,
002285,世联行,0.979,-15.36,1.93,0.025,8.347,,
002417,深南股份,1.266,-15.264,0.737,0.017,10.285,★,
000703,恒逸石化,4.999,-15.147,1.08,0.033,20.84,,
600532,宏达矿业,1.217,-15.096,1.063,0.015,7.252,,
300450,先导智能,0.967,-14.93,2.963,0.038,63.215,,
300145,中金环境,2.174,-14.809,1.263,0.012,10.2,,
300268,佳沃股份,0.273,-14.805,1.353,0.021,14.2,,
002491,通鼎互联,1.747,-14.699,0.653,0.01,13.31,★,
002639,雪人股份,6.472,-14.357,1.017,0.024,6.818,,
