,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_DAILY_AGGRESSIVE_RATE
0,002351.SZ,漫步者,IT设备,21.03,9.14,3.24,47.08,11.32
1,300643.SZ,万通智控,汽车配件,18.89,5.3,2.08,60.03,10.3
2,603229.SH,奥翔药业,化学制药,23.32,3.62,1.79,25.02,7.99
3,300014.SZ,亿纬锂能,电气设备,49.58,2.63,3.11,14.59,6.75
4,300207.SZ,欣旺达,元器件,19.28,2.97,1.43,18.19,6.71
5,300341.SZ,麦克奥迪,电气设备,19.36,10.23,3.52,61.49,3.43
6,603005.SH,晶方科技,半导体,31.42,3.25,1.7,32.59,3.38
7,002655.SZ,共达电声,元器件,16.05,3.77,1.84,31.37,3.15
8,300438.SZ,鹏辉能源,电气设备,24.34,2.32,1.45,6.15,3.15
9,300223.SZ,北京君正,半导体,77.83,4.72,3.63,25.84,3.01
10,603501.SH,韦尔股份,半导体,144.9,4.43,3.81,28.86,2.68
11,300256.SZ,星星科技,元器件,5.91,2.49,1.46,14.26,2.68
12,600640.SH,号百控股,影视音像,20.51,2.96,1.35,20.34,2.23
13,002036.SZ,联创电子,元器件,16.29,2.34,1.24,22.17,2.13
14,002861.SZ,瀛通通讯,通信设备,40.93,3.74,1.67,10.21,2.09
15,000673.SZ,当代东方,影视音像,5.64,3.24,1.77,30.08,2.02
16,002045.SZ,国光电器,元器件,14.15,5.74,2.51,15.75,1.94
17,002065.SZ,东华软件,软件服务,10.03,2.2,1.49,9.89,1.9
18,300319.SZ,麦捷科技,元器件,12.17,3.71,1.6,20.73,1.74
19,603520.SH,司太立,化学制药,43.15,3.14,1.28,13.09,1.74
20,300277.SZ,海联讯,软件服务,11.07,2.89,1.57,30.03,1.69
21,300767.SZ,震安科技,橡胶,56.56,2.97,1.4,22.93,1.68
22,300632.SZ,光莆股份,半导体,27.19,2.57,1.41,13.38,1.66
23,603133.SH,碳元科技,元器件,22.5,2.31,1.09,6.31,1.54
24,300598.SZ,诚迈科技,软件服务,112.0,6.95,3.29,28.21,1.46
25,002156.SZ,通富微电,半导体,13.42,2.52,1.34,9.99,1.39
26,600584.SH,长电科技,半导体,22.79,3.15,1.59,13.48,1.34
27,300474.SZ,景嘉微,元器件,67.47,2.63,1.51,19.93,1.28
