,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300108.SZ,300108,吉药控股,中成药,True,3.22,7.0,0.0,2.0,14.28,"吉林省现代农业和新兴产业投资基金有限公司
上海国药股权投资基金合伙企业(有限合伙)
汇安基金-浦发银行-江海证券有限公司",3.0
1,002162.SZ,002162,悦心健康,医疗保健,True,3.47,5.0,0.0,1.0,29.6,中央汇金资产管理有限责任公司,1.0
2,300239.SZ,300239,东宝生物,生物制药,True,5.54,0.0,0.0,1.0,27.98,"中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司
内蒙古金融资产管理有限公司
中科先行(北京)资产管理有限公司",4.0
3,002370.SZ,002370,亚太药业,化学制药,True,5.79,0.0,1.0,1.0,26.82,上海华富利得资产-民生银行-富鼎6号专项资产管理计划,1.0
4,000790.SZ,000790,华神科技,中成药,True,6.0,0.0,1.0,1.0,36.95,,0.0
5,002349.SZ,002349,精华制药,中成药,True,6.08,6.0,0.0,1.0,49.93,,0.0
6,002198.SZ,002198,嘉应制药,中成药,True,6.11,8.0,1.0,1.0,31.01,深圳市老虎汇资产管理有限公司,1.0
7,300006.SZ,300006,莱美药业,化学制药,True,6.37,0.0,1.0,1.0,42.76,中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划,1.0
8,000518.SZ,000518,四环生物,生物制药,True,6.39,0.0,3.0,3.0,65.79,,0.0
9,000908.SZ,000908,景峰医药,化学制药,True,6.42,0.0,1.0,1.0,46.03,"中国长城资产管理股份有限公司
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
平江县国有资产管理局",3.0
