,ts_code,symbol,name,industry,COL_PRICE,COL_LIMIT_COUNT_A,COL_LIMIT_COUNT_B,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000662.SZ,000662,天夏退,,0.23,1.0,1.0,2.51,,0.0
1,600715.SH,600715,文投控股,影视音像,2.35,1.0,1.0,48.04,"中国民生信托有限公司-中国民生信托-至信516号证券投资集合资金信托计划
北京市文化创意产业投资基金管理有限公司-北京文创定增基金",2.0
2,000620.SZ,000620,新华联,全国地产,2.57,1.0,1.0,53.66,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
3,600052.SH,600052,浙江广厦,影视音像,3.05,1.0,1.0,25.24,,0.0
4,000797.SZ,000797,中国武夷,全国地产,3.32,1.0,1.0,54.19,"上海禛瑛投资管理有限公司-禛瑛稳健2号私募投资基金
华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划",2.0
5,002776.SZ,002776,柏堡龙,服饰,4.11,1.0,1.0,22.22,"浙商财富(北京)投资基金管理有限公司-浙商投资合旭1号私募证券投资基金
浙江品润投资管理有限公司-品润FOF品人2期私募证券投资基金
浙商财富(北京)投资基金管理有限公司-浙商投资长盈二号私募证券投资基金",3.0
6,002103.SZ,002103,广博股份,文教休闲,4.42,1.0,1.0,16.36,,0.0
7,002618.SZ,002618,丹邦科技,元器件,4.68,1.0,1.0,28.22,香港中央结算有限公司(陆股通),1.0
8,600766.SH,600766,园城黄金,黄金,4.72,1.0,1.0,10.82,,0.0
9,000613.SZ,000613,大东海A,旅游服务,4.92,1.0,1.0,13.18,,0.0
10,000559.SZ,000559,万向钱潮,汽车配件,5.21,1.0,1.0,147.02,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
国机资产管理有限公司",3.0
11,002400.SZ,002400,省广集团,广告包装,5.5,1.0,1.0,96.56,,0.0
12,002580.SZ,002580,圣阳股份,电气设备,6.4,1.0,1.0,19.46,,0.0
13,600360.SH,600360,华微电子,半导体,7.18,1.0,1.0,67.8,"中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金
国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金",2.0
14,600983.SH,600983,惠而浦,家用电器,8.12,1.0,1.0,68.44,中央汇金资产管理有限责任公司,1.0
