,ts_code,symbol,name,industry,COL_MAX_CONTINUOUS_LIMIT_COUNT,COL_LAST_IF_LIMIT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,603157.SH,603157,*ST拉夏,服饰,8.0,False,4.45,,0.0
1,002592.SZ,002592,ST八菱,汽车配件,5.0,False,12.59,"国海证券-工商银行-国海金贝壳员工持股2号集合资产管理计划
南宁八菱科技股份有限公司-第2期员工持股计划+国海证券-工商银行-国海金贝壳员工持股2号集合资产管理计划",2.0
2,002684.SZ,002684,*ST猛狮,电气设备,5.0,False,13.67,"深圳前海易德资本优势股权投资基金合伙企业(有限合伙)
深圳前海易德顺升股权投资基金合伙企业(有限合伙)
宁波致云股权投资基金管理有限公司",3.0
3,002175.SZ,002175,*ST东网,电器仪表,5.0,False,15.07,上海文盛资产管理股份有限公司,1.0
4,600091.SH,600091,*ST明科,化工原料,4.0,False,10.32,,0.0
5,002356.SZ,002356,*ST赫美,其他商业,4.0,False,10.69,,0.0
6,000835.SZ,000835,*ST长动,影视音像,4.0,False,7.78,,0.0
7,002219.SZ,002219,*ST恒康,中成药,3.0,False,67.68,"华龙证券-浦发银行-华龙证券金智汇质押宝4号集合资产管理计划
新余恒道资产管理中心(有限合伙)
长安基金-工商银行-华鑫信托-鑫康财富3号单一资金信托
四川产业振兴发展投资基金有限公司
盛世金泉(天津)股权投资基金管理有限公司",5.0
8,002256.SZ,002256,*ST兆新,新型电力,3.0,False,30.19,"深圳市汇通正源股权投资基金合伙企业(有限合伙)
中融国际信托有限公司
上海隆升资产管理有限公司",3.0
9,002321.SZ,002321,*ST华英,农业综合,3.0,False,12.16,,0.0
10,000410.SZ,000410,*ST沈机,机床制造,3.0,False,68.25,"中国信达资产管理股份有限公司
兴业资产管理有限公司",2.0
11,002188.SZ,002188,*ST巴士,广告包装,3.0,False,7.49,,0.0
12,002147.SZ,002147,*ST新光,区域地产,3.0,False,12.57,"申万菱信基金-工商银行-创盈定增71号资产管理计划
信诚基金-中信银行-信诚基金定众1号分级资产管理计划
光大保德信资管-浦发银行-光大保德信耀财富富增6号分级专项资产管理计划
光大保德信资管-浦发银行-光大保德信耀财富富增4号专项资产管理计划",4.0
13,600112.SH,600112,*ST天成,电气设备,3.0,False,7.49,,0.0
14,600408.SH,600408,ST安泰,焦炭加工,3.0,False,36.35,,0.0
15,600615.SH,600615,*ST丰华,小金属,3.0,False,12.61,"重庆国际信托股份有限公司-鸿睿一号集合资金信托计划
重庆国际信托股份有限公司-兴国1号集合资金信托计划",2.0
16,600725.SH,600725,ST云维,焦炭加工,3.0,False,29.58,,0.0
17,000007.SZ,000007,*ST全新,酒店餐饮,3.0,False,10.91,,0.0
