,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,300160.SZ,秀强股份,玻璃,7.73,49.99,中央汇金资产管理有限责任公司
1,000016.SZ,深康佳A,家用电器,8.81,45.94,"香港中央结算有限公司(陆股通)
全国社保基金一一八组合"
2,002239.SZ,奥特佳,汽车配件,3.33,45.31,
3,002838.SZ,道恩股份,塑料,22.13,40.04,"全国社保基金四零四组合
招商银行股份有限公司-鹏华创新驱动混合型证券投资基金
中国工商银行股份有限公司-诺安成长混合型证券投资基金
兴业银行股份有限公司-工银瑞信新材料新能源行业股票型证券投资基金
中国工商银行股份有限公司-鹏华改革红利股票型证券投资基金"
4,300235.SZ,方直科技,软件服务,24.09,39.99,前海开源基金-浦发银行-中融国际信托-中融-融珲60号单一资金信托
5,300051.SZ,三五互联,互联网,14.32,39.99,
6,688088.SH,虹软科技,软件服务,99.81,38.18,
7,300363.SZ,博腾股份,化学制药,26.9,37.02,"重庆慧林股权投资基金合伙企业(有限合伙)
华泰瑞联基金管理有限公司-南京华泰瑞联并购基金二号(有限合伙)
中国工商银行-广发聚丰混合型证券投资基金
华泰瑞联基金管理有限公司-南京华泰瑞联并购基金三号(有限合伙)"
8,600200.SH,江苏吴中,化学制药,11.36,36.47,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
9,000652.SZ,泰达股份,批发业,8.8,30.11,"中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
南方基金-农业银行-南方中证金融资产管理计划"
10,603726.SH,朗迪集团,机械基件,20.21,30.04,
11,601999.SH,出版传媒,出版业,9.56,30.04,"中央汇金资产管理有限责任公司
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
12,000977.SZ,浪潮信息,IT设备,47.52,30.01,"中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-华安智能生活混合型证券投资基金
全国社保基金四一四组合
中国建设银行股份有限公司-华商盛世成长混合型证券投资基金
全国社保基金一一零组合"
