,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000509.SZ,000509,*ST华塑,医疗保健,True,2.02,0.0,0.0,0.0,16.67,,0.0
1,300247.SZ,300247,融捷健康,医疗保健,True,2.9,1.0,0.0,0.0,19.1,安徽高新毅达皖江产业发展创业投资基金(有限合伙),1.0
2,600530.SH,600530,*ST交昂,医疗保健,True,3.0,5.0,0.0,0.0,23.4,,0.0
3,300108.SZ,300108,吉药控股,中成药,True,3.03,4.0,1.0,2.0,13.44,"汇安基金-浦发银行-江海证券有限公司
上海国药股权投资基金合伙企业(有限合伙)
吉林省现代农业和新兴产业投资基金有限公司",3.0
4,002162.SZ,002162,悦心健康,医疗保健,True,3.46,2.0,1.0,1.0,29.51,中央汇金资产管理有限责任公司,1.0
5,600252.SH,600252,中恒集团,中成药,True,3.53,3.0,0.0,0.0,122.67,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",12.0
6,002435.SZ,002435,长江健康,化学制药,True,4.07,9.0,0.0,1.0,48.82,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划",2.0
7,300267.SZ,300267,尔康制药,化学制药,True,4.69,3.0,0.0,0.0,66.61,,0.0
8,300239.SZ,300239,东宝生物,生物制药,True,5.05,3.0,1.0,1.0,25.5,"中国华融资产管理股份有限公司
中央汇金资产管理有限责任公司
内蒙古金融资产管理有限公司
中科先行(北京)资产管理有限公司",4.0
9,000790.SZ,000790,华神科技,中成药,True,5.1,9.0,0.0,0.0,31.4,,0.0
10,000597.SZ,000597,东北制药,化学制药,True,5.26,9.0,0.0,0.0,65.73,"中国华融资产管理股份有限公司
香港中央结算有限公司(陆股通)",2.0
11,600351.SH,600351,亚宝药业,中成药,True,5.39,3.0,0.0,0.0,41.5,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
12,002004.SZ,002004,华邦健康,化学制药,True,5.4,3.0,0.0,0.0,97.68,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
13,002198.SZ,002198,嘉应制药,中成药,True,5.48,5.0,0.0,0.0,27.81,深圳市老虎汇资产管理有限公司,1.0
14,600572.SH,600572,康恩贝,中成药,True,5.72,9.0,0.0,0.0,152.19,"中央汇金资产管理有限责任公司
渤海国际信托股份有限公司-渤海信托·恒利丰253号集合资金信托计划
香港中央结算有限公司(陆股通)
金元顺安基金-杭州银行-华润信托-华润信托·汇祥增利53号单一资金信托
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",5.0
15,002349.SZ,002349,精华制药,中成药,True,5.75,3.0,1.0,1.0,47.22,,0.0
16,002173.SZ,002173,创新医疗,医疗保健,True,6.06,5.0,0.0,0.0,22.48,,0.0
17,300181.SZ,300181,佐力药业,中成药,True,6.23,1.0,0.0,0.0,28.9,长信基金-工商银行-长信-朗程-工行定增1号资产管理计划,1.0
18,600222.SH,600222,太龙药业,中成药,True,6.54,3.0,0.0,0.0,37.53,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
19,300086.SZ,300086,康芝药业,化学制药,True,7.05,1.0,2.0,2.0,30.71,云南国际信托有限公司-聚鑫2026号集合资金信托计划,1.0
20,000919.SZ,000919,金陵药业,化学制药,True,7.14,3.0,0.0,0.0,35.9,中央汇金资产管理有限责任公司,1.0
21,300199.SZ,300199,翰宇药业,化学制药,True,7.23,2.0,2.0,2.0,42.48,"中国华融资产管理股份有限公司
中央汇金资产管理有限责任公司
红土创新基金-广发证券-中国华融资产管理股份有限公司
深圳市投控资本有限公司-深圳投控共赢股权投资基金合伙企业(有限合伙)",4.0
22,002562.SZ,002562,兄弟科技,化学制药,True,7.25,9.0,0.0,0.0,39.08,"中国国际金融香港资产管理有限公司-客户资金
中国建设银行股份有限公司-华夏兴华混合型证券投资基金
中央汇金资产管理有限责任公司",3.0
23,000788.SZ,000788,北大医药,化学制药,True,7.26,5.0,0.0,0.0,43.27,"中央汇金资产管理有限责任公司
北京大学教育基金会
建投中信资产管理有限责任公司",3.0
24,002566.SZ,002566,益盛药业,中成药,True,7.37,3.0,0.0,0.0,17.08,中央汇金资产管理有限责任公司,1.0
25,300318.SZ,300318,博晖创新,医疗保健,True,7.51,2.0,1.0,1.0,54.41,中央汇金资产管理有限责任公司,1.0
26,600673.SH,600673,东阳光,化学制药,True,7.76,0.0,0.0,0.0,190.7,"中国银行股份有限公司-景顺长城优选混合型证券投资基金
香港中央结算有限公司(陆股通)",2.0
27,002688.SZ,002688,金河生物,化学制药,True,8.11,3.0,0.0,0.0,50.55,"上海盘京投资管理中心(有限合伙)-盛信2期私募证券投资基金
华润深国投信托有限公司-华润信托·枫池专享集合资金信托计划
上海盘京投资管理中心(有限合伙)-盘世2期私募证券投资基金
上银基金-浦发银行-上银基金财富51号资产管理计划",4.0
28,600851.SH,600851,海欣股份,化学制药,True,8.32,5.0,0.0,0.0,61.42,"中央汇金资产管理有限责任公司
重庆国际信托股份有限公司-兴国2号集合资金信托
深圳市惠和投资基金管理有限公司-深圳市惠和基金惠和2号证券投资基金
重庆国际信托股份有限公司-兴国1号集合资金信托计划",4.0
29,600538.SH,600538,国发股份,医药商业,True,8.57,1.0,0.0,0.0,39.8,圆信永丰基金-昆仑健康保险股份有限公司-圆信永丰优选金股2号单一资产管理计划,1.0
30,000566.SZ,000566,海南海药,化学制药,True,8.74,9.0,0.0,1.0,105.19,"泰达宏利基金-浦发银行-粤财信托-粤财信托·浦发绚丽2号结构化集合资金信托计划
国通信托有限责任公司-国通信托·方泰1号集合资金信托计划
金元顺安基金-农业银行-杭州通武投资管理合伙企业(有限合伙)
云南国际信托有限公司-聚利36号单一资金信托",4.0
31,603669.SH,603669,灵康药业,化学制药,True,9.03,3.0,0.0,0.0,64.42,香港中央结算有限公司(陆股通),1.0
32,000952.SZ,000952,广济药业,化学制药,True,9.07,6.0,0.0,0.0,27.34,盛稷股权投资基金(上海)有限公司,1.0
33,002166.SZ,002166,莱茵生物,中成药,True,9.19,3.0,0.0,0.0,40.77,中央汇金资产管理有限责任公司,1.0
34,603963.SH,603963,大理药业,化学制药,True,9.19,6.0,0.0,0.0,11.86,,0.0
35,300412.SZ,300412,迦南科技,医疗保健,True,9.73,1.0,0.0,0.0,21.65,"中央汇金资产管理有限责任公司
北信瑞丰基金-平安银行-北信瑞丰基金浙商汇融5号资产管理计划",2.0
36,002524.SZ,002524,光正集团,医疗保健,True,10.16,9.0,0.0,0.0,49.2,稷定资产管理(嘉兴)有限公司-稷定健康私募证券投资基金,1.0
