,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688510.SH,688510,N航亚,航空,37.18,1.0,36.0,18.38,,0.0
1,688608.SH,688608,N恒玄,半导体,362.0,1.0,12.0,83.19,,0.0
2,688136.SH,688136,科兴制药,生物制药,47.0,2.0,10.0,19.23,,0.0
3,605376.SH,605376,博迁新材,小金属,29.81,3.0,10.0,19.5,,0.0
4,603025.SH,603025,大豪科技,IT设备,16.94,3.0,8.0,155.57,香港中央结算有限公司(陆股通),1.0
5,003025.SZ,003025,思进智能,机械基件,40.9,3.0,7.0,8.22,,0.0
6,003023.SZ,003023,彩虹集团,家用电器,44.76,2.0,6.0,9.09,,0.0
7,605299.SH,605299,舒华体育,文教休闲,11.52,2.0,5.0,5.76,,0.0
8,605151.SH,605151,西上海,汽车配件,25.55,2.0,5.0,8.52,,0.0
9,003020.SZ,003020,立方制药,化学制药,36.64,2.0,5.0,8.49,,0.0
10,000521.SZ,000521,长虹美菱,家用电器,4.13,1.0,4.0,36.04,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
财通基金-宁波银行-海通兴泰(安徽)新兴产业投资基金(有限合伙)",2.0
11,600189.SH,600189,泉阳泉,软饮料,11.75,3.0,3.0,66.13,"吉林省吉盛资产管理有限责任公司
中国华融资产管理股份有限公司",2.0
12,002162.SZ,002162,悦心健康,医疗保健,4.45,2.0,3.0,37.94,中央汇金资产管理有限责任公司,1.0
13,001896.SZ,001896,豫能控股,火力发电,5.01,3.0,3.0,57.64,,0.0
14,600293.SH,600293,三峡新材,互联网,2.97,2.0,2.0,34.46,"深圳市前海富荣资产管理有限公司
深圳蒙商基金管理有限公司",2.0
15,600006.SH,600006,东风汽车,汽车整车,7.35,2.0,2.0,147.0,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
平安资管-农业银行-平安资产如意35号资产管理产品
平安资产-工商银行-平安资产创赢18号资产管理产品
基本养老保险基金一三零一组合
中央汇金资产管理有限责任公司",6.0
16,601127.SH,601127,小康股份,汽车配件,17.63,2.0,2.0,164.56,"重庆两江股权投资基金管理有限公司-重庆两江新区战略性新兴产业股权投资基金合伙企业(有限合伙)
小康控股-红塔证券-19小康EB担保及信托财产专户
小康控股-红塔证券-20康EB02担保及信托财产专户
华鑫国际信托有限公司-华鑫信托·396号证券投资集合资金信托计划",4.0
17,600559.SH,600559,老白干酒,白酒,30.06,2.0,2.0,263.54,"北京航天产业投资基金(有限合伙)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
香港中央结算有限公司(陆股通)
鹏华基金-工商银行-鹏华基金增发精选1号资产管理计划
汇添富基金-工商银行-汇添富-定增盛世添富牛37号资产管理计划",5.0
18,600616.SH,600616,金枫酒业,红黄酒,9.12,2.0,2.0,61.01,,0.0
19,002731.SZ,002731,萃华珠宝,服饰,8.18,2.0,2.0,18.21,中央汇金资产管理有限责任公司,1.0
20,600199.SH,600199,金种子酒,白酒,14.23,2.0,2.0,86.3,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司",2.0
21,000816.SZ,000816,智慧农业,农用机械,3.89,2.0,2.0,51.98,,0.0
22,603655.SH,603655,朗博科技,汽车配件,27.58,2.0,2.0,9.38,"益家资本管理有限公司-益家聚美3号私募证券投资基金
益家资本管理有限公司-益家聚美1号私募证券投资基金",2.0
23,002286.SZ,002286,保龄宝,食品,11.95,2.0,2.0,44.13,"中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
宁波趵朴富通资产管理中心(有限合伙)
中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金
中国农业银行股份有限公司-交银施罗德定期支付双息平衡混合型证券投资基金
中央汇金资产管理有限责任公司",5.0
24,601566.SH,601566,九牧王,服饰,12.13,1.0,1.0,69.7,"招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
兴证证券资管-兴业银行-兴证资管鑫众76号集合资产管理计划",2.0
25,603919.SH,603919,金徽酒,白酒,48.19,1.0,1.0,236.76,"光大兴陇信托有限责任公司-光大-融金1号证券投资集合资金信托计划
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
贫困地区产业发展基金有限公司
中央企业贫困地区产业投资基金股份有限公司",4.0
