,ts_code,name,industry,continuously_up,average_turnover_rate,LAST_5DAY_WEIGHT_P_CHANGE,LAST_DAY_P_CHANGE
1025,002565.SZ,顺灏股份,造纸,3.0,10.634,51.56,10.041
632,002170.SZ,芭田股份,农药化肥,3.0,16.42,41.12,-9.899
2311,600218.SH,全柴动力,农用机械,3.0,20.045,33.06,9.966
2120,300749.SZ,顶固集创,家居用品,3.0,58.765,32.39,3.396
1961,300582.SZ,英飞特,半导体,1.0,15.553,27.76,-3.619
41,000055.SZ,方大集团,其他建材,4.0,10.744,26.38,1.536
920,002459.SZ,天业通联,工程机械,1.0,8.896,26.33,10.018
2364,600280.SH,中央商场,百货,4.0,7.637,24.05,-8.097
1482,300096.SZ,易联众,软件服务,3.0,6.566,23.45,10.033
2409,600331.SH,宏达股份,铅锌,3.0,7.201,20.68,-7.092
1378,002937.SZ,兴瑞科技,元器件,3.0,55.268,19.65,2.2
1702,300317.SZ,珈伟新能,半导体,3.0,8.579,18.87,-8.683
2060,300684.SZ,中石科技,化工原料,1.0,17.349,17.2,9.988
2561,600532.SH,宏达矿业,普钢,3.0,6.459,16.24,-4.468
3079,601811.SH,新华文轩,出版业,4.0,21.258,15.88,6.878
2330,600238.SH,*ST椰岛,红黄药酒,4.0,1.855,15.52,-2.266
2188,600078.SH,澄星股份,化工原料,4.0,9.968,15.1,-9.569
1659,300274.SZ,阳光电源,电气设备,3.0,5.864,15.05,4.733
3233,603186.SH,华正新材,元器件,3.0,22.018,14.92,-8.03
1774,300391.SZ,康跃科技,机械基件,1.0,12.44,14.73,10.032
188,000612.SZ,焦作万方,铝,3.0,1.579,14.62,-3.03
3141,603017.SH,中衡设计,建筑施工,1.0,14.242,14.45,9.987
1954,300575.SZ,中旗股份,农药化肥,5.0,6.387,14.2,2.081
2069,300693.SZ,盛弘股份,电气设备,1.0,16.82,14.09,-6.233
2605,600584.SH,长电科技,半导体,1.0,5.259,14.06,-0.098
1383,002942.SZ,新农股份,农药化肥,3.0,46.416,13.99,-6.682
2990,601177.SH,杭齿前进,机械基件,2.0,1.683,13.97,4.369
305,000785.SZ,武汉中商,百货,3.0,0.078,13.54,10.014
3247,603220.SH,贝通信,通信设备,3.0,46.752,13.24,-10.003
696,002234.SZ,民和股份,农业综合,3.0,8.794,12.56,2.321
2099,300725.SZ,药石科技,化工原料,1.0,3.573,12.47,9.997
919,002458.SZ,益生股份,农业综合,3.0,6.191,12.38,-0.224
157,000570.SZ,苏常柴A,机械基件,4.0,7.768,12.32,2.814
3150,603027.SH,千禾味业,食品,3.0,3.981,12.2,2.5
1711,300326.SZ,凯利泰,医疗保健,3.0,1.304,11.95,5.455
1384,002943.SZ,宇晶股份,机床制造,3.0,48.405,11.93,-8.607
1322,002876.SZ,三利谱,元器件,1.0,2.991,11.75,5.325
1210,002755.SZ,东方新星,建筑施工,1.0,5.225,11.64,-4.712
473,002011.SZ,盾安环境,工程机械,3.0,3.441,11.6,10.0
782,002321.SZ,华英农业,农业综合,1.0,6.566,11.46,-1.505
1239,002786.SZ,银宝山新,专用机械,4.0,2.877,11.42,10.013
1466,300080.SZ,易成新能,半导体,3.0,10.26,11.26,-10.04
2745,600738.SH,兰州民百,百货,3.0,5.862,11.21,0.0
1893,300510.SZ,金冠股份,电气设备,1.0,4.333,11.14,0.104
412,000936.SZ,华西股份,化纤,3.0,12.102,11.13,-2.228
260,000713.SZ,丰乐种业,种植业,4.0,12.97,10.93,-6.376
2123,300752.SZ,隆利科技,元器件,1.0,34.729,10.83,-4.022
3373,603583.SH,捷昌驱动,电气设备,3.0,12.781,10.74,6.832
2494,600448.SH,华纺股份,纺织,2.0,2.596,10.66,-3.203
497,002035.SZ,华帝股份,家用电器,1.0,2.7,10.36,5.436
2276,600178.SH,东安动力,汽车配件,3.0,4.394,10.34,9.942
718,002256.SZ,兆新股份,染料涂料,1.0,3.107,10.34,-2.597
915,002454.SZ,松芝股份,汽车配件,4.0,5.293,10.32,-5.501
3569,603985.SH,恒润股份,机械基件,3.0,4.085,10.31,5.646
1653,300268.SZ,佳沃股份,农业综合,1.0,4.974,10.26,6.656
2080,300705.SZ,九典制药,化学制药,3.0,7.309,10.17,-2.525
1928,300547.SZ,川环科技,橡胶,1.0,2.7,10.16,9.995
3570,603986.SH,兆易创新,半导体,1.0,4.968,10.1,2.229
3393,603611.SH,诺力股份,运输设备,4.0,1.251,8.22,9.993
2838,600841.SH,上柴股份,机械基件,3.0,3.136,8.08,9.987
454,000996.SZ,中国中期,汽车服务,4.0,2.337,7.88,10.011
458,001696.SZ,宗申动力,摩托车,4.0,2.85,7.74,9.98
541,002079.SZ,苏州固锝,半导体,1.0,9.816,7.14,9.965
1718,300333.SZ,兆日科技,元器件,1.0,2.969,7.02,10.039
398,000920.SZ,南方汇通,环境保护,3.0,2.131,6.91,9.932
208,000637.SZ,茂化实华,石油加工,3.0,5.793,6.4,9.929
1285,002836.SZ,新宏泽,广告包装,3.0,6.233,4.61,9.975
1255,002803.SZ,吉宏股份,广告包装,1.0,7.046,3.92,10.007
147,000558.SZ,莱茵体育,文教休闲,3.0,1.332,3.9,9.968
2728,600721.SH,百花村,生物制药,1.0,3.108,3.15,9.945
2289,600192.SH,长城电工,电气设备,3.0,9.02,3.07,10.0
1190,002733.SZ,雄韬股份,电气设备,8.0,14.592,2.2,10.0
1717,300332.SZ,天壕环境,环境保护,4.0,3.394,2.11,10.106
1675,300290.SZ,荣科科技,软件服务,3.0,3.49,2.08,10.076
3288,603321.SH,梅轮电梯,运输设备,3.0,9.372,1.56,10.042
848,002387.SZ,维信诺,元器件,1.0,1.905,1.15,10.0
2454,600386.SH,北巴传媒,公共交通,4.0,1.055,0.83,10.0
348,000839.SZ,中信国安,综合类,0.0,1.421,-1.17,9.938
3387,603603.SH,博天环境,环境保护,0.0,3.173,-1.55,10.0
798,002337.SZ,赛象科技,化工机械,0.0,2.573,-2.51,9.946
474,002012.SZ,凯恩股份,造纸,0.0,10.57,-3.66,9.977
