code,name,pe,past_p_change,past_average_turnover,stop_mark
002188,ST巴士,15.92,-37.776,6.817,
002729,好利来,88.2,-36.127,14.977,
601600,中国铝业,44.44,-32.329,3.247,
300566,激智科技,60.19,-30.115,3.85,
600715,文投控股,61.46,-23.856,4.557,
002517,恺英网络,20.54,-23.274,6.873,
601838,成都银行,12.2,-21.724,15.813,
300042,朗科科技,68.52,-19.883,0.903,
300157,恒泰艾普,48.14,-18.002,4.847,
601700,风范股份,36.22,-16.824,1.797,
002508,老板电器,29.87,-14.789,1.793,
002069,獐子岛,32.96,-14.749,6.65,
600875,东方电气,39.68,-14.661,0.547,
300412,迦南科技,42.15,-14.586,0.81,
300143,星普医科,42.48,-14.424,2.187,
601101,昊华能源,11.13,-14.093,1.133,
600188,兖州煤业,11.51,-14.065,1.283,
000983,西山煤电,15.8,-14.04,1.007,
000723,美锦能源,19.95,-13.588,4.187,
002251,步 步 高,55.57,-13.554,1.593,
002086,东方海洋,48.91,-13.523,2.117,
600971,恒源煤电,8.0,-13.258,1.417,
601225,陕西煤业,7.77,-12.677,0.68,
002684,猛狮科技,70.06,-12.348,2.827,
601001,大同煤业,11.59,-12.124,0.923,
601336,新华保险,24.21,-11.536,0.6,
600497,驰宏锌锗,30.68,-11.208,1.21,
002128,露天煤业,10.57,-11.171,1.407,
600829,人民同泰,25.55,-11.041,1.03,
600048,保利地产,15.67,-11.015,1.087,
000662,天夏智慧,39.66,-10.945,1.89,
000060,中金岭南,20.89,-10.943,1.95,
002071,长城影视,31.18,-10.406,1.397,
601699,潞安环能,14.02,-10.392,2.517,
600362,江西铜业,30.41,-10.277,2.163,
600019,宝钢股份,13.64,-10.216,0.56,
601666,平煤股份,10.63,-10.055,1.357,
300326,凯利泰,29.2,-9.945,0.79,
600664,哈药股份,33.39,-9.937,0.923,
600804,鹏博士,26.7,-9.794,2.36,
600803,新奥股份,29.4,-9.511,0.677,
600547,山东黄金,44.48,-9.217,1.117,
600231,凌钢股份,8.78,-9.055,1.15,
600123,兰花科创,9.8,-8.987,1.213,
600115,东方航空,10.24,-8.871,0.773,
002207,*ST准油,31.89,-8.815,1.653,
600395,盘江股份,13.01,-8.771,0.643,
600126,杭钢股份,10.93,-8.557,0.6,
000937,冀中能源,17.64,-8.51,0.6,
002054,德美化工,69.19,-8.474,15.273,
601939,建设银行,7.52,-8.379,1.637,
002926,华西证券,35.16,-8.262,15.483,
000898,鞍钢股份,11.25,-7.972,0.937,
600997,开滦股份,21.9,-7.914,0.95,
000001,平安银行,8.01,-7.737,0.59,
002663,普邦股份,53.12,-7.7,2.607,
600808,马钢股份,8.6,-7.644,0.837,
300495,美尚生态,32.46,-7.547,3.133,
601015,陕西黑猫,48.23,-7.543,1.337,
600569,安阳钢铁,9.06,-7.392,1.837,
002081,金 螳 螂,18.14,-7.391,0.827,
600926,杭州银行,8.75,-7.376,1.077,
002237,恒邦股份,22.8,-7.351,0.933,
002445,中南文化,45.4,-7.293,0.94,
002669,康达新材,80.2,-7.213,1.027,
600782,新钢股份,12.42,-7.158,2.357,
300237,美晨生态,24.42,-7.1,0.75,
300256,星星科技,54.12,-6.978,2.613,
600359,新农开发,95.14,-6.902,2.757,
601128,常熟银行,13.75,-6.693,2.093,
002146,荣盛发展,12.63,-6.339,1.83,
000835,长城动漫,55.0,-6.25,1.413,
600383,金地集团,18.65,-6.15,0.72,
601009,南京银行,7.54,-6.149,0.557,
000878,云南铜业,59.26,-5.934,1.307,
600959,江苏有线,32.58,-5.913,0.67,
300471,厚普股份,41.61,-5.893,5.75,
000761,本钢板材,11.28,-5.848,0.66,
600074,ST保千里,10.38,-5.668,7.037,
600489,中金黄金,75.49,-5.66,0.643,
000018,神州长城,18.25,-5.622,1.497,
600531,豫光金铅,35.57,-5.385,1.883,
600031,三一重工,26.44,-5.33,1.34,
002155,湖南黄金,31.4,-5.321,0.94,
000929,兰州黄河,57.33,-5.253,1.627,
600908,无锡银行,14.05,-5.234,1.937,
300580,贝斯特,31.57,-5.182,4.633,
000728,国元证券,26.99,-5.176,0.68,
000552,靖远煤电,16.95,-5.161,1.133,
600508,上海能源,10.7,-5.039,0.533,
002688,金河生物,32.74,-5.017,0.627,
600409,三友化工,10.41,-4.942,2.047,
002807,江阴银行,20.21,-4.882,2.7,
002673,西部证券,38.88,-4.818,0.907,
600340,华夏幸福,12.67,-4.443,1.217,
601003,柳钢股份,10.93,-4.433,0.683,
000623,吉林敖东,13.21,-4.232,0.997,
600282,南钢股份,7.11,-4.133,2.61,
002124,天邦股份,24.64,-4.095,0.967,
300737,科顺股份,46.5,-4.016,18.057,
300247,乐金健康,64.2,-3.965,3.017,
000026,飞亚达Ａ,31.73,-3.954,0.927,
002160,常铝股份,33.68,-3.946,2.423,
600030,中信证券,21.44,-3.831,1.323,
001979,招商蛇口,35.36,-3.794,2.337,
002470,金正大,22.73,-3.756,0.52,
601688,华泰证券,20.19,-3.753,0.76,
002101,广东鸿图,21.33,-3.727,1.78,
000425,徐工机械,28.38,-3.684,1.053,
601899,紫金矿业,38.07,-3.654,2.133,
000830,鲁西化工,20.84,-3.637,6.68,
000625,长安汽车,7.49,-3.532,0.673,
601318,中国平安,14.23,-3.532,0.527,
600068,葛洲坝,12.15,-3.496,1.04,
000036,华联控股,7.17,-3.433,1.267,
600988,赤峰黄金,39.55,-3.416,1.537,
002596,海南瑞泽,90.76,-3.349,4.59,
002087,新野纺织,14.22,-3.333,1.3,
600029,南方航空,12.22,-3.305,1.5,
000758,中色股份,42.8,-3.093,0.91,
600892,大晟文化,45.48,-3.081,1.17,
002004,华邦健康,23.14,-3.059,1.167,
002839,张家港行,23.45,-3.013,10.82,
000711,京蓝科技,47.29,-2.978,1.53,
002588,史丹利,26.04,-2.97,0.927,
000932,华菱钢铁,6.7,-2.861,2.243,
000069,华侨城Ａ,11.34,-2.77,0.747,
600054,黄山旅游,21.86,-2.761,1.013,
000059,华锦股份,9.48,-2.708,1.117,
002750,龙津药业,82.65,-2.641,0.617,
601881,中国银河,23.03,-2.639,2.38,
000638,万方发展,92.56,-2.632,5.587,
300027,华谊兄弟,34.32,-2.526,3.143,
002092,中泰化学,11.58,-2.482,1.167,
001965,招商公路,16.85,-2.475,2.567,
000960,锡业股份,35.14,-2.452,2.843,
600657,信达地产,21.0,-2.417,0.707,
002142,宁波银行,10.17,-2.324,0.507,
000975,银泰资源,66.67,-2.173,0.6,
300273,和佳股份,69.86,-2.132,2.713,
002500,山西证券,44.14,-2.11,1.067,
000951,中国重汽,11.24,-1.924,0.637,
002385,大北农,23.46,-1.902,0.79,
601168,西部矿业,42.02,-1.84,1.01,
000686,东北证券,22.16,-1.83,0.51,
000587,金洲慈航,15.46,-1.812,2.023,
600185,格力地产,20.66,-1.783,0.527,
000426,兴业矿业,37.83,-1.747,2.09,
002037,久联发展,46.71,-1.732,3.223,
002471,中超控股,51.05,-1.714,1.05,
600325,华发股份,14.97,-1.696,1.913,
300292,吴通控股,34.16,-1.67,2.35,
000550,江铃汽车,19.01,-1.607,0.763,
002048,宁波华翔,15.12,-1.601,1.453,
002078,太阳纸业,16.07,-1.544,1.243,
300522,世名科技,35.26,-1.52,2.66,
002711,欧浦智网,28.4,-1.502,1.09,
002129,中环股份,43.42,-1.494,5.233,
002244,滨江集团,15.78,-1.466,0.63,
000756,新华制药,27.04,-1.365,2.983,
300262,巴安水务,20.01,-1.35,1.523,
002768,国恩股份,33.75,-1.32,1.89,
600966,博汇纸业,10.06,-1.291,1.627,
002114,罗平锌电,83.03,-1.282,1.507,
600109,国金证券,22.07,-1.261,0.61,
002617,露笑科技,36.72,-1.217,0.593,
000926,福星股份,9.46,-1.122,0.767,
300013,新宁物流,42.26,-1.042,1.823,
600308,华泰股份,12.17,-1.039,0.95,
600643,爱建集团,24.45,-1.038,2.08,
300527,华舟应急,69.74,-1.013,3.287,
000488,晨鸣纸业,9.86,-1.009,2.557,
601155,新城控股,30.25,-0.942,4.01,
000910,大亚圣象,18.63,-0.94,1.057,
000688,建新矿业,23.46,-0.914,0.863,
000498,山东路桥,13.31,-0.906,1.543,
000659,*ST中富,80.94,-0.858,0.833,
000006,深振业Ａ,24.75,-0.828,4.813,
002424,贵州百灵,39.82,-0.761,1.197,
002002,鸿达兴业,15.48,-0.742,0.553,
000581,威孚高科,9.83,-0.732,1.31,
600984,建设机械,36.04,-0.697,1.057,
601369,陕鼓动力,37.89,-0.696,0.597,
601828,美凯龙,18.87,-0.609,9.787,
600585,海螺水泥,13.86,-0.608,1.343,
002630,华西能源,58.75,-0.591,1.16,
002833,弘亚数控,29.46,-0.517,1.517,
002053,云南能投,37.97,-0.502,0.85,
600025,华能水电,35.13,-0.451,3.943,
600606,绿地控股,10.87,-0.369,3.483,
600790,轻纺城,14.7,-0.368,1.133,
600887,伊利股份,28.98,-0.252,1.347,
601555,东吴证券,24.19,-0.223,0.587,
000780,*ST平能,16.53,-0.203,0.643,
600598,北大荒,18.53,-0.198,1.057,
000571,新大洲Ａ,45.79,-0.181,0.687,
000423,东阿阿胶,23.76,-0.174,0.67,
600793,宜宾纸业,25.32,-0.116,1.087,
300033,同花顺,38.82,-0.015,2.747,
