,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS
0,600168.SH,600168,武汉控股,水务,7.78,2121.92
1,300751.SZ,300751,迈为股份,专用机械,183.0,1929.59
2,300062.SZ,300062,中能电气,电气设备,6.85,1890.97
3,300640.SZ,300640,德艺文创,文教休闲,13.12,1639.02
4,300268.SZ,300268,佳沃股份,农业综合,17.06,1530.19
5,601599.SH,601599,鹿港文化,影视音像,3.93,1324.14
6,300375.SZ,300375,鹏翎股份,汽车配件,8.82,1159.04
7,002634.SZ,002634,棒杰股份,服饰,6.83,1148.38
8,603226.SH,603226,菲林格尔,家居用品,23.91,1118.86
9,601888.SH,601888,中国国旅,旅游服务,77.4,1108.31
10,002203.SZ,002203,海亮股份,铜,9.96,1082.05
11,300106.SZ,300106,西部牧业,农业综合,7.44,1031.49
12,603222.SH,603222,济民制药,化学制药,30.57,972.31
13,002669.SZ,002669,康达新材,化工原料,16.49,924.24
14,300441.SZ,300441,鲍斯股份,机床制造,9.23,850.3
15,002459.SZ,002459,天业通联,工程机械,13.33,841.62
16,600110.SH,600110,诺德股份,电气设备,5.34,824.82
17,300050.SZ,300050,世纪鼎利,软件服务,7.07,798.04
18,300098.SZ,300098,高新兴,通信设备,10.37,775.64
19,002452.SZ,002452,长高集团,电气设备,4.82,765.68
20,601318.SH,601318,中国平安,保险,86.06,752.83
21,603819.SH,603819,神力股份,电气设备,18.63,736.83
22,600091.SH,600091,ST明科,化工原料,4.5,731.71
23,002808.SZ,002808,恒久科技,元器件,18.83,727.3
24,600183.SH,600183,生益科技,元器件,13.8,716.23
25,300376.SZ,300376,易事特,电气设备,5.94,704.13
26,000835.SZ,000835,长城动漫,影视音像,6.35,697.65
27,600537.SH,600537,亿晶光电,半导体,4.25,692.56
28,000572.SZ,000572,海马汽车,汽车整车,2.84,675.59
29,002412.SZ,002412,汉森制药,中成药,19.92,658.78
30,600995.SH,600995,文山电力,水力发电,8.96,654.31
31,600861.SH,600861,北京城乡,百货,9.2,642.66
32,000967.SZ,000967,盈峰环境,环境保护,7.49,629.14
33,002196.SZ,002196,方正电机,纺织机械,7.18,627.8
34,000018.SZ,000018,神州长城,装修装饰,2.79,627.52
35,600311.SH,600311,荣华实业,黄金,3.98,626.86
36,603320.SH,603320,迪贝电气,机械基件,22.5,616.21
37,603806.SH,603806,福斯特,塑料,35.85,615.67
38,600798.SH,600798,宁波海运,水运,4.74,612.66
39,603685.SH,603685,晨丰科技,电气设备,18.05,603.49
40,000780.SZ,000780,平庄能源,煤炭开采,4.26,600.2
41,601886.SH,601886,江河集团,装修装饰,9.72,594.15
42,603778.SH,603778,乾景园林,建筑施工,5.19,588.51
43,001872.SZ,001872,招商港口,港口,19.19,586.59
44,600580.SH,600580,卧龙电驱,电气设备,9.9,583.03
45,000627.SZ,000627,天茂集团,保险,7.46,582.46
46,000031.SZ,000031,大悦城,全国地产,7.03,577.36
47,002311.SZ,002311,海大集团,饲料,30.5,572.69
48,603708.SH,603708,家家悦,超市连锁,25.71,566.29
49,002476.SZ,002476,宝莫股份,化工原料,6.41,561.4
50,300417.SZ,300417,南华仪器,电器仪表,19.59,551.55
51,002207.SZ,002207,ST准油,石油开采,7.4,547.34
52,002569.SZ,002569,步森股份,服饰,13.95,544.87
53,600101.SH,600101,明星电力,水力发电,9.22,535.62
54,300312.SZ,300312,邦讯技术,通信设备,8.51,534.74
55,002850.SZ,002850,科达利,机械基件,26.07,529.43
56,002510.SZ,002510,天汽模,汽车配件,5.1,526.27
57,600234.SH,600234,ST山水,文教休闲,9.32,523.88
58,000897.SZ,000897,*ST津滨,区域地产,2.63,521.8
59,002767.SZ,002767,先锋电子,电器仪表,18.15,521.39
60,000601.SZ,000601,韶能股份,水力发电,5.21,514.2
61,300387.SZ,300387,富邦股份,化工原料,9.49,512.69
62,002686.SZ,002686,亿利达,专用机械,7.9,512.24
63,300426.SZ,300426,唐德影视,影视音像,8.28,510.01
64,600519.SH,600519,贵州茅台,白酒,974.95,508.81
65,000899.SZ,000899,赣能股份,火力发电,5.82,505.79
66,300511.SZ,300511,雪榕生物,种植业,9.47,501.32
67,300064.SZ,300064,豫金刚石,矿物制品,5.72,500.87
68,000850.SZ,000850,华茂股份,纺织,5.01,498.6
69,002512.SZ,002512,达华智能,元器件,5.98,495.82
70,000983.SZ,000983,西山煤电,煤炭开采,7.29,495.43
71,300115.SZ,300115,长盈精密,元器件,14.36,495.17
72,000920.SZ,000920,南方汇通,环境保护,9.45,494.37
73,300040.SZ,300040,九洲电气,电气设备,6.78,492.39
74,002628.SZ,002628,成都路桥,建筑施工,6.49,487.74
75,002905.SZ,002905,金逸影视,影视音像,20.51,484.35
76,601789.SH,601789,宁波建工,建筑施工,4.61,480.99
77,000819.SZ,000819,岳阳兴长,石油加工,11.85,474.68
78,600421.SH,600421,ST仰帆,机械基件,16.32,474.52
79,600121.SH,600121,郑州煤电,煤炭开采,3.94,473.23
80,002135.SZ,002135,东南网架,建筑施工,6.66,472.17
81,002516.SZ,002516,旷达科技,纺织,3.64,471.42
82,601997.SH,601997,贵阳银行,银行,14.1,469.09
83,601126.SH,601126,四方股份,电气设备,6.96,466.82
84,601727.SH,601727,上海电气,电气设备,6.41,466.75
85,300204.SZ,300204,舒泰神,生物制药,16.8,466.75
86,300551.SZ,300551,古鳌科技,专用机械,17.89,466.09
87,300217.SZ,300217,东方电热,电器仪表,3.52,462.88
88,002176.SZ,002176,江特电机,电气设备,6.87,455.74
89,300718.SZ,300718,长盛轴承,机械基件,20.37,453.41
90,300301.SZ,300301,长方集团,半导体,4.83,453.11
91,600539.SH,600539,ST狮头,水泥,7.96,453.0
92,601238.SH,601238,广汽集团,汽车整车,13.81,451.01
93,600228.SH,600228,ST昌九,化工原料,9.21,448.66
94,603800.SH,603800,道森股份,专用机械,14.94,447.68
95,600761.SH,600761,安徽合力,工程机械,12.62,447.58
96,002682.SZ,002682,龙洲股份,公路,5.78,446.73
97,600353.SH,600353,旭光股份,元器件,6.26,444.08
98,600828.SH,600828,茂业商业,百货,6.09,442.17
99,000953.SZ,000953,*ST河化,农药化肥,4.49,441.49
100,603848.SH,603848,好太太,家居用品,21.35,441.37
101,002301.SZ,002301,齐心集团,文教休闲,11.08,441.24
102,603721.SH,603721,中广天择,影视音像,27.7,441.08
