,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_AMPLITUDE,COL_FLOAT_HOLDERS
0,600022.SH,600022,山东钢铁,普钢,1.35,True,9.756097560975618,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
1,601929.SH,601929,吉视传媒,影视音像,2.24,True,12.56281407035178,中央汇金资产管理有限责任公司
2,600231.SH,600231,凌钢股份,普钢,2.36,True,10.7981220657277,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金"
3,300111.SZ,300111,向日葵,半导体,2.49,True,13.513513513513509,
4,600275.SH,600275,ST昌鱼,农业综合,2.55,True,29.7979797979798,
5,600808.SH,600808,马钢股份,普钢,2.74,True,13.223140495867792,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
福建滚雪球投资管理有限公司-嘉耀滚雪球1号证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
6,600220.SH,600220,江苏阳光,纺织,2.75,True,28.504672897196247,"中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
7,601588.SH,601588,北辰实业,区域地产,2.82,True,9.302325581395344,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
8,000753.SZ,000753,漳州发展,汽车服务,2.86,True,14.509803921568643,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
9,002431.SZ,002431,棕榈股份,建筑工程,2.98,True,24.27983539094649,中央汇金资产管理有限责任公司
10,600715.SH,600715,文投控股,影视音像,3.01,True,23.868312757201625,"中国民生信托有限公司-中国民生信托-至信516号证券投资集合资金信托计划
上海丰煜投资有限公司-丰煜-稳盈证券投资基金1号"
11,003816.SZ,003816,中国广核,新型电力,3.03,True,9.219858156028371,
12,002154.SZ,002154,报喜鸟,服饰,3.35,True,23.29749103942651,中央汇金资产管理有限责任公司
13,600665.SH,600665,天地源,全国地产,3.54,True,6.586826347305386,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
