,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300003.SZ,300003,乐普医疗,医疗保健,True,41.23,True,True,"海通证券资管-工商银行-海通投融宝1号集合资产管理计划
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
中国信达资产管理股份有限公司
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
全国社保基金一一七组合
全国社保基金一零四组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-汇添富价值精选混合型证券投资基金
中国工商银行股份有限公司-汇添富民营活力混合型证券投资基金
中国建设银行股份有限公司-华安创业板50交易型开放式指数证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
全国社保基金五零三组合
鼎晖投资咨询新加坡有限公司-鼎晖稳健成长A股基金
中央汇金资产管理有限责任公司
挪威中央银行-自有资金",15.0
1,000739.SZ,000739,普洛药业,化学制药,True,24.89,True,True,"香港中央结算有限公司(陆股通)
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
招商银行股份有限公司-兴全合润分级混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金",5.0
2,300206.SZ,300206,理邦仪器,医疗保健,True,20.39,True,True,"中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
云南国际信托有限公司-理邦仪器1号员工持股集合资金信托计划
中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金
中国工商银行股份有限公司-中欧精选灵活配置定期开放混合型发起式证券投资基金",5.0
3,300294.SZ,300294,博雅生物,生物制药,True,50.09,True,True,"北信瑞丰基金-渤海银行-北信瑞丰基金宏瑞2号资产管理计划
香港中央结算有限公司(陆股通)
全国社保基金一一四组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中意资管-招商银行-中意资产-招商银行-定增精选87号资产管理产品",5.0
4,000538.SZ,000538,云南白药,中成药,True,105.91,True,True,"全国社保基金一一二组合
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
瑞银资产管理(新加坡)有限公司-瑞银卢森堡投资SICAV",4.0
5,300246.SZ,300246,宝莱特,医疗保健,True,37.97,True,True,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-金鹰稳健成长混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托·锐进31期清水源证券投资集合资金信托计划
中信信托有限责任公司-中信价值管理型金融投资集合资金信托计划",4.0
6,000623.SZ,000623,吉林敖东,化学制药,True,18.87,True,True,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",3.0
7,600129.SH,600129,太极集团,中成药,True,17.92,True,True,"重庆市供销合作发展股权投资基金有限公司
国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
财通基金-招商银行-深圳市招商国协壹号股权投资基金管理有限公司",3.0
8,000516.SZ,000516,国际医学,医疗保健,True,4.72,True,True,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划",2.0
9,300143.SZ,300143,盈康生命,医疗保健,True,18.13,True,True,"浙商金汇信托股份有限公司-浙金·天府1号证券投资集合资金信托计划
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合",2.0
10,300314.SZ,300314,戴维医疗,医疗保健,True,16.41,True,True,中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金,1.0
11,300759.SZ,300759,康龙化成,化学制药,True,101.35,True,True,香港中央结算有限公司(陆股通),1.0
12,603301.SH,603301,振德医疗,医疗保健,True,64.55,True,True,,0.0
13,603718.SH,603718,海利生物,生物制药,True,23.34,True,True,,0.0
14,603976.SH,603976,正川股份,医疗保健,True,43.2573,True,True,,0.0
