,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,600381.SH,600381,青海春天,医疗保健,True,5.2,True,
1,002004.SZ,002004,华邦健康,化学制药,True,5.39,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
2,002198.SZ,002198,嘉应制药,中成药,True,5.88,True,深圳市老虎汇资产管理有限公司
3,300255.SZ,300255,常山药业,生物制药,True,6.02,True,"珠海保联资产管理有限公司
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金"
4,600479.SH,600479,千金药业,中成药,True,9.3,True,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
长安基金-光大银行-长安平安富贵千金净雅资产管理计划"
5,600285.SH,600285,羚锐制药,中成药,True,9.38,True,"香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
方正证券-宁波银行-民族-羚锐小羚羊资产管理计划"
6,000534.SZ,000534,万泽股份,生物制药,True,9.86,True,"九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划
云南国际信托有限公司-聚信5号集合资金信托计划
华润深国投信托有限公司-润之信13期集合资金信托计划"
7,000989.SZ,000989,九芝堂,中成药,True,10.77,True,"绵阳科技城产业投资基金(有限合伙)
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划
香港中央结算有限公司(陆股通)
鹏华资产-浦发银行-鹏华资产金润28号资产管理计划
鹏华资产-浦发银行-鹏华资产金润25号资产管理计划
鹏华资产-浦发银行-鹏华资产金润21号资产管理计划"
8,600750.SH,600750,江中药业,中成药,True,13.1,True,"中央汇金资产管理有限责任公司
基本养老保险基金一五零一一组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成景阳领先混合型证券投资基金"
9,600062.SH,600062,华润双鹤,化学制药,True,13.43,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
吕梁金地资产管理有限公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
10,002737.SZ,002737,葵花药业,中成药,True,14.63,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
华泰证券股份有限公司-中庚价值领航混合型证券投资基金"
11,002044.SZ,002044,美年健康,医疗保健,True,14.9,True,"上海天亿资产管理有限公司
云南国际信托有限公司-云南信托-云起3号集合资金信托计划
香港中央结算有限公司(陆股通)
全国社保基金一一七组合
上海国盛资本管理有限公司-上海国盛海通股权投资基金合伙企业(有限合伙)"
12,300314.SZ,300314,戴维医疗,医疗保健,True,14.92,True,中国工商银行股份有限公司-嘉实事件驱动股票型证券投资基金
13,300381.SZ,300381,溢多利,生物制药,True,14.98,True,深圳菁英时代基金管理股份有限公司-菁英时代久盈1号基金
14,300171.SZ,300171,东富龙,医疗保健,True,16.38,True,汇添富基金管理股份有限公司-社保基金一五零二组合
15,300143.SZ,300143,盈康生命,医疗保健,True,16.48,True,"浙商金汇信托股份有限公司-浙金·天府1号证券投资集合资金信托计划
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合"
16,002317.SZ,002317,众生药业,中成药,True,17.1,True,"全国社保基金六零四组合
招商银行股份有限公司-睿远成长价值混合型证券投资基金
香港中央结算有限公司(陆股通)"
