,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000509.SZ,000509,*ST华塑,医疗保健,True,1.92,0.0,0.0,0.0,15.85,,0.0
1,300247.SZ,300247,融捷健康,医疗保健,True,2.91,0.0,0.0,0.0,19.17,安徽高新毅达皖江产业发展创业投资基金(有限合伙),1.0
2,300108.SZ,300108,吉药控股,中成药,True,3.1,3.0,2.0,2.0,13.75,"汇安基金-浦发银行-江海证券有限公司
吉林省现代农业和新兴产业投资基金有限公司
上海国药股权投资基金合伙企业(有限合伙)",3.0
3,002162.SZ,002162,悦心健康,医疗保健,True,3.58,1.0,1.0,1.0,30.54,中央汇金资产管理有限责任公司,1.0
4,600252.SH,600252,中恒集团,中成药,True,3.6,2.0,0.0,0.0,125.1,"华夏基金-农业银行-华夏中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
南方基金-农业银行-南方中证金融资产管理计划",12.0
5,002435.SZ,002435,长江健康,化学制药,True,4.12,8.0,0.0,1.0,49.42,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划",2.0
6,300267.SZ,300267,尔康制药,化学制药,True,4.6,2.0,0.0,1.0,65.33,,0.0
7,600381.SH,600381,青海春天,医疗保健,True,5.04,9.0,0.0,0.0,29.59,,0.0
8,300239.SZ,300239,东宝生物,生物制药,True,5.12,2.0,1.0,1.0,25.86,"中科先行(北京)资产管理有限公司
内蒙古金融资产管理有限公司
中国华融资产管理股份有限公司
中央汇金资产管理有限责任公司",4.0
9,000790.SZ,000790,华神科技,中成药,True,5.12,8.0,0.0,0.0,31.53,,0.0
10,002693.SZ,002693,双成药业,化学制药,True,5.2,9.0,0.0,0.0,20.98,,0.0
11,000597.SZ,000597,东北制药,化学制药,True,5.27,8.0,0.0,0.0,65.86,"香港中央结算有限公司(陆股通)
中国华融资产管理股份有限公司",2.0
12,300006.SZ,300006,莱美药业,化学制药,True,5.36,9.0,0.0,0.0,35.98,中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划,1.0
13,600351.SH,600351,亚宝药业,中成药,True,5.46,2.0,0.0,0.0,42.04,"山西省科技基金发展有限公司
中央汇金资产管理有限责任公司",2.0
14,002004.SZ,002004,华邦健康,化学制药,True,5.52,2.0,0.0,0.0,99.85,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
15,002198.SZ,002198,嘉应制药,中成药,True,5.65,4.0,0.0,0.0,28.67,深圳市老虎汇资产管理有限公司,1.0
16,600572.SH,600572,康恩贝,中成药,True,5.76,8.0,0.0,0.0,153.25,"渤海国际信托股份有限公司-渤海信托·恒利丰253号集合资金信托计划
金元顺安基金-杭州银行-华润信托-华润信托·汇祥增利53号单一资金信托
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",5.0
17,002173.SZ,002173,创新医疗,医疗保健,True,5.88,4.0,0.0,0.0,21.81,,0.0
18,000516.SZ,000516,国际医学,医疗保健,True,5.92,9.0,1.0,1.0,114.2,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划",2.0
19,002349.SZ,002349,精华制药,中成药,True,5.96,2.0,1.0,1.0,48.95,,0.0
