code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
000820,神雾节能,15.394,-49.503,14.803,0.017,18.298,,
600634,富控互动,5.18,-47.282,5.727,0.015,10.34,,
300156,神雾环保,6.366,-47.279,6.453,0.018,15.05,★,
000663,永安林业,1.596,-44.642,4.0,0.008,12.192,,
300064,豫金刚石,1.304,-42.189,2.633,0.008,8.6,★,
000932,华菱钢铁,10.56,-33.662,2.133,0.032,7.5,,
600150,中国船舶,15.115,-31.352,3.32,0.052,18.355,,
300492,山鼎设计,7.815,-23.674,5.227,0.012,29.025,★,
600685,中船防务,10.998,-23.279,2.85,0.027,22.098,,
002645,华宏科技,5.743,-22.144,1.65,0.018,20.55,,
300134,大富科技,9.42,-21.847,1.793,0.015,13.938,,
600581,八一钢铁,4.911,-21.825,5.253,0.027,12.915,★,
000717,韶钢松山,4.392,-21.787,1.97,0.018,6.16,★,
600569,安阳钢铁,1.804,-21.656,1.943,0.015,3.935,★,
600782,新钢股份,9.119,-21.614,2.24,0.03,5.852,,
601003,柳钢股份,6.538,-21.599,0.817,0.027,5.852,★,
002517,恺英网络,0.7,-20.891,3.743,0.012,17.112,★,
000006,深振业Ａ,0.689,-20.798,1.757,0.014,7.342,,
600117,西宁特钢,9.693,-20.627,2.843,0.046,4.89,,
601360,三六零,0.533,-20.014,4.15,0.019,41.062,★,
300159,新研股份,11.107,-19.827,2.88,0.019,9.99,,
000830,鲁西化工,8.802,-19.565,5.997,0.033,17.262,,
002232,启明信息,9.692,-19.185,2.87,0.02,10.172,,
002048,宁波华翔,1.184,-19.14,2.723,0.015,16.222,★,
600282,南钢股份,6.022,-19.061,1.91,0.022,4.315,,
600130,波导股份,5.642,-18.716,1.477,0.014,6.162,★,
600577,精达股份,4.272,-18.681,1.997,0.018,4.285,,
300277,海联讯,3.755,-18.572,2.23,0.015,10.095,,
002663,普邦股份,0.908,-18.47,0.967,0.013,4.36,,
600231,凌钢股份,5.873,-18.344,1.377,0.021,3.907,,
300148,天舟文化,1.396,-18.315,2.887,0.013,6.542,★,
000410,沈阳机床,11.447,-18.29,7.33,0.051,10.878,,
002839,张家港行,4.947,-18.161,5.597,0.019,8.422,,
002621,三垒股份,10.111,-17.958,0.64,0.009,13.96,★,
300626,华瑞股份,0.491,-17.661,1.32,0.011,23.315,★,
300502,新易盛,14.156,-17.637,4.63,0.041,23.562,,
002073,软控股份,7.222,-17.522,1.977,0.028,7.542,,
002153,石基信息,18.935,-17.24,3.1,0.049,26.458,,
000007,全新好,5.09,-16.85,0.707,0.005,14.282,★,
300644,南京聚隆,14.367,-16.821,33.98,0.043,46.45,,
000959,首钢股份,4.516,-16.815,0.327,0.014,4.88,★,
600971,恒源煤电,1.449,-16.603,1.61,0.01,8.47,★,
002635,安洁科技,5.856,-16.495,4.793,0.023,20.635,,
002626,金达威,6.223,-16.407,1.087,0.018,17.852,★,
300097,智云股份,16.693,-16.31,3.983,0.044,23.58,,
601666,平煤股份,1.948,-16.286,1.35,0.013,5.22,★,
000983,西山煤电,4.357,-16.183,1.0,0.015,7.802,,
002045,国光电器,14.073,-16.165,5.147,0.046,12.208,,
002769,普路通,11.123,-16.133,8.29,0.036,17.945,,
600671,天目药业,0.917,-16.106,0.957,0.004,18.782,★,
300741,华宝股份,0.88,-15.749,5.7,0.008,45.147,★,
300585,奥联电子,14.292,-15.575,6.703,0.039,16.07,,
600526,菲达环保,4.306,-15.571,0.91,0.006,7.722,★,
600887,伊利股份,2.424,-15.553,1.23,0.02,27.842,★,
000825,太钢不锈,3.825,-15.526,1.617,0.019,5.678,★,
601838,成都银行,0.923,-15.484,7.63,0.01,11.015,,
601111,中国国航,6.543,-15.446,0.94,0.03,11.452,,
300292,吴通控股,7.383,-15.276,1.217,0.015,5.15,,
000761,本钢板材,3.957,-15.19,0.403,0.011,4.448,★,
002009,天奇股份,8.03,-15.178,2.323,0.023,15.157,,
002285,世联行,4.092,-14.795,1.323,0.011,9.482,★,
600808,马钢股份,2.582,-14.762,0.87,0.013,3.558,★,
300083,劲胜智能,3.496,-14.676,2.363,0.013,7.333,★,
002189,利达光电,5.139,-14.564,2.63,0.024,16.438,,
000055,方大集团,2.656,-14.49,1.723,0.012,7.252,★,
300085,银之杰,15.436,-14.447,4.297,0.041,15.535,,
600603,广汇物流,2.634,-14.398,1.427,0.01,6.955,★,
601200,上海环境,3.452,-14.361,1.507,0.009,18.59,★,
600789,鲁抗医药,4.867,-14.331,4.85,0.016,9.958,,
300031,宝通科技,8.571,-14.282,1.177,0.02,13.978,,
002862,实丰文化,0.988,-14.254,5.293,0.013,26.295,,
300320,海达股份,6.87,-14.241,1.643,0.013,7.33,,
300355,蒙草生态,3.906,-14.172,2.297,0.01,10.728,★,
600793,宜宾纸业,7.8,-14.136,0.943,0.024,19.905,,
000898,鞍钢股份,1.55,-14.132,0.543,0.011,5.96,★,
000822,山东海化,3.533,-14.117,1.113,0.011,7.55,,
600507,方大特钢,12.471,-14.101,3.733,0.046,16.138,,
300011,鼎汉技术,11.825,-13.715,0.703,0.028,9.9,,
002416,爱施德,5.527,-13.689,0.453,0.01,8.49,,
600499,科达洁能,6.817,-13.688,1.567,0.025,9.11,,
002112,三变科技,1.957,-13.681,1.57,0.014,10.015,,
002514,宝馨科技,4.47,-13.634,0.967,0.006,6.062,★,
002698,博实股份,9.477,-13.44,1.157,0.03,10.77,,
601231,环旭电子,4.147,-13.437,0.547,0.011,12.825,,
600110,诺德股份,4.473,-13.426,2.267,0.013,8.018,,
600012,皖通高速,1.613,-13.287,0.213,0.006,9.43,★,
600868,梅雁吉祥,2.057,-13.269,1.923,0.009,4.392,,
300161,华中数控,29.496,-13.227,12.623,0.094,17.368,,
600273,嘉化能源,2.892,-13.187,0.52,0.004,8.488,★,
300107,建新股份,21.728,-13.173,19.513,0.038,9.245,★,
600699,均胜电子,8.873,-13.115,0.777,0.022,29.39,,
000995,皇台酒业,4.064,-13.11,0.94,0.009,7.877,★,
002876,三利谱,3.744,-13.101,3.57,0.022,59.098,,
000426,兴业矿业,4.136,-12.988,1.087,0.015,9.685,,
002192,融捷股份,8.869,-12.954,5.613,0.044,27.59,,
