,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_CIRC_MV
0,301015.SZ,301015,C百洋,医药商业,-18.1,148.74,16.0
1,301013.SZ,301013,C利和兴,专用机械,-3.08,54.33,8.68
2,301012.SZ,301012,扬电科技,电气设备,-3.22,47.27,6.65
3,301016.SZ,301016,C雷尔伟,运输设备,-1.48,45.08,8.5
4,301004.SZ,301004,嘉益股份,家居用品,-0.21,39.92,5.57
5,301022.SZ,301022,C海泰科,专用机械,-19.17,30.64,7.54
6,605011.SH,605011,杭州热电,供气供热,33.22,18.51,4.74
7,603171.SH,603171,税友股份,软件服务,33.07,18.5,10.37
8,301019.SZ,301019,宁波色母,塑料,5.88,14.27,9.94
9,001208.SZ,001208,华菱线缆,电气设备,94.89,14.23,13.75
10,601528.SH,601528,瑞丰银行,银行,16.25,8.83,20.51
11,001207.SZ,001207,联科科技,化工原料,23.41,7.62,11.54
12,300490.SZ,300490,华自科技,电气设备,86.53,7.27,54.03
13,300479.SZ,300479,神思电子,软件服务,107.54,7.14,42.64
14,300393.SZ,300393,中来股份,塑料,76.21,6.6,110.88
15,300218.SZ,300218,安利股份,塑料,82.77,6.53,41.07
16,300671.SZ,300671,富满电子,半导体,88.72,6.43,295.19
17,603938.SH,603938,三孚股份,化工原料,78.96,6.08,85.04
18,300672.SZ,300672,国科微,半导体,81.15,5.88,222.66
19,300409.SZ,300409,道氏技术,陶瓷,71.41,5.7,85.51
20,300500.SZ,300500,启迪设计,建筑工程,63.18,5.65,31.0
21,300588.SZ,300588,熙菱信息,软件服务,85.0,5.43,20.58
22,600375.SH,600375,汉马科技,汽车整车,50.62,5.34,73.91
23,300526.SZ,300526,中潜股份,专用机械,38.46,5.05,85.65
24,600428.SH,600428,中远海特,水运,46.51,4.98,148.76
25,300631.SZ,300631,久吾高科,环境保护,55.37,4.76,34.92
26,300350.SZ,300350,华鹏飞,仓储物流,53.05,4.72,44.96
27,002529.SZ,002529,海源复材,专用机械,61.04,4.69,31.49
28,600699.SH,600699,均胜电子,汽车配件,40.56,4.56,373.62
29,002772.SZ,002772,众兴菌业,种植业,38.68,4.51,38.15
30,603098.SH,603098,森特股份,装修装饰,38.53,4.47,214.44
31,300582.SZ,300582,英飞特,半导体,36.66,4.39,55.87
32,603396.SH,603396,金辰股份,专用机械,52.53,4.24,69.94
33,003016.SZ,003016,欣贺股份,服饰,45.96,4.2,19.32
34,300842.SZ,300842,帝科股份,半导体,47.99,4.04,50.4
35,600771.SH,600771,广誉远,中成药,45.98,3.95,200.24
36,300748.SZ,300748,金力永磁,元器件,36.27,3.89,150.07
37,300305.SZ,300305,裕兴股份,塑料,45.79,3.87,38.29
38,603026.SH,603026,石大胜华,化工原料,41.02,3.83,357.08
39,601106.SH,601106,中国一重,工程机械,40.71,3.69,270.2
40,002418.SZ,002418,康盛股份,机械基件,39.42,3.68,38.16
41,601566.SH,601566,九牧王,服饰,29.36,3.66,103.55
42,300655.SZ,300655,晶瑞股份,化工原料,44.28,3.61,110.19
43,300487.SZ,300487,蓝晓科技,化工原料,40.7,3.6,116.1
44,601969.SH,601969,海南矿业,普钢,37.85,3.53,256.26
45,002154.SZ,002154,报喜鸟,服饰,37.45,3.42,77.81
46,300827.SZ,300827,上能电气,电气设备,33.06,3.41,24.89
47,300591.SZ,300591,万里马,服饰,39.26,3.38,19.36
48,603657.SH,603657,春光科技,家用电器,33.36,3.38,14.03
49,300117.SZ,300117,嘉寓股份,装修装饰,31.35,3.29,34.83
50,300108.SZ,300108,吉药控股,中成药,36.2,3.24,20.26
51,600252.SH,600252,中恒集团,中成药,34.27,3.23,133.44
52,002335.SZ,002335,科华数据,电气设备,37.88,3.23,100.68
53,300491.SZ,300491,通合科技,电气设备,42.42,3.2,23.82
54,300390.SZ,300390,天华超净,元器件,34.31,3.2,230.87
55,002620.SZ,002620,瑞和股份,装修装饰,31.77,3.16,22.62
56,300634.SZ,300634,彩讯股份,软件服务,46.91,3.16,84.82
57,002176.SZ,002176,江特电机,电气设备,40.27,3.13,174.65
58,601866.SH,601866,中远海发,水运,28.01,3.1,337.12
59,000036.SZ,000036,华联控股,全国地产,31.71,3.08,71.88
60,603629.SH,603629,利通电子,元器件,35.44,3.04,8.05
61,002895.SZ,002895,川恒股份,化工原料,25.15,3.0,82.35
