code,name,pe,p_change_01,past_average_turnover,stop_mark
300624,万兴科技,143.9,150.196,45.62,
300688,创业黑马,186.83,90.756,28.317,
000151,中成股份,66.71,89.918,24.09,
002137,麦达数字,78.59,77.649,19.917,
002927,泰永长征,100.68,77.037,55.773,
300598,诚迈科技,104.28,74.892,2.55,
300634,彩讯股份,37.94,74.187,0.033,
600962,国投中鲁,10736.96,74.094,11.237,
002877,智能自控,88.74,72.95,32.753,
000555,神州信息,96.81,72.316,7.163,
300390,天华超净,121.24,70.023,17.437,
002864,盘龙药业,93.89,64.256,49.937,
002184,海得控制,418.82,63.166,17.313,
002208,合肥城建,212.52,60.741,16.36,
600929,湖南盐业,33.78,58.233,0.06,
300682,朗新科技,0.0,54.391,31.907,
300705,九典制药,71.2,53.98,54.32,
300469,信息发展,1659.26,53.834,17.71,
600113,浙江东日,45.08,51.657,14.71,
002265,西仪股份,227.24,50.485,14.88,
000532,华金资本,148.83,50.003,13.593,
600689,上海三毛,62.14,44.791,21.79,
300672,国科微,1297.7,42.11,21.257,
300696,爱乐达,104.61,41.715,17.56,
300523,辰安科技,4243.58,41.294,2.767,
002264,新 华 都,4625.54,40.087,14.983,
300556,丝路视觉,200.44,39.482,14.867,
300719,安达维尔,531.14,39.463,46.47,
601069,西部黄金,606.26,38.146,10.15,
300731,科创新源,55.34,38.104,43.067,
300647,超频三,74.0,37.173,16.493,
300715,凯伦股份,68.54,37.14,23.863,
300477,合纵科技,122.14,36.318,17.523,
300571,平治信息,90.17,36.055,5.6,
300631,久吾高科,96.54,35.593,16.743,
300730,科创信息,892.03,34.415,45.64,
002782,可立克,115.88,33.867,17.007,
002919,名臣健康,68.09,32.472,59.283,
000935,四川双马,137.33,32.008,6.803,
002929,润建通信,55.32,30.717,43.247,
000819,岳阳兴长,441.92,30.085,6.2,
300726,宏达电子,62.43,29.589,12.393,
300253,卫宁健康,107.03,29.217,7.047,
300347,泰格医药,101.25,29.213,2.31,
600272,开开实业,104.97,28.889,8.43,
600268,国电南自,114.78,28.707,7.607,
002370,亚太药业,52.39,28.369,1.617,
000948,南天信息,127.43,28.356,3.873,
002666,德联集团,48.32,28.159,7.23,
600371,万向德农,61.62,27.488,10.6,
300140,中环装备,143.55,27.182,11.74,
300377,赢时胜,111.42,26.795,9.13,
300272,开能环保,47.07,26.787,1.453,
