,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,601038.SH,一拖股份,农用机械,10.79,"央企改革, 乡村振兴, 债转股-AMC, 农机, ",64.08亿
1,300663.SZ,科蓝软件,软件服务,38.68,"高送转-填权, 互联网金融, 移动支付, 举牌股, 区块链, 国产软件, 京东金融概念股, 独角兽, 蚂蚁金服概念股, 强势人气股, 无人银行, ",71.44亿
2,603686.SH,龙马环卫,环境保护,22.0,"定增破发, PPP, ",65.32亿
3,300023.SZ,宝德股份,专用机械,8.64,"油服, 页岩气, 工业自动化, 智能制造, 壳公司, 强势人气股, ",12.48亿
4,600422.SH,昆药集团,中成药,14.07,"国家队重仓, 回购, 医药, 中药, 创新药, 化学药, 独角兽, ",106.78亿
5,000862.SZ,银星能源,新型电力,8.36,"央企改革, 风电, 光伏, 宁夏, 强势人气股, ",41.91亿
6,002945.SZ,华林证券,证券,19.5,"券商, ",52.65亿
7,601200.SH,上海环境,环境保护,14.84,"固废处理, 环保, 上海国企改革, 污水处理, ",129.71亿
8,600501.SH,航天晨光,汽车配件,10.99,"央企改革, 军工研究所, 军工, 军民融合, ",46.3亿
9,300190.SZ,维尔利,环境保护,8.61,"固废处理, 回购, 业绩预增, 定增破发, 环保, 污水处理, ",61.5亿
10,603383.SH,顶点软件,软件服务,88.36,"数字中国, 互联网金融, 国产软件, 知识产权, 强势人气股, ",51.26亿
11,300431.SZ,暴风集团,互联网,8.34,"家电, 创业板人气股, 直播/短视频, 大数据, 云计算, 人工智能, 区块链, 足球, VR&AR, 黑色家电, 手势识别, 体育产业, ",20.28亿
12,000408.SZ,藏格控股,农药化肥,8.72,"有色-镁, 新进指数成份股, 社保重仓, 有色金属, 化肥, 高质押率, 锂电池, 新能源汽车, 资产重组, ",38.95亿
13,000622.SZ,恒立实业,汽车配件,6.56,"汽车零部件, 壳公司, 强势人气股, ",27.89亿
14,603817.SH,海峡环保,环境保护,8.29,"PPP, 环保, 污水处理, ",14.92亿
15,601388.SH,怡球资源,铝,2.5,"有色-铝, 有色金属, 低价股, ",50.63亿
16,300692.SZ,中环环保,环境保护,16.1,"固废处理, 环保, 污水处理, ",15.62亿
17,000967.SZ,盈峰环境,环境保护,8.12,"固废处理, 核电, 回购, 特色小镇, 高质押率, 环保, 污水处理, 资产重组, ",93.16亿
18,300105.SZ,龙源技术,电器仪表,5.37,"电改, 央企改革, 大气治理, 环保, ",27.56亿
19,300163.SZ,先锋新材,其他建材,4.42,"互联网金融, 股权转让, 资产重组, 壳公司, ",12.47亿
