,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_CONTINUOUS_COUNT
0,002463.SZ,沪电股份,元器件,21.92,2.67,5.03,64.0
1,300552.SZ,万集科技,软件服务,78.0,5.88,4.79,37.0
2,002869.SZ,金溢科技,通信设备,68.1,3.1,3.89,37.0
3,300526.SZ,中潜股份,服饰,47.8,4.67,3.89,36.0
4,002714.SZ,牧原股份,农业综合,93.02,2.3,3.83,49.0
5,002201.SZ,九鼎新材,玻璃,20.91,3.94,3.15,17.0
6,603186.SH,华正新材,元器件,45.4,2.16,3.12,43.0
7,600745.SH,闻泰科技,通信设备,84.0,4.58,3.08,34.0
8,603501.SH,韦尔股份,半导体,113.45,3.8,2.98,37.0
9,002568.SZ,百润股份,红黄酒,27.87,2.97,2.93,39.0
10,300345.SZ,红宇新材,钢加工,13.79,3.77,2.9,36.0
11,000043.SZ,中航善达,房产服务,21.46,3.5,2.9,49.0
12,300417.SZ,南华仪器,电器仪表,45.13,2.74,2.83,37.0
13,002791.SZ,坚朗五金,其他建材,30.51,3.88,2.81,39.0
14,300598.SZ,诚迈科技,软件服务,95.73,7.51,2.81,10.0
15,300223.SZ,北京君正,半导体,59.22,3.6,2.76,37.0
16,002607.SZ,中公教育,文教休闲,19.8,2.01,2.76,42.0
17,603160.SH,汇顶科技,元器件,201.8,2.09,2.75,39.0
18,300492.SZ,山鼎设计,建筑工程,65.89,5.68,2.74,14.0
19,002123.SZ,梦网集团,互联网,21.82,2.36,2.72,39.0
20,300661.SZ,圣邦股份,元器件,226.99,4.44,2.67,30.0
21,603882.SH,金域医学,医疗保健,53.9,2.32,2.55,42.0
22,002241.SZ,歌尔股份,元器件,19.91,4.24,2.55,38.0
23,300322.SZ,硕贝德,通信设备,22.34,2.1,2.51,52.0
24,603012.SH,创力集团,专用机械,16.75,2.22,2.5,61.0
25,002634.SZ,棒杰股份,服饰,9.15,2.3,2.26,39.0
26,002552.SZ,宝鼎科技,机械基件,18.1,3.9,2.22,10.0
27,002653.SZ,海思科,化学制药,24.28,2.82,2.14,36.0
28,603226.SH,菲林格尔,家居用品,33.71,2.7,2.12,39.0
29,000661.SZ,长春高新,生物制药,476.42,2.15,2.11,36.0
30,002600.SZ,领益智造,元器件,11.54,3.34,2.07,13.0
31,300537.SZ,广信材料,染料涂料,20.8,2.13,2.05,38.0
32,300601.SZ,康泰生物,生物制药,85.03,2.5,2.02,36.0
33,002938.SZ,鹏鼎控股,元器件,48.45,2.78,2.01,37.0
34,002524.SZ,光正集团,医疗保健,10.05,3.19,2.0,16.0
35,002351.SZ,漫步者,IT设备,12.7,5.21,1.96,9.0
36,300468.SZ,四方精创,软件服务,34.75,4.37,1.89,10.0
37,600984.SH,建设机械,工程机械,10.15,2.25,1.89,40.0
38,600812.SH,华北制药,化学制药,7.84,2.62,1.88,12.0
39,300202.SZ,聚龙股份,专用机械,15.94,4.83,1.86,8.0
40,603566.SH,普莱柯,生物制药,22.8,3.0,1.82,13.0
41,603658.SH,安图生物,医疗保健,107.3,2.54,1.81,36.0
42,601058.SH,赛轮轮胎,汽车配件,4.5,2.11,1.81,38.0
43,603022.SH,新通联,广告包装,15.49,3.83,1.81,8.0
44,002045.SZ,国光电器,元器件,10.01,3.57,1.78,12.0
45,002901.SZ,大博医疗,医疗保健,56.7,2.93,1.76,27.0
46,603031.SH,安德利,百货,19.88,2.12,1.72,24.0
47,603129.SH,春风动力,摩托车,36.32,3.08,1.7,11.0
48,300433.SZ,蓝思科技,元器件,14.37,3.83,1.67,11.0
49,603477.SH,振静股份,纺织,13.04,3.09,1.67,7.0
50,603456.SH,九洲药业,化学制药,14.09,2.56,1.66,13.0
51,600223.SH,鲁商发展,区域地产,5.99,2.49,1.65,5.0
52,300613.SZ,富瀚微,半导体,168.7,3.38,1.65,11.0
53,300192.SZ,科斯伍德,文教休闲,15.86,3.13,1.6,9.0
54,601808.SH,中海油服,石油开采,15.25,2.42,1.6,12.0
55,002732.SZ,燕塘乳业,乳制品,25.3,2.04,1.57,21.0
56,000066.SZ,中国长城,IT设备,15.36,2.47,1.56,11.0
57,002291.SZ,星期六,服饰,7.79,2.64,1.55,6.0
58,603208.SH,江山欧派,家居用品,55.88,3.28,1.55,9.0
59,300379.SZ,东方通,软件服务,33.6,2.21,1.53,10.0
60,300136.SZ,信维通信,通信设备,43.09,2.93,1.53,13.0
61,002100.SZ,天康生物,饲料,13.51,2.65,1.51,5.0
62,000708.SZ,中信特钢,特种钢,21.78,2.97,1.51,10.0
63,300551.SZ,古鳌科技,专用机械,23.17,2.2,1.49,3.0
64,002861.SZ,瀛通通讯,通信设备,36.63,3.34,1.49,8.0
65,002850.SZ,科达利,机械基件,33.28,2.4,1.49,13.0
66,002655.SZ,共达电声,元器件,12.92,2.5,1.48,10.0
67,002458.SZ,益生股份,农业综合,32.81,2.66,1.47,5.0
68,300326.SZ,凯利泰,医疗保健,15.73,2.79,1.46,10.0
69,603986.SH,兆易创新,半导体,166.99,3.35,1.45,11.0
70,300566.SZ,激智科技,元器件,24.7,2.18,1.45,10.0
71,300464.SZ,星徽精密,机械基件,12.05,2.19,1.45,9.0
72,002785.SZ,万里石,其他建材,15.85,2.69,1.43,10.0
73,603377.SH,东方时尚,汽车服务,23.64,2.13,1.42,9.0
74,603197.SH,保隆科技,汽车配件,29.39,2.36,1.41,8.0
75,300502.SZ,新易盛,通信设备,36.54,2.04,1.4,13.0
76,300655.SZ,晶瑞股份,化工原料,24.25,2.14,1.4,11.0
77,603887.SH,城地股份,建筑工程,24.82,2.06,1.39,13.0
78,300639.SZ,凯普生物,医疗保健,25.22,3.1,1.39,8.0
79,002475.SZ,立讯精密,元器件,34.46,2.12,1.39,8.0
80,603811.SH,诚意药业,化学制药,29.19,2.06,1.38,29.0
81,300548.SZ,博创科技,元器件,52.72,2.05,1.38,10.0
82,000032.SZ,深桑达A,元器件,14.09,2.01,1.37,11.0
83,300558.SZ,贝达药业,化学制药,62.84,2.43,1.37,13.0
84,601139.SH,深圳燃气,供气供热,8.23,2.09,1.36,10.0
85,002705.SZ,新宝股份,家用电器,16.56,2.65,1.36,9.0
86,000868.SZ,*ST安凯,汽车整车,4.49,2.42,1.36,8.0
87,300319.SZ,麦捷科技,元器件,10.31,2.34,1.35,8.0
88,300541.SZ,先进数通,软件服务,24.08,2.18,1.35,9.0
89,002626.SZ,金达威,食品,19.37,2.4,1.33,8.0
90,300363.SZ,博腾股份,化学制药,14.17,2.4,1.33,14.0
91,300759.SZ,康龙化成,化学制药,55.06,2.46,1.33,12.0
92,300168.SZ,万达信息,软件服务,17.97,2.28,1.32,5.0
93,000526.SZ,紫光学大,文教休闲,33.34,2.3,1.32,10.0
94,002916.SZ,深南电路,元器件,155.88,2.53,1.31,12.0
95,300346.SZ,南大光电,元器件,14.55,2.28,1.31,10.0
96,300357.SZ,我武生物,生物制药,48.76,2.29,1.3,7.0
97,300602.SZ,飞荣达,元器件,50.19,3.26,1.29,10.0
98,002332.SZ,仙琚制药,生物制药,9.85,2.03,1.28,9.0
99,300525.SZ,博思软件,软件服务,36.01,2.69,1.22,6.0
100,603737.SH,三棵树,染料涂料,77.35,3.0,1.21,7.0
101,300579.SZ,数字认证,软件服务,46.11,2.5,1.2,6.0
102,002456.SZ,欧菲光,元器件,12.16,2.05,1.03,7.0
103,300782.SZ,卓胜微,元器件,406.0,6.07,1.0,0.0
104,300622.SZ,博士眼镜,其他商业,22.15,2.11,0.98,9.0
105,002692.SZ,ST远程,电气设备,3.7,2.48,0.96,6.0
106,603068.SH,博通集成,半导体,99.81,2.63,0.78,9.0
