,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,COL_INDAY_P_CHANGE,circ_mv
1668,300280.SZ,紫天科技,专用机械,0.0,-21.16,34.28,0.02,438784.0
1012,002552.SZ,宝鼎科技,机械基件,0.0,-17.97,7.81,0.05,156316.3253
2821,600816.SH,安信信托,多元金融,0.0,-16.89,7.72,0.01,3607177.0615
1130,002670.SZ,国盛金控,证券,0.0,-15.13,13.53,0.02,849245.5576
2317,600218.SH,全柴动力,农用机械,0.0,-14.79,12.24,0.03,451356.12
1517,300128.SZ,锦富技术,元器件,0.0,-14.67,5.5,0.02,586144.1751
151,000563.SZ,陕国投A,多元金融,0.0,-14.54,5.41,0.02,2144530.9497
1993,300612.SZ,宣亚国际,广告包装,0.0,-14.39,25.7,0.03,116517.2337
2973,601099.SH,太平洋,证券,0.0,-14.17,4.2,0.02,2721102.8754
1810,300424.SZ,航新科技,航空,0.0,-14.07,19.87,0.01,313426.0915
1749,300362.SZ,天翔环境,环境保护,0.0,-13.92,6.4,0.12,198769.2992
1321,002875.SZ,安奈儿,服饰,0.0,-13.68,22.1,0.06,85917.065
2785,600775.SH,南京熊猫,通信设备,0.0,-13.65,11.76,0.04,790082.1101
1317,002870.SZ,香山股份,电器仪表,0.0,-13.56,24.84,0.03,99658.08
2647,600622.SH,光大嘉宝,区域地产,0.0,-13.42,7.88,0.02,909040.0749
705,002243.SZ,通产丽星,塑料,0.0,-13.37,20.15,0.02,735372.1463
3567,603959.SH,百利科技,建筑施工,0.0,-13.34,20.09,0.06,299260.64
1929,300545.SZ,联得装备,专用机械,0.0,-12.34,33.98,0.04,163533.48
1318,002871.SZ,伟隆股份,机械基件,0.0,-12.31,24.13,0.05,69735.7
3100,601881.SH,中国银河,证券,0.0,-11.91,11.38,0.02,1398068.146
2423,600340.SH,华夏幸福,区域地产,0.0,-11.91,29.23,0.02,8637309.2304
2415,600331.SH,宏达股份,铅锌,0.0,-11.9,3.76,0.04,764032.0
2338,600240.SH,华业资本,全国地产,0.0,-11.86,3.52,0.05,501337.2672
2208,600094.SH,大名城,区域地产,0.0,-11.84,5.78,0.05,1315877.668
2646,600621.SH,华鑫股份,证券,0.0,-11.79,12.75,0.01,682443.7832
