,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,600880.SH,博瑞传播,广告包装,9.9078,4.77,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金"
1,002713.SZ,东易日盛,装修装饰,9.9496,8.73,"招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金
中央汇金资产管理有限责任公司
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金
中央汇金资产管理有限责任公司
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)"
2,300460.SZ,惠伦晶体,元器件,9.9875,17.62,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
国泰基金-浦发银行-国泰-禾盈1号资产管理计划
深圳市前海进化论资产管理有限公司-进化论精选三号私募基金
国泰基金-工商银行-国泰基金格物1号资产管理计划"
3,002981.SZ,朝阳科技,元器件,9.99,43.82,
4,300833.SZ,浩洋股份,元器件,9.9987,82.51,
5,300106.SZ,西部牧业,农业综合,10.0,7.81,"中海信托股份有限公司-中海-浦江之星165号集合资金信托
中海信托股份有限公司-中海-浦江之星177号集合资金信托"
6,601208.SH,东材科技,化工原料,10.0,7.04,"中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划"
7,002980.SZ,华盛昌,电器仪表,10.0064,69.26,
8,603385.SH,惠达卫浴,家居用品,10.0085,12.97,"中国银行股份有限公司-嘉实新收益灵活配置混合型证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
基本养老保险基金三零三组合
中国银行股份有限公司-嘉实新收益灵活配置混合型证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金"
9,300521.SZ,爱司凯,专用机械,10.0193,11.42,
10,300265.SZ,通光线缆,电气设备,10.0289,15.25,"中央汇金资产管理有限责任公司
杭州优益增投资管理有限公司-优益增复兴三号私募证券投资基金
中央汇金资产管理有限责任公司"
11,002275.SZ,桂林三金,中成药,10.0351,15.68,"中央汇金资产管理有限责任公司
全国社保基金六零四组合
中央汇金资产管理有限责任公司
全国社保基金六零四组合"
12,600071.SH,凤凰光学,元器件,10.0423,10.41,"中铁宝盈资产-招商银行-外贸信托-昀沣3号证券投资集合资金信托计划
中铁宝盈资产-招商银行-外贸信托-昀沣3号证券投资集合资金信托计划"
13,000551.SZ,创元科技,专用机械,10.0606,9.08,
14,002691.SZ,冀凯股份,专用机械,10.0885,6.22,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
15,600418.SH,江淮汽车,汽车整车,10.0917,6.0,"安徽省铁路发展基金股份有限公司
申万菱信基金-招商银行-华润深国投信托-华润信托·博荟13号集合资金信托计划
华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划
安徽省铁路发展基金股份有限公司
申万菱信基金-招商银行-华润深国投信托-华润信托·博荟13号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
16,300309.SZ,吉艾科技,多元金融,10.1227,3.59,华夏成长证券投资基金
