,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_MA_5_SLOPE,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,concept
0,300405.SZ,300405,科隆股份,化工原料,15.74,13.01,11.46,9.99,7.43,4.18,18.88,"石油化工, 高送转, 股权转让, 国资入股, "
1,600127.SH,600127,金健米业,农业综合,4.01,3.84,3.82,7.51,2.67,1.33,4.81,"乡村振兴, 食品, 湖南国企改革, 乳业（奶粉）, "
2,603777.SH,603777,来伊份,食品,15.1,13.81,13.02,6.71,4.38,2.12,17.95,"大消费, 回购, 新零售, 食品, 休闲食品, 进口博览会, 人造肉, "
3,000713.SZ,000713,丰乐种业,种植业,7.82,7.4,6.95,6.54,3.35,2.36,9.34,"农药, 安徽国企改革, 转基因, 乡村振兴, 业绩预增, 农业种植, 人造肉, "
4,002164.SZ,002164,宁波东力,电气设备,4.38,4.05,3.99,5.8,1.25,0.76,4.58,"风电, 定增破发, "
5,002708.SZ,002708,光洋股份,汽车配件,10.2,9.58,9.54,5.26,1.38,0.63,10.75,"汽车零部件, 股权转让, 壳公司, 创投, "
6,002793.SZ,002793,东音股份,专用机械,18.82,16.1,14.58,4.44,3.87,2.1,18.9,"医药, 化学药, "
7,600287.SH,600287,江苏舜天,商贸代理,7.74,7.1,6.92,4.31,1.57,0.73,7.83,"参股券商, 期货概念, "
8,600368.SH,600368,五洲交通,路桥,5.07,4.5,4.31,4.11,2.04,0.94,5.04,"高速公路, 一带一路, 东盟博览会, 广西, "
9,300069.SZ,300069,金利华电,电气设备,14.96,14.47,14.03,3.67,1.26,1.08,15.94,"特高压, 燃料电池, 影视, "
10,603508.SH,603508,思维列控,软件服务,55.28,50.53,48.21,3.52,1.83,1.03,55.5,"回购, 无人机, 高铁轨交, 资产重组, "
11,002893.SZ,002893,华通热力,供气供热,17.85,16.65,16.49,3.24,0.85,0.24,17.64,"高送转-预期, "
12,603718.SH,603718,海利生物,生物制药,15.0,14.37,14.17,3.16,1.55,1.14,16.31,"医药, 疫苗, 基因测序, 医疗器械, 举牌股, 动物保健, 体外诊断, "
13,002763.SZ,002763,汇洁股份,服饰,10.26,9.71,9.63,3.01,1.15,0.52,10.59,"纺织服装, 化妆品, "
14,300238.SZ,300238,冠昊生物,医疗保健,21.56,21.15,18.98,2.91,2.37,1.55,23.0,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
15,600626.SH,600626,申达股份,纺织,7.68,7.16,6.96,2.81,1.13,0.58,7.59,"汽车零部件, 上海国企改革, 进口博览会, "
16,603233.SH,603233,大参林,医药商业,48.27,46.99,46.5,2.77,1.05,0.3,51.28,"健康中国, 新进指数成份股, 医药商业, 医药, "
17,002127.SZ,002127,南极电商,互联网,12.04,11.66,11.37,2.64,1.48,0.53,12.58,"MSCI, 社保重仓, 回购, 新零售, 业绩预增, "
18,002910.SZ,002910,庄园牧场,乳制品,15.63,15.14,14.74,2.56,1.68,0.55,16.64,"食品, 乳业（奶粉）, "
19,002020.SZ,002020,京新药业,化学制药,12.16,11.54,11.45,2.27,0.7,0.35,12.06,"回购, 参股券商, 医药, 化学药, 迈瑞医疗概念股, "
20,000963.SZ,000963,华东医药,化学制药,35.19,34.47,33.87,2.27,0.7,0.42,36.3,"MSCI, 健康中国, 医药商业, 医药, 中药, 创新药, 化学药, 医疗器械, "
21,600070.SH,600070,浙江富润,纺织,9.78,9.23,9.02,2.19,1.1,0.11,9.83,"华为产业链, 回购, 大数据, 印染, 独角兽, "
22,600410.SH,600410,华胜天成,软件服务,10.29,9.71,9.45,1.98,1.46,0.75,10.79,"阿里巴巴概念股, 国家队重仓, 回购, 业绩预增, 军工, 军民融合, 物联网, 智慧物流, 网络安全, 智能制造, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 国产芯片, 科创板概念股, 透明工厂, "
23,600132.SH,600132,重庆啤酒,啤酒,37.02,36.48,36.01,1.9,0.86,0.17,38.44,"啤酒, "
24,300488.SZ,300488,恒锋工具,机械基件,27.59,27.37,26.91,1.88,1.41,0.52,30.53,"高送转, "
25,601116.SH,601116,三江购物,超市连锁,15.77,14.69,14.19,1.87,0.82,0.42,15.3,"阿里巴巴概念股, 新零售, "
26,600004.SH,600004,白云机场,机场,15.45,14.88,14.58,1.85,0.95,0.34,15.9,"机场, MSCI, 新进指数成份股, 社保重仓, 粤港澳大湾区, "
27,603939.SH,603939,益丰药房,医药商业,61.32,59.5,58.77,1.78,0.98,0.41,62.87,"医药商业, 医药, 中药, 资产重组, 年报季报, "
28,600810.SH,600810,神马股份,化纤,15.11,14.81,14.7,1.68,0.95,0.14,15.74,"业绩预增, 锦纶（尼龙）, 债转股-AMC, "
29,603398.SH,603398,邦宝益智,文教休闲,14.93,14.6,14.58,1.5,0.48,0.14,15.12,"二胎, 人民币贬值受益, 资产重组, 动漫, "
30,002555.SZ,002555,三七互娱,互联网,13.52,13.46,13.41,1.5,0.3,0.07,13.9,"MSCI, 回购, 定增破发, VR&AR, 游戏, 手游, 动漫, "
31,603708.SH,603708,家家悦,超市连锁,26.6,26.26,25.98,1.49,0.84,0.39,27.55,"社保重仓, 新零售, 快递物流, "
32,603288.SH,603288,海天味业,食品,90.36,88.16,87.25,1.46,0.47,0.25,91.0,"白马股, MSCI, 大消费, 调味品, 食品, "
33,600322.SH,600322,天房发展,区域地产,4.34,4.09,3.97,1.4,1.24,0.76,4.37,"雄安-地产, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
34,603703.SH,603703,盛洋科技,通信设备,12.68,12.23,12.06,1.36,0.66,0.33,12.65,"量子通信, LED, "
35,002679.SZ,002679,福建金森,林业,27.16,26.22,25.3,1.31,0.85,0.44,27.26,"土地流转, 林业, "
36,300578.SZ,300578,会畅通讯,通信设备,26.63,25.78,25.2,1.25,0.66,0.48,27.5,"业绩预增, 大数据, 云计算, 资产重组, "
37,601933.SH,601933,永辉超市,超市连锁,9.63,9.35,9.27,0.42,0.32,0.11,9.48,"白马股, MSCI, 大消费, 金改, 海底捞概念股, 新零售, 腾讯概念股, "
38,002602.SZ,002602,世纪华通,汽车配件,19.3,19.19,19.0,0.42,0.31,0.05,19.26,"回购, 汽车零部件, 高质押率, 高送转, 资产重组, 游戏, 手游, "
