,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,000630.SZ,000630,铜陵有色,铜,2.04,True,香港中央结算有限公司(陆股通)
1,600219.SH,600219,南山铝业,铝,2.11,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划"
2,601000.SH,601000,唐山港,港口,2.28,True,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
3,300111.SZ,300111,向日葵,半导体,2.57,True,
4,601216.SH,601216,君正集团,化工原料,2.69,True,"中信信诚资产-招商银行-诚融聚荷1号资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
5,000838.SZ,000838,财信发展,区域地产,2.69,True,华润深国投信托有限公司-黄河9号信托计划
6,002496.SZ,002496,*ST辉丰,农药化肥,2.89,True,
7,601588.SH,601588,北辰实业,区域地产,2.97,True,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
8,600077.SH,600077,宋都股份,全国地产,3.1,True,云南国际信托有限公司-苍穹1号单一资金信托
9,600481.SH,600481,双良节能,环境保护,3.13,True,中央汇金资产管理有限责任公司
10,000937.SZ,000937,冀中能源,煤炭开采,3.14,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
11,600979.SH,600979,广安爱众,水力发电,3.16,True,北京风炎投资管理有限公司-风炎投资.安瑞1号私募基金
12,002285.SZ,002285,世联行,房产服务,3.18,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
13,002133.SZ,002133,广宇集团,全国地产,3.27,True,
14,000718.SZ,000718,苏宁环球,区域地产,3.3,True,"安徽省铁路发展基金股份有限公司
香港中央结算有限公司(陆股通)"
15,300459.SZ,300459,金科文化,互联网,3.35,True,"中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金"
16,000965.SZ,000965,天保基建,区域地产,3.42,True,"长江证券资管-天津市万博咨询有限公司-长江资管万博红日1号单一资产管理计划
中信建投证券-天津市万博咨询有限公司-中信建投万博咨询单一资产管理计划
国投大成投资基金(北京)有限公司"
17,000540.SZ,000540,中天金融,多元金融,3.5,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
18,000778.SZ,000778,新兴铸管,钢加工,3.51,True,"香港中央结算有限公司(陆股通)
全国社保基金四一三组合
安徽高新毅达皖江产业发展创业投资基金(有限合伙)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
19,601099.SH,601099,太平洋,证券,3.52,True,"陕西省国际信托股份有限公司-陕国投·财富72号单一资金信托
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
20,002936.SZ,002936,郑州银行,银行,3.54,True,
21,601988.SH,601988,中国银行,银行,3.58,True,"中央汇金投资有限责任公司
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
22,600665.SH,600665,天地源,全国地产,3.59,True,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
23,600023.SH,600023,浙能电力,火力发电,3.59,True,"中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
24,600497.SH,600497,驰宏锌锗,铅锌,3.6,True,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金"
25,601018.SH,601018,宁波港,港口,3.67,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划"
26,603117.SH,603117,万林物流,仓储物流,3.73,True,红土创新基金-银河证券-深圳市创新投资集团有限公司
