,name,p_change_01,past_average_turnover,stop_mark
600887,伊利股份,-16.966,1.993,
002304,洋河股份,-14.812,0.363,
600340,华夏幸福,-14.035,1.347,
000858,五 粮 液,-12.839,1.303,
600690,青岛海尔,-12.116,0.923,
002572,索菲亚,-12.061,1.14,
000651,格力电器,-11.954,1.16,
002594,比亚迪,-11.533,1.423,
002555,三七互娱,-10.6,0.943,
300133,华策影视,-10.096,1.593,
002508,老板电器,-9.834,1.553,
000568,泸州老窖,-9.575,0.767,
002236,大华股份,-9.217,1.9,
000895,双汇发展,-8.545,0.63,
002008,大族激光,-7.069,1.153,
000418,小天鹅Ａ,-7.063,0.4,
600660,福耀玻璃,-6.689,0.553,
600519,贵州茅台,-5.984,0.55,
300027,华谊兄弟,-5.687,2.457,
000725,京东方Ａ,-5.653,1.587,
600585,海螺水泥,-5.187,1.053,
600606,绿地控股,-4.833,2.11,
000002,万 科Ａ,-4.199,0.463,
000333,美的集团,-3.357,0.73,
601318,中国平安,-3.357,1.18,
600104,上汽集团,-2.964,0.31,
002701,奥瑞金,-2.877,0.957,
600809,山西汾酒,-2.663,0.853,
600305,恒顺醋业,-2.479,0.66,
300251,光线传媒,-2.234,1.123,
600900,长江电力,-1.927,0.147,
002415,海康威视,-1.277,0.457,
002624,完美世界,-0.12,1.283,
002352,顺丰控股,0.315,0.35,
002831,裕同科技,0.319,0.783,
000423,东阿阿胶,0.834,0.723,
300144,宋城演艺,1.002,1.05,
600600,青岛啤酒,3.159,0.893,
300124,汇川技术,4.298,1.25,
600085,同仁堂,4.905,0.67,
600993,马应龙,5.359,1.347,
002262,恩华药业,6.325,0.727,
002230,科大讯飞,6.872,3.563,
600062,华润双鹤,7.315,1.157,
600518,康美药业,7.397,0.377,
002223,鱼跃医疗,8.642,3.64,
000538,云南白药,8.689,0.32,
601888,中国国旅,9.014,0.703,
002014,永新股份,9.068,0.543,
002024,苏宁易购,9.186,1.94,
600867,通化东宝,10.089,0.857,
002120,韵达股份,11.699,1.29,
600332,白云山,13.99,1.373,
600276,恒瑞医药,14.979,0.767,
600315,上海家化,15.017,0.883,
300015,爱尔眼科,15.353,0.857,
002422,科伦药业,15.996,1.233,
300059,东方财富,16.405,5.467,
600436,片仔癀,18.214,1.147,
300616,尚品宅配,20.141,1.017,
600535,天士力,22.664,1.55,
300347,泰格医药,35.973,2.523,
603355,莱克电气,,,
603517,绝味食品,,,
603833,欧派家居,,,
603288,海天味业,,,
