,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_RANK_SCORE,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688217.SH,688217,N睿昂,生物制药,106.42,1.0,48.0,148.0,12.03,,0.0
1,688575.SH,688575,N亚辉龙,医疗保健,64.0,1.0,33.0,133.0,21.21,,0.0
2,605089.SH,605089,味知香,食品,117.24,3.0,15.0,115.0,29.31,,0.0
3,600906.SH,600906,财达证券,证券,9.59,3.0,10.0,110.0,47.95,,0.0
4,001203.SZ,001203,大中矿业,普钢,20.81,3.0,9.0,109.0,45.56,,0.0
5,605196.SH,605196,华通线缆,电气设备,10.65,3.0,8.0,108.0,8.09,,0.0
6,605488.SH,605488,福莱新材,塑料,35.6,3.0,6.0,106.0,10.68,,0.0
7,001205.SZ,001205,盛航股份,水运,28.79,3.0,6.0,106.0,8.66,,0.0
8,601999.SH,601999,出版传媒,出版业,9.38,2.0,3.0,103.0,51.68,中央汇金资产管理有限责任公司,1.0
9,600753.SH,600753,东方银星,商贸代理,24.84,3.0,3.0,103.0,44.51,"上海杰宇资产管理有限公司
深圳格律资产管理有限公司-格律连赢1号私募证券投资基金",2.0
10,002289.SZ,002289,宇顺电子,元器件,9.64,3.0,3.0,103.0,25.52,,0.0
11,600726.SH,600726,华电能源,火力发电,2.68,2.0,2.0,102.0,41.13,,0.0
12,002622.SZ,002622,融钰集团,综合类,2.87,2.0,2.0,102.0,24.11,"创隆资产管理有限公司
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划",2.0
13,002869.SZ,002869,金溢科技,通信设备,22.47,2.0,2.0,102.0,33.52,"中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
14,002908.SZ,002908,德生科技,元器件,17.28,2.0,2.0,102.0,25.52,"上海迎水投资管理有限公司-迎水泰顺1号私募证券投资基金
金库骐楷(杭州)投资管理有限公司-金库成长五号私募证券投资基金",2.0
15,600155.SH,600155,华创阳安,证券,11.8,2.0,2.0,102.0,205.27,,0.0
16,002922.SZ,002922,伊戈尔,电气设备,9.94,2.0,2.0,102.0,27.34,,0.0
17,003027.SZ,003027,同兴环保,环境保护,36.05,2.0,2.0,102.0,11.72,"浙江九章资产管理有限公司-九章幻方皓月1号私募基金
深圳市上潮资本管理有限责任公司-上潮2号私募基金",2.0
18,605016.SH,605016,百龙创园,食品,36.4,2.0,2.0,102.0,11.58,,0.0
