,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_MA_5_SLOPE,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,COL_MA_CLOSE_GAP,concept
0,002567.SZ,002567,唐人神,饲料,16.9,16.26,15.12,-2.59,0.56,0.67,15.15,0.2,"回购, 饲料, 养猪, 股权转让, 国资入股, "
1,300532.SZ,300532,今天国际,软件服务,15.6,15.31,15.24,0.06,0.39,0.33,15.28,0.26,"宁德时代概念股, 智慧物流, 智能制造, 快递物流, 国资入股, "
2,002241.SZ,002241,歌尔股份,元器件,10.66,10.41,10.34,0.57,0.58,-0.1,10.37,0.29,"白马股, MSCI, 回购, 小米概念股, 智能制造, 工业互联网, 3D感应, 智能音箱, VR&AR, 苹果产业链, 独角兽, 机器人, "
3,603168.SH,603168,莎普爱思,化学制药,10.42,10.0,9.38,-1.88,0.6,0.75,9.41,0.32,"医药, 化学药, 眼科, 股权转让, "
4,002882.SZ,002882,金龙羽,电气设备,12.3,12.21,12.09,0.08,0.33,0.08,12.15,0.5,"业绩预增, 新能源汽车, 充电桩, "
5,300508.SZ,300508,维宏股份,软件服务,33.53,32.07,31.22,-1.0,0.79,0.45,31.42,0.64,"工业自动化, 智能制造, 工业互联网, "
6,000890.SZ,000890,法尔胜,钢加工,7.66,7.49,7.24,-1.79,0.54,0.7,7.29,0.69,"5G, 供应链金融, 京东金融概念股, 独角兽, "
7,000858.SZ,000858,五粮液,白酒,102.59,102.39,101.56,0.22,0.17,0.36,102.29,0.72,"高价股, 白马股, MSCI, 大消费, 白酒, "
8,002559.SZ,002559,亚威股份,机床制造,8.79,8.6,8.55,0.46,0.58,0.12,8.62,0.82,"回购, 工业自动化, 燃料电池, 智能制造, 工业互联网, 机器人, "
9,603959.SH,603959,百利科技,建筑施工,23.9,23.36,21.92,-0.79,0.6,0.74,22.1,0.82,"宁德时代概念股, 煤化工, 高质押率, 锂电池, 新能源汽车, "
10,300659.SZ,300659,中孚信息,软件服务,34.41,33.79,33.56,-0.15,0.33,0.3,33.86,0.89,"网络安全, 国产软件, 资产重组, "
11,300268.SZ,300268,佳沃股份,农业综合,17.4,17.25,16.54,-0.51,0.29,0.43,16.75,1.27,"海底捞概念股, 食品, 区块链, 独角兽, "
12,002316.SZ,002316,亚联发展,软件服务,10.01,10.0,9.68,-0.89,0.5,0.31,9.82,1.45,"华为产业链, 新零售, 互联网金融, 移动支付, 大数据, 智慧城市, 独角兽, 电子车牌, "
13,603611.SH,603611,诺力股份,运输设备,19.64,19.26,18.92,-0.41,0.52,0.48,19.2,1.48,"智慧物流, 机械, 智能制造, "
14,300551.SZ,300551,古鳌科技,专用机械,16.94,16.82,16.04,-0.99,0.48,0.44,16.29,1.56,"互联网金融, 无人银行, "
15,002791.SZ,002791,坚朗五金,其他建材,16.35,15.65,15.28,0.43,0.77,0.39,15.52,1.57,"社保重仓, 回购, "
16,002475.SZ,002475,立讯精密,元器件,26.57,26.41,25.77,0.15,0.65,0.27,26.19,1.63,"5G, 白马股, MSCI, 华为产业链, 蔚来汽车概念股, 业绩预增, 无线充电, 苹果产业链, "
17,300130.SZ,300130,新国都,电脑设备,18.64,18.18,17.7,-0.75,0.83,0.17,18.0,1.69,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, "
18,002788.SZ,002788,鹭燕医药,医药商业,17.0,16.82,16.46,-0.82,0.54,0.43,16.75,1.76,"医药商业, 医药, 中药, 医疗器械, "
19,300050.SZ,300050,世纪鼎利,软件服务,7.45,7.42,7.12,-0.8,0.54,0.56,7.25,1.83,"5G, 阿里巴巴概念股, 教育, 物联网, 定增破发, 大数据, 无人商店, 股权转让, "
20,603505.SH,603505,金石资源,矿物制品,19.78,19.49,18.86,-0.8,0.72,0.59,19.21,1.86,"业绩预增, "
21,000566.SZ,000566,海南海药,化学制药,8.4,8.07,7.97,0.72,0.5,0.5,8.12,1.88,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
22,300198.SZ,300198,纳川股份,塑料,4.91,4.8,4.47,-1.41,1.27,0.0,4.56,2.01,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 共享经济, "
23,300212.SZ,300212,易华录,软件服务,34.67,33.82,32.93,-0.46,0.27,0.76,33.6,2.03,"阿里巴巴概念股, 央企改革, 业绩预增, 物联网, 百度概念股, 无人驾驶, 雄安-智慧城市, 养老产业, 智慧停车, PPP, 小米概念股, 数字中国, 雄安新区, 京津冀, 大数据, 云计算, 智慧城市, 智慧安防, 独角兽, 电子车牌, "
24,300488.SZ,300488,恒锋工具,机械基件,27.29,26.95,26.75,0.52,0.6,0.26,27.32,2.13,
25,600748.SH,600748,上实发展,全国地产,11.91,11.39,10.83,0.08,0.26,0.93,11.07,2.22,"养老产业, 房地产, 土地流转, 上海国企改革, "
26,300369.SZ,300369,绿盟科技,软件服务,14.24,13.87,13.76,-0.63,0.95,0.22,14.07,2.25,"社保重仓, 网络安全, 云计算, 工业互联网, 国产软件, 国产操作系统, 独角兽, "
27,603096.SH,603096,新经典,出版业,60.89,60.37,60.1,0.1,0.57,0.2,61.47,2.28,
28,000403.SZ,000403,振兴生化,生物制药,28.86,28.84,28.53,0.21,0.49,0.11,29.2,2.35,"血制品, 业绩预增, 股权争夺, ST摘帽, "
29,603399.SH,603399,吉翔股份,小金属,12.95,12.56,12.28,1.09,0.48,0.41,12.57,2.36,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
30,603128.SH,603128,华贸物流,仓储物流,10.55,10.43,10.06,0.09,-0.1,1.31,10.3,2.39,"央企改革, 回购, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
31,603699.SH,603699,纽威股份,专用机械,13.61,13.43,13.23,0.89,0.37,0.53,13.56,2.49,"核电, 回购, "
32,002776.SZ,002776,柏堡龙,服饰,26.49,26.28,25.69,0.34,0.04,0.43,26.34,2.53,"社保重仓, 纺织服装, 特色小镇, "
33,300661.SZ,300661,圣邦股份,元器件,93.79,90.27,89.39,0.78,0.84,-0.09,91.67,2.55,"社保重仓, 半导体, 国产芯片, 共享经济, "
34,002157.SZ,002157,正邦科技,饲料,21.78,20.54,19.78,-0.5,0.59,1.02,20.3,2.63,"阿里巴巴概念股, 饲料, 养猪, 土地流转, "
35,002089.SZ,002089,新海宜,通信设备,6.21,6.08,5.7,-0.8,1.0,0.35,5.85,2.63,"5G, 光通信, 锂电池, 量子通信, 新能源汽车, LED, 创投, "
36,603368.SH,603368,柳药股份,医药商业,36.15,35.21,34.6,-0.58,0.49,0.73,35.53,2.69,"医药商业, 回购, 医药, 中药, 互联网医疗, 广西, "
37,000688.SZ,000688,国城矿业,铅锌,13.24,12.89,12.74,0.46,0.55,0.31,13.09,2.75,"有色-锌, 回购, 有色金属, 高质押率, "
38,300025.SZ,300025,华星创业,通信设备,6.76,6.72,6.35,-0.59,1.05,0.47,6.53,2.83,"5G, 华为产业链, 物联网, 云计算, 股权转让, "
39,000997.SZ,000997,新大陆,软件服务,19.1,18.66,18.48,0.84,0.65,0.38,19.02,2.92,"MSCI, 国家队重仓, 物联网, 数字中国, 互联网金融, 移动支付, 大数据, 药品信息化追溯, 无人商店, 智慧城市, 彩票, 电子发票, "
40,300459.SZ,300459,金科文化,化工原料,9.08,9.02,8.81,0.0,0.45,0.46,9.07,2.95,"阿里巴巴概念股, 新进指数成份股, 回购, 业绩预增, 谷歌概念股, 高质押率, 大数据, 人工智能, "
41,300435.SZ,300435,中泰股份,机械基件,19.09,18.91,16.79,-2.85,-0.68,1.7,17.29,2.98,"天然气, 煤化工, 燃料电池, 资产重组, "
42,603288.SH,603288,海天味业,食品,86.63,86.39,86.28,0.78,0.57,0.13,88.88,3.01,"白马股, MSCI, 大消费, 调味品, 食品, "
43,603583.SH,603583,捷昌驱动,电气设备,68.84,68.68,67.84,-0.13,0.93,-0.15,69.9,3.04,"业绩预增, "
44,002548.SZ,002548,金新农,饲料,14.93,14.54,13.31,-2.67,0.62,1.14,13.72,3.08,"回购, 饲料, 养猪, 股权转让, 动物保健, "
45,603003.SH,603003,龙宇燃油,石油贸易,9.69,9.55,9.34,-0.62,0.74,0.54,9.63,3.1,"油气改革, 回购, 石油化工, 大数据, 云计算, "
46,300385.SZ,300385,雪浪环境,环境保护,23.78,23.7,22.53,-0.92,0.17,1.08,23.24,3.15,"固废处理, 定增破发, 高质押率, 大气治理, 环保, "
47,002726.SZ,002726,龙大肉食,食品,11.42,11.13,10.41,-1.64,0.63,0.87,10.74,3.17,"养猪, 股权转让, "
48,300529.SZ,300529,健帆生物,医疗保健,60.95,60.67,60.03,0.43,0.95,-0.02,61.98,3.25,"新进指数成份股, 社保重仓, 医疗器械, "
49,002695.SZ,002695,煌上煌,食品,13.4,13.07,13.06,1.21,0.54,0.23,13.5,3.37,"食品, 休闲食品, "
50,000868.SZ,000868,*ST安凯,汽车整车,3.94,3.89,3.79,-0.25,-0.51,0.8,3.92,3.43,"新能源整车, 汽车整车, 安徽国企改革, 无人驾驶, 定增破发, PPP, 新能源汽车, "
51,002215.SZ,002215,诺普信,农药化肥,9.78,9.54,8.33,-4.86,1.38,1.34,8.62,3.48,"农药, 回购, 供应链金融, "
52,601588.SH,601588,北辰实业,区域地产,3.75,3.74,3.69,1.08,0.54,0.27,3.82,3.52,"北京城市规划, 破净股, 房地产, 京津冀, "
53,600470.SH,600470,六国化工,农药化肥,5.62,5.46,5.35,0.9,0.92,0.75,5.54,3.55,"安徽国企改革, 煤化工, 化肥, 磷化工, "
54,000982.SZ,000982,*ST中绒,纺织,2.25,2.22,1.97,-2.6,0.0,1.55,2.04,3.55,"纺织服装, 低价股, ST股, 宁夏, "
55,002179.SZ,002179,中航光电,元器件,41.11,40.92,40.76,1.06,0.37,0.2,42.23,3.61,"5G, MSCI, 新进指数成份股, 央企改革, 军工研究所, 社保重仓, 大飞机, 回购, 军工, 军民融合, 新能源汽车, "
56,600732.SH,600732,ST新梅,区域地产,7.49,7.3,6.9,-0.93,0.14,0.88,7.15,3.62,"上海国企改革, 资产重组, ST股, 壳公司, "
57,300290.SZ,300290,荣科科技,软件服务,10.45,10.43,10.38,0.58,0.68,0.1,10.78,3.85,"兜底式增持, 大数据, 云计算, 互联网医疗, 智慧城市, 国产软件, 股权转让, 医疗信息化, 独角兽, "
58,603677.SH,603677,奇精机械,机械基件,15.67,15.53,15.47,0.64,0.78,0.19,16.07,3.88,"白色家电, 家电, "
59,002727.SZ,002727,一心堂,医药商业,28.34,28.25,27.17,-0.53,0.61,0.56,28.25,3.97,"医药商业, 医药, 医疗信息化, "
60,300021.SZ,300021,大禹节水,农业综合,8.44,8.27,7.77,-0.59,0.24,1.04,8.08,3.99,"乡村振兴, 农机, 水利, 海绵城市, 土地流转, PPP, "
61,603806.SH,603806,福斯特,塑料,36.19,35.75,34.8,-0.11,0.79,0.46,36.2,4.02,"光伏, "
62,300341.SZ,300341,麦克奥迪,电气设备,7.45,7.29,6.99,-1.46,0.97,0.58,7.28,4.15,
63,600863.SH,600863,内蒙华电,火力发电,3.26,3.2,3.07,-0.91,0.95,0.66,3.2,4.23,"火电, MSCI, 内蒙古, 电改, 央企改革, 业绩预增, 风电, 低价股, "
64,002821.SZ,002821,凯莱英,生物制药,93.51,92.3,90.33,0.13,1.03,0.12,94.27,4.36,"社保重仓, 医药, 创新药, "
65,603848.SH,603848,好太太,家居用品,21.69,21.62,20.89,0.14,0.65,0.38,21.82,4.45,"家具家居, "
66,002459.SZ,002459,天业通联,工程机械,13.17,13.12,12.71,0.77,0.46,0.55,13.3,4.64,"光伏, 机械, 雄安新区, 雄安-工程基建, 移动支付, 高铁轨交, 资产重组, "
67,600265.SH,600265,ST景谷,林业,27.86,27.81,27.47,1.2,0.14,0.22,28.8,4.84,"林业, 股权转让, ST股, "
68,002773.SZ,002773,康弘药业,中成药,55.9,54.48,52.85,-0.46,1.04,0.44,55.5,5.01,"MSCI, 新进指数成份股, 医药, 中药, 创新药, 化学药, "
69,600731.SH,600731,湖南海利,农药化肥,7.32,7.19,6.75,0.27,0.98,1.05,7.09,5.04,"农药, 湖南国企改革, "
70,600593.SH,600593,大连圣亚,旅游服务,43.94,43.58,42.85,0.73,0.83,0.59,45.03,5.09,"主题公园, 旅游, "
71,603568.SH,603568,伟明环保,环境保护,27.75,27.55,27.07,0.54,0.47,0.71,28.45,5.1,"固废处理, 环保, "
72,002088.SZ,002088,鲁阳节能,矿物制品,14.06,13.74,13.29,-0.5,1.1,0.83,13.98,5.19,"社保重仓, 雄安-建材, 雄安新区, 耐火材料, "
73,002122.SZ,002122,*ST天马,机械基件,3.4,3.35,3.27,-0.58,0.9,0.31,3.44,5.2,"破净股, 智慧停车, 大数据, ST股, 创投, "
74,603637.SH,603637,镇海股份,建筑施工,18.62,18.35,17.79,-0.64,1.05,0.45,18.72,5.23,"大气治理, 环保, 举牌股, 股权争夺, "
75,600519.SH,600519,贵州茅台,白酒,962.86,955.34,923.57,0.48,0.68,0.64,971.97,5.24,"高价股, 白马股, MSCI, 大消费, 白酒, 大数据, "
