,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_NO_LIMIT,COL_FLOAT_HOLDERS
0,000861.SZ,000861,海印股份,房产服务,3.21,True,False,True,香港中央结算有限公司(陆股通)
1,600657.SH,600657,信达地产,全国地产,4.09,True,False,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
2,600209.SH,600209,ST罗顿,综合类,4.84,True,False,True,
3,002487.SZ,002487,大金重工,钢加工,5.79,True,False,True,"中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
全国社保基金一一八组合
中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金"
4,600119.SH,600119,ST长投,仓储物流,6.96,True,True,True,
5,000880.SZ,000880,潍柴重机,机械基件,8.06,True,False,True,北京神州牧投资基金管理有限公司-红炎神州牧基金
6,600246.SH,600246,万通地产,区域地产,8.79,True,False,True,"西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金
上海富诚海富通资产-宁波银行-富诚海富通福瑞通达1号专项资产管理计划
华宝信托有限责任公司-华宝信托-万通地产员工持股一期集合资金信托"
7,000504.SZ,000504,*ST生物,环境保护,9.47,True,True,True,"湖南省财信产业基金管理有限公司
上海和平大宗股权投资基金管理有限公司
重庆信三威投资咨询中心(有限合伙)-昌盛二号私募基金
云南国际信托有限公司-云信永盈8号证券投资集合资金信托计划"
8,002238.SZ,002238,天威视讯,影视音像,10.66,True,True,True,中国建设银行股份有限公司-华夏收入混合型证券投资基金
9,300374.SZ,300374,恒通科技,其他建材,10.68,True,False,True,"诸城晨光景泰股权投资基金有限公司
中央汇金资产管理有限责任公司"
10,603917.SH,603917,合力科技,汽车配件,11.19,True,True,True,
11,002240.SZ,002240,威华股份,家居用品,11.2,True,True,True,"国通信托有限责任公司-国通信托·紫金9号集合资金信托计划
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金"
12,002698.SZ,002698,博实股份,化工机械,12.03,True,True,True,"香港中央结算有限公司(陆股通)
国海证券-浦发银行-国海证券虑远1058号集合资产管理计划"
13,002106.SZ,002106,莱宝高科,元器件,12.11,True,False,True,"中国国际金融香港资产管理有限公司-客户资金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金"
14,300138.SZ,300138,晨光生物,食品,12.14,True,False,True,北京银网信联投资管理有限公司-银网信联6号私募证券投资基金
15,000096.SZ,000096,广聚能源,石油贸易,12.43,True,False,True,香港中央结算有限公司(陆股通)
16,002493.SZ,002493,荣盛石化,化纤,12.83,True,False,True,"汇安基金-浙商银行-汇安基金-湖畔1号资产管理计划
财通基金-建设银行-财通基金-海港1号资产管理计划
浙江浙商产融资产管理有限公司
香港中央结算有限公司(陆股通)
杭州华弘国泰投资管理有限公司-华弘国泰3号股权私募基金
金鹰基金-浙商银行-金鹰穗通定增515号资产管理计划"
17,603108.SH,603108,润达医疗,医药商业,13.08,True,False,True,"香港中央结算有限公司(陆股通)
西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金"
18,300257.SZ,300257,开山股份,机械基件,13.21,True,True,True,"香港中央结算有限公司(陆股通)
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
19,600416.SH,600416,*ST湘电,电气设备,13.27,True,False,True,"兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
全国社保基金五零三组合
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
中央汇金资产管理有限责任公司
深圳市和沣资产管理有限公司-和沣远景私募证券投资基金"
20,300381.SZ,300381,溢多利,生物制药,13.43,True,True,True,深圳菁英时代基金管理股份有限公司-菁英时代久盈1号基金
21,603937.SH,603937,丽岛新材,铝,14.11,True,True,True,
22,600750.SH,600750,江中药业,中成药,14.44,True,True,True,"中央汇金资产管理有限责任公司
基本养老保险基金一五零一一组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成景阳领先混合型证券投资基金"
