code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002411,延安必康,3.12,-45.465,0.167,0.0,0.0,
002485,希努尔,5.44,-39.982,0.482,0.0,0.0,
002502,骅威文化,6.21,-38.937,0.18,0.0,0.0,
002459,天业通联,3.87,-37.345,0.106,0.0,0.0,
600131,岷江水电,4.08,-35.016,0.188,0.0,0.0,
002512,达华智能,6.93,-33.448,0.178,0.0,0.0,
002147,新光圆成,5.37,-31.92,0.076,0.0,0.0,
002193,如意集团,2.3,-28.099,0.12,0.0,0.0,
000666,经纬纺机,4.74,-27.451,0.119,0.0,0.0,
002301,齐心集团,6.4,-23.793,0.117,0.0,0.0,
002098,浔兴股份,3.1,-21.338,0.081,0.0,0.0,
002258,利尔化学,5.23,-20.114,0.078,0.0,0.0,
000852,石化机械,5.98,-19.669,0.096,0.0,0.0,
600532,宏达矿业,5.16,-19.449,0.045,0.0,0.0,
000669,金鸿控股,6.7,-16.988,0.071,0.0,0.0,
002353,杰瑞股份,6.73,-16.548,0.085,0.0,0.0,
002110,三钢闽光,9.91,-16.148,0.064,0.0,0.0,
