,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE
0,300762.SZ,300762,上海瀚讯,通信设备,12.0,10.0015,73.58
1,000590.SZ,000590,启迪古汉,中成药,8.0,9.9884,18.94
2,300766.SZ,300766,每日互动,互联网,5.0,10.0073,30.34
3,600146.SH,600146,商赢环球,服饰,5.0,10.0366,15.02
4,002532.SZ,002532,新界泵业,农用机械,4.0,10.0372,8.88
5,603681.SH,603681,永冠新材,化工原料,4.0,10.0209,21.08
6,002958.SZ,002958,青农商行,银行,4.0,10.0132,8.35
7,300099.SZ,300099,精准信息,电器仪表,3.0,10.045,7.34
8,000927.SZ,000927,一汽夏利,汽车整车,3.0,10.0656,5.03
9,300110.SZ,300110,华仁药业,化学制药,3.0,9.9426,5.75
10,002177.SZ,002177,御银股份,电脑设备,3.0,10.0358,6.14
11,300527.SZ,300527,中国应急,专用机械,3.0,10.0079,13.96
12,002265.SZ,002265,西仪股份,汽车配件,3.0,10.0066,16.6
13,300411.SZ,300411,金盾股份,专用机械,3.0,10.0264,12.51
14,000503.SZ,000503,国新健康,医疗保健,3.0,9.9961,27.95
15,600975.SH,600975,新五丰,农业综合,2.0,9.9822,12.34
16,600546.SH,600546,山煤国际,煤炭开采,2.0,10.0939,4.69
17,002761.SZ,002761,多喜爱,纺织,2.0,9.9834,19.83
18,002663.SZ,002663,普邦股份,建筑施工,2.0,9.9462,4.09
19,600671.SH,600671,天目药业,中成药,2.0,10.0079,27.92
20,300663.SZ,300663,科蓝软件,软件服务,2.0,10.0079,41.88
21,600072.SH,600072,中船科技,船舶,2.0,10.02,16.47
22,600446.SH,600446,金证股份,软件服务,2.0,9.9874,26.1
23,002565.SZ,002565,顺灏股份,造纸,2.0,10.0,20.35
24,002952.SZ,002952,亚世光电,元器件,2.0,9.9959,54.25
25,600155.SH,600155,华创阳安,证券,2.0,10.0316,13.93
26,300194.SZ,300194,福安药业,化学制药,2.0,9.9274,4.54
27,300033.SZ,300033,同花顺,软件服务,2.0,10.005,109.84
28,000759.SZ,000759,中百集团,超市连锁,2.0,10.069,7.98
29,300085.SZ,300085,银之杰,软件服务,2.0,10.017,19.44
30,601519.SH,601519,大智慧,软件服务,2.0,10.0488,11.28
31,300465.SZ,300465,高伟达,软件服务,2.0,10.0535,10.29
32,000599.SZ,000599,青岛双星,汽车配件,2.0,10.0616,5.36
33,603383.SH,603383,顶点软件,软件服务,2.0,10.0033,101.28
34,000723.SZ,000723,美锦能源,焦炭加工,2.0,9.9675,10.15
35,300419.SZ,300419,浩丰科技,软件服务,1.0,10.0271,8.12
36,300446.SZ,300446,乐凯新材,化工原料,1.0,9.9819,30.3
37,600093.SH,600093,易见股份,仓储物流,1.0,9.9932,16.07
38,600081.SH,600081,东风科技,汽车配件,1.0,10.0,10.34
39,300468.SZ,300468,四方精创,软件服务,1.0,10.0,20.13
40,600006.SH,600006,东风汽车,汽车整车,1.0,9.9352,5.09
41,300767.SZ,300767,震安科技,橡胶,1.0,9.9891,30.39
42,300507.SZ,300507,苏奥传感,汽车配件,1.0,10.0045,24.41
43,300541.SZ,300541,先进数通,软件服务,1.0,9.989,19.93
44,300598.SZ,300598,诚迈科技,软件服务,1.0,10.0029,37.61
45,300542.SZ,300542,新晨科技,软件服务,1.0,10.0197,22.29
46,300561.SZ,300561,汇金科技,软件服务,1.0,10.033,16.67
47,300709.SZ,300709,精研科技,元器件,1.0,10.0,48.62
48,300565.SZ,300565,科信技术,通信设备,1.0,9.98,16.53
49,300645.SZ,300645,正元智慧,软件服务,1.0,9.9918,40.07
50,300639.SZ,300639,凯普生物,医疗保健,1.0,10.0,20.02
51,300618.SZ,300618,寒锐钴业,小金属,1.0,10.0038,87.2
52,300616.SZ,300616,尚品宅配,家居用品,1.0,9.9977,97.26
53,300597.SZ,300597,吉大通信,通信设备,1.0,9.9938,17.83
54,300611.SZ,300611,美力科技,机械基件,1.0,9.9902,11.23
55,300609.SZ,300609,汇纳科技,互联网,1.0,10.0092,47.59
56,300608.SZ,300608,思特奇,软件服务,1.0,10.0182,30.2
57,600470.SH,600470,六国化工,农药化肥,1.0,9.9138,5.1
58,600163.SH,600163,中闽能源,新型电力,1.0,9.901,4.44
59,600860.SH,600860,京城股份,专用机械,1.0,10.0473,9.31
