,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,000955.SZ,欣龙控股,纺织,7.45,50.14,财达证券-招商银行-证券行业支持民企发展系列之财达证券1号集合资产管理计划
1,603598.SH,引力传媒,影视音像,15.69,50.03,
2,300173.SZ,智慧松德,轻工机械,7.14,40.15,"中央汇金资产管理有限责任公司
广州佑昌融资产管理有限公司"
3,000927.SZ,一汽夏利,汽车整车,5.74,40.05,
4,300707.SZ,威唐工业,专用机械,19.16,40.01,
5,300576.SZ,容大感光,染料涂料,28.33,39.97,"中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
浙江九章资产管理有限公司-九章幻方青溪2号私募基金
中国农业银行股份有限公司-交银施罗德数据产业灵活配置混合型证券投资基金"
6,002261.SZ,拓维信息,互联网,8.56,33.8,华泰证券资管-宁波银行-华泰紫金定增3号集合资产管理计划
7,600876.SH,洛阳玻璃,玻璃,16.46,30.06,香港中央结算有限公司(陆股通)
8,002291.SZ,星期六,服饰,17.88,30.01,金鹰基金-民生银行-金鹰筠业琢石资产管理计划
9,300346.SZ,南大光电,元器件,16.55,30.01,"上海睿扬投资管理有限公司-睿扬专享3号私募证券投资基金
上海朴道瑞富投资管理中心(有限合伙)-朴道二期基金"
10,603825.SH,华扬联众,互联网,18.21,30.0,"东方富海(芜湖)股权投资基金(有限合伙)
东方富海(芜湖)二号股权投资基金(有限合伙)
上海通怡投资管理有限公司-通怡金牛2号私募证券投资基金"
11,000009.SZ,中国宝安,综合类,6.27,28.6,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
12,603690.SH,至纯科技,专用机械,33.29,23.62,"全国社保基金一零四组合
基本养老保险基金一二零二组合
中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
全国社保基金四一一组合
中国工商银行股份有限公司-中海量化策略股票型证券投资基金
中国银行股份有限公司-海富通股票混合型证券投资基金"
13,002192.SZ,融捷股份,专用机械,23.34,23.22,
14,601066.SH,中信建投,证券,30.95,21.93,"香港中央结算有限公司(陆股通)
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
四川信托有限公司-四川信托-价值成长2号证券投资单一资金信托
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金"
15,600223.SH,鲁商发展,区域地产,7.66,20.04,
16,300344.SZ,太空智造,软件服务,6.3,20.02,"上海云门投资管理有限公司-云门智造1号私募证券投资基金
中央汇金资产管理有限责任公司"
17,600641.SH,万业企业,区域地产,18.95,20.0,"国家集成电路产业投资基金股份有限公司
香港中央结算有限公司(陆股通)
申万宏源证券-四川三新创业投资有限责任公司-证券行业支持民企发展系列之申万宏源三新创投单一资产管理计划
沈阳森木投资管理有限公司-森木价值发现1号证券投资基金"
18,300750.SZ,宁德时代,电气设备,110.0,18.5,"上海尚颀投资管理合伙企业(有限合伙)-常州颀德股权投资基金中心(有限合伙)
先进制造产业投资基金(有限合伙)"
19,603536.SH,惠发食品,食品,22.46,17.85,
