,trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason,buy_sell_rate
0,20200401,002156.SZ,通富微电,20.68,10.0,4.02,940497869.0,69859640.6,189197749.3,259057389.9,119338108.7,12.69,27.54,23854469068.76,日涨幅偏离值达到7%的前五只证券,1.71
1,20200401,603320.SH,迪贝电气,17.94,9.9939,27.75,246320034.0,35449340.0,78947604.39,114396944.39,43498264.39,17.66,46.44,583050000.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.23
2,20200401,000662.SZ,天夏智慧,3.67,9.8802,3.43,134149444.0,14168089.67,31449053.0,45617142.67,17280963.33,12.88,34.0,4011239275.43,日涨幅偏离值达到7%的前五只证券,1.22
3,20200401,002770.SZ,科迪乳业,2.86,10.0,24.46,416798897.0,34818029.86,74497432.6,109315462.46,39679402.74,9.52,26.23,1723777403.92,日涨幅偏离值达到7%的前五只证券,1.14
4,20200401,002770.SZ,科迪乳业,2.86,10.0,24.46,636895051.0,42259929.52,90318284.6,132578214.12,48058355.08,7.55,20.82,1723777403.92,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.14
5,20200401,000757.SZ,浩物股份,4.46,10.1235,1.55,31237051.0,9375366.0,18752716.7,28128082.7,9377350.7,30.02,90.05,2014223416.0,日涨幅偏离值达到7%的前五只证券,1.0
6,20200401,300427.SZ,红相股份,18.32,10.03,4.74,213494179.0,31121040.0,60224354.79,91345394.79,29103314.79,13.63,42.79,4641788248.72,日涨幅偏离值达到7%的前五只证券,0.94
7,20200401,002401.SZ,中远海科,13.3,10.0083,6.66,262974603.0,25832345.0,42421624.74,68253969.74,16589279.74,6.31,25.95,4018031758.3,日涨幅偏离值达到7%的前五只证券,0.64
8,20200401,300390.SZ,天华超净,9.02,10.0,6.96,207984431.0,18306873.0,28304925.65,46611798.65,9998052.65,4.81,22.41,3054675099.52,日涨幅偏离值达到7%的前五只证券,0.55
9,20200401,300048.SZ,合康新能,4.3,9.9744,23.82,1577806702.0,113812191.71,146031519.4,259843711.11,32219327.69,2.04,16.47,4685005582.6,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.28
10,20200401,002225.SZ,濮耐股份,4.36,10.101,4.73,139512063.0,21349644.49,25416344.8,46765989.29,4066700.31,2.91,33.52,2993036851.12,日涨幅偏离值达到7%的前五只证券,0.19
11,20200401,300048.SZ,合康新能,4.3,9.9744,23.82,1101685807.0,103077741.27,115648775.6,218726516.87,12571034.33,1.14,19.85,4685005582.6,日涨幅偏离值达到7%的前五只证券,0.12
12,20200401,300273.SZ,和佳股份,6.78,10.0649,24.04,897945134.0,69255488.68,74180368.28,143435856.96,4924879.6,0.55,15.97,3938204981.76,日涨幅偏离值达到7%的前五只证券,0.07
13,20200401,603335.SH,迪生力,4.47,10.0985,10.01,89987992.0,24259271.31,25165792.88,49425064.19,906521.57,1.01,54.92,909084462.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.04
14,20200401,603536.SH,惠发食品,15.03,10.0293,41.74,449125447.0,40364684.32,41967376.24,82332060.56,1602691.92,0.36,18.33,905618627.01,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.04
15,20200401,600855.SH,航天长峰,20.25,9.9946,23.54,4345759091.0,189197777.22,194701750.44,383899527.66,5503973.22,0.13,8.83,6903865487.25,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.03
16,20200401,600653.SH,申华控股,2.07,10.1064,2.56,102546610.0,13914126.0,13925071.4,27839197.4,10945.4,0.01,27.15,4029007256.19,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.0
