code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
000586,汇源通信,0.495,-29.077,2.17,0.014,10.082,,
002860,星帅尔,4.232,-28.226,3.693,0.153,33.632,,
002175,东方网络,2.251,-27.344,3.26,0.022,5.465,★,
300677,英科医疗,5.298,-27.018,14.543,0.226,51.1,,
300444,双杰电气,10.984,-25.371,13.723,0.079,15.388,,
300738,奥飞数据,3.834,-23.832,12.827,0.022,60.295,,
300083,劲胜智能,1.254,-22.802,2.43,0.04,5.63,★,
600306,商业城,3.281,-22.068,0.993,0.015,8.512,★,
300731,科创新源,6.192,-21.943,11.603,0.02,31.415,★,
002877,智能自控,6.869,-21.894,35.823,0.065,19.842,,
002738,中矿资源,0.224,-21.695,3.317,0.047,22.053,,
002027,分众传媒,7.148,-21.436,2.393,0.033,11.103,,
002365,永安药业,11.611,-21.416,2.693,0.034,24.575,,
300268,佳沃股份,0.636,-21.088,1.64,0.021,14.253,,
002523,天桥起重,0.177,-20.813,0.527,0.012,5.402,,
300575,中旗股份,5.679,-20.624,1.6,0.016,38.595,,
002343,慈文传媒,2.62,-20.311,1.87,0.025,32.935,,
300650,太龙照明,0.767,-19.564,11.71,0.031,36.995,,
002929,润建通信,3.295,-18.869,14.063,0.021,48.942,★,
002264,新 华 都,7.417,-18.834,3.733,0.032,8.888,★,
300542,新晨科技,2.011,-18.735,10.27,0.025,36.498,,
002635,安洁科技,4.488,-18.642,5.71,0.03,16.888,★,
601238,广汽集团,4.869,-18.312,0.153,0.017,18.152,★,
300618,寒锐钴业,6.326,-17.856,3.133,0.037,165.01,,
000509,华塑控股,3.428,-17.647,2.017,0.018,3.308,★,
000151,中成股份,2.435,-17.586,6.343,0.015,15.365,,
300450,先导智能,1.781,-17.555,2.79,0.034,62.828,★,
002246,北化股份,0.911,-17.534,1.76,0.026,9.878,,
300426,唐德影视,3.38,-17.466,1.413,0.016,18.15,★,
002200,云投生态,5.454,-17.43,2.267,0.023,8.632,★,
300696,爱乐达,0.77,-17.343,8.52,0.025,66.245,,
600487,亨通光电,2.405,-17.229,2.653,0.029,32.188,,
600191,华资实业,0.609,-17.141,0.683,0.017,6.62,,
002651,利君股份,4.078,-16.526,2.877,0.028,7.135,,
300265,通光线缆,2.649,-16.48,0.45,0.016,7.02,★,
600272,开开实业,2.657,-16.16,0.927,0.016,9.178,★,
600135,乐凯胶片,0.439,-15.837,1.15,0.014,9.215,,
601116,三江购物,7.687,-15.717,1.96,0.025,18.88,★,
300025,华星创业,12.773,-15.701,4.59,0.039,5.012,,
600088,中视传媒,2.837,-15.57,0.693,0.019,13.298,★,
300226,上海钢联,0.017,-15.532,1.877,0.023,67.46,,
002861,瀛通通讯,3.825,-15.498,2.387,0.017,23.955,★,
300099,精准信息,4.992,-15.313,1.607,0.019,6.055,★,
300301,长方集团,2.709,-15.277,0.32,0.007,5.305,★,
002733,雄韬股份,1.24,-15.257,0.507,0.011,12.36,★,
300730,科创信息,0.889,-15.232,31.76,0.044,45.038,,
000755,*ST三维,6.797,-15.22,0.887,0.039,5.373,,
002240,威华股份,1.477,-15.193,0.477,0.015,14.532,,
600250,南纺股份,1.135,-15.18,0.313,0.01,8.072,★,
002110,三钢闽光,5.381,-15.062,1.393,0.016,17.91,★,
300549,优德精密,3.543,-15.006,4.443,0.04,18.643,,
300740,御家汇,5.895,-14.919,12.007,0.191,46.462,,
300691,联合光电,1.044,-14.859,2.793,0.017,61.352,★,
300593,新雷能,2.862,-14.831,2.457,0.021,21.58,,
002837,英维克,1.291,-14.778,3.567,0.021,19.068,,
000985,大庆华科,0.675,-14.612,0.95,0.017,16.335,★,
300711,广哈通信,2.025,-14.574,11.253,0.024,24.63,,
300702,天宇股份,0.977,-14.543,3.94,0.025,36.762,,
002629,仁智股份,2.137,-14.456,1.243,0.016,5.722,★,
300687,赛意信息,2.37,-14.398,8.967,0.028,54.425,,
002285,世联行,5.492,-14.348,3.29,0.036,8.332,,
600622,光大嘉宝,3.099,-14.333,0.81,0.022,11.79,,
300710,万隆光电,1.978,-14.175,7.523,0.024,35.448,,
600260,凯乐科技,10.09,-13.97,1.16,0.024,30.185,,
600767,ST运盛,0.181,-13.931,0.573,0.007,5.797,★,
002205,国统股份,0.354,-13.898,0.477,0.013,14.843,,
002826,易明医药,2.221,-13.795,1.55,0.019,16.155,★,
002831,裕同科技,0.191,-13.76,0.977,0.008,46.207,★,
300733,西菱动力,0.962,-13.667,7.043,0.024,23.388,,
002611,东方精工,0.184,-13.662,1.117,0.027,11.378,,
300234,开尔新材,8.095,-13.651,2.923,0.029,8.16,,
000935,四川双马,12.888,-13.58,1.983,0.02,20.015,,
600995,文山电力,5.629,-13.519,1.197,0.019,7.822,,
300230,永利股份,1.097,-13.461,2.067,0.019,11.19,,
000032,深桑达Ａ,3.172,-13.418,1.31,0.025,9.085,★,
002428,云南锗业,0.002,-13.396,1.293,0.016,11.47,,
000430,张家界,0.133,-13.384,0.313,0.01,7.63,★,
002921,联诚精密,2.136,-13.38,8.213,0.02,31.605,,
002184,海得控制,1.118,-13.369,8.013,0.024,15.645,,
300552,万集科技,3.462,-13.307,3.18,0.021,25.127,,
002396,星网锐捷,6.454,-13.201,2.21,0.017,21.582,★,
000929,兰州黄河,1.421,-13.17,0.92,0.01,7.825,★,
600838,上海九百,0.238,-13.151,1.023,0.014,8.332,★,
600983,惠而浦,1.885,-13.136,0.43,0.01,5.418,★,
600366,宁波韵升,0.774,-13.11,0.463,0.011,14.39,,
002723,金莱特,5.184,-13.001,0.58,0.02,16.138,,
000532,华金资本,0.081,-12.977,2.563,0.022,12.58,,
300313,天山生物,0.115,-12.948,0.58,0.014,9.012,★,
