,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
1025,002565.SZ,顺灏股份,造纸,7.0,7.0,10.006,10.0407,555402.777
2311,600218.SH,全柴动力,农用机械,5.0,5.0,9.96,9.966,358061.105
2060,300684.SZ,中石科技,化工原料,3.0,6.0,5.954,9.9876,216787.4454
3141,603017.SH,中衡设计,建筑施工,3.0,5.0,7.418,9.9866,442949.9937
473,002011.SZ,盾安环境,工程机械,3.0,3.0,10.001,10.0,490358.3617
1482,300096.SZ,易联众,软件服务,2.0,7.0,5.84,10.0329,503786.5417
541,002079.SZ,苏州固锝,半导体,2.0,3.0,6.719,9.965,456909.4356
1928,300547.SZ,川环科技,橡胶,2.0,3.0,7.121,9.9946,126724.8929
2276,600178.SH,东安动力,汽车配件,2.0,2.0,10.014,9.9415,260613.12
1718,300333.SZ,兆日科技,元器件,2.0,2.0,10.048,10.0386,282915.2823
2838,600841.SH,上柴股份,机械基件,2.0,3.0,7.857,9.9875,459787.3189
305,000785.SZ,武汉中商,百货,2.0,7.0,3.467,10.0135,204139.1765
1717,300332.SZ,天壕环境,环境保护,1.0,2.0,6.419,10.1064,293941.7123
2728,600721.SH,百花村,生物制药,1.0,2.0,6.393,9.9448,182176.7547
2289,600192.SH,长城电工,电气设备,1.0,3.0,7.006,10.0,262398.312
3288,603321.SH,梅轮电梯,运输设备,1.0,2.0,6.552,10.0424,90325.8
2099,300725.SZ,药石科技,化工原料,1.0,3.0,4.195,9.9965,417129.7721
3387,603603.SH,博天环境,环境保护,1.0,1.0,10.0,10.0,408134.5661
1774,300391.SZ,康跃科技,机械基件,1.0,6.0,5.314,10.0316,138408.1749
2454,600386.SH,北巴传媒,公共交通,1.0,1.0,10.0,10.0,310464.0
147,000558.SZ,莱茵体育,文教休闲,1.0,3.0,4.538,9.9678,440603.0388
1675,300290.SZ,荣科科技,软件服务,1.0,1.0,10.076,10.0763,231251.5955
208,000637.SZ,茂化实华,石油加工,1.0,3.0,4.859,9.9291,170420.1597
1285,002836.SZ,新宏泽,广告包装,1.0,3.0,4.247,9.9746,73334.768
1255,002803.SZ,吉宏股份,广告包装,1.0,2.0,5.074,10.007,121812.8567
1239,002786.SZ,银宝山新,专用机械,1.0,5.0,4.464,10.0125,335109.96
1190,002733.SZ,雄韬股份,电气设备,1.0,1.0,10.0,10.0,694726.9067
920,002459.SZ,天业通联,工程机械,1.0,6.0,6.731,10.0176,484505.1637
848,002387.SZ,维信诺,元器件,1.0,2.0,5.599,10.0,392088.8137
798,002337.SZ,赛象科技,化工机械,1.0,1.0,9.946,9.9462,240325.5121
474,002012.SZ,凯恩股份,造纸,1.0,1.0,9.977,9.9768,221346.2661
458,001696.SZ,宗申动力,摩托车,1.0,3.0,5.24,9.9796,481241.925
454,000996.SZ,中国中期,汽车服务,1.0,2.0,5.544,10.0106,356385.0
398,000920.SZ,南方汇通,环境保护,1.0,1.0,9.932,9.9315,270855.1937
348,000839.SZ,中信国安,综合类,1.0,1.0,9.938,9.9379,1387328.5495
3393,603611.SH,诺力股份,运输设备,1.0,2.0,5.332,9.9926,336324.7454
