,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688356.SH,688356,键凯科技,化学制药,136.84,232.297,23.0,18.67,,0.0
1,605333.SH,605333,沪光股份,汽车配件,13.52,10.0081,10.0,5.42,,0.0
2,603931.SH,603931,格林达,化工原料,49.6,10.0022,9.0,12.63,,0.0
3,300313.SZ,300313,天山生物,农业综合,13.4,19.9642,9.0,24.68,,0.0
4,605008.SH,605008,长鸿高科,塑料,20.21,10.0163,7.0,9.3,,0.0
5,605255.SH,605255,N天普,汽车配件,20.05,9.9835,5.0,6.72,,0.0
6,605123.SH,605123,N派克,钢加工,48.05,10.0046,5.0,12.97,,0.0
7,300106.SZ,300106,西部牧业,农业综合,13.45,19.9822,5.0,28.42,"中海信托股份有限公司-中海-浦江之星177号集合资金信托
中海信托股份有限公司-中海-浦江之星165号集合资金信托",2.0
8,300152.SZ,300152,科融环境,环境保护,4.34,19.8895,4.0,30.92,北京龙杉伟业资本投资有限公司-龙杉稳健成长私募证券投资基金,1.0
9,600823.SH,600823,世茂股份,全国地产,6.73,9.9673,4.0,252.45,"中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
香港中央结算有限公司(陆股通)
广发基金-农业银行-广发中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
南方基金-农业银行-南方中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划",13.0
10,300461.SZ,300461,田中精机,专用机械,25.7,12.3252,3.0,17.96,"上海逐熹投资管理有限公司-逐熹3号私募投资基金
上海逐熹投资管理有限公司-逐熹2号证券投资基金
上海逐熹投资管理有限公司-逐熹5号私募投资基金",3.0
11,300172.SZ,300172,中电环保,环境保护,7.02,20.0,2.0,26.4,中央汇金资产管理有限责任公司,1.0
12,000755.SZ,000755,山西路桥,公路,4.72,10.0233,2.0,22.15,珠海中投知本汇资产管理有限公司-珠海中投知本汇1号股票精选基金,1.0
13,300187.SZ,300187,永清环保,环境保护,7.2,20.0,2.0,45.65,中央汇金资产管理有限责任公司,1.0
14,600983.SH,600983,惠而浦,家用电器,6.96,9.9526,2.0,37.08,"中央汇金资产管理有限责任公司
浙江耀康资产管理有限公司-耀康必升1号私募证券投资基金",2.0
15,300337.SZ,300337,银邦股份,铝,4.83,11.0345,1.0,34.21,,0.0
16,300385.SZ,300385,雪浪环境,环境保护,8.66,11.8863,1.0,19.49,"中央汇金资产管理有限责任公司
中信银行股份有限公司-建信中证500指数增强型证券投资基金",2.0
17,002011.SZ,002011,盾安环境,工程机械,4.32,9.9237,1.0,39.48,"北京领瑞投资管理有限公司-领瑞投资定增102号基金
中央汇金资产管理有限责任公司",2.0
18,002066.SZ,002066,瑞泰科技,其他建材,12.23,9.982,1.0,28.25,中央汇金资产管理有限责任公司,1.0
19,002352.SZ,002352,顺丰控股,仓储物流,80.21,9.9973,1.0,3601.42,"兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
中原资产管理有限公司
香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",4.0
20,002617.SZ,002617,露笑科技,电气设备,6.89,10.0639,1.0,79.71,中央汇金资产管理有限责任公司,1.0
21,603980.SH,603980,吉华集团,染料涂料,8.04,9.9863,1.0,56.28,,0.0
22,002672.SZ,002672,东江环保,环境保护,11.72,10.0469,1.0,77.93,"兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
中央汇金资产管理有限责任公司
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金",3.0
23,603877.SH,603877,太平鸟,服饰,24.52,10.0045,1.0,116.89,香港中央结算有限公司(陆股通),1.0
24,603587.SH,603587,地素时尚,服饰,20.45,10.0054,1.0,23.31,"中国工商银行股份有限公司-泓德远见回报混合型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-博时裕隆灵活配置混合型证券投资基金
招商银行股份有限公司-泓德臻远回报灵活配置混合型证券投资基金
招商银行股份有限公司-鹏华稳健回报混合型证券投资基金
招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金",7.0
25,603380.SH,603380,易德龙,元器件,21.22,10.0052,1.0,33.95,永丰金资产管理(亚洲)有限公司-客户资金,1.0
26,601330.SH,601330,绿色动力,环境保护,11.54,10.0095,1.0,29.5,"上海中汇金玖投资有限公司-保利龙马鸿利股权投资基金(天津)合伙企业(有限合伙)
易方达基金-工商银行-易方达基金臻选2号资产管理计划
安徽省江淮成长投资基金中心(有限合伙)",3.0
27,601216.SH,601216,君正集团,化工原料,9.8,9.9888,1.0,826.93,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中信信诚资产-招商银行-诚融聚荷1号资产管理计划",3.0
