,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
2629,600615.SH,丰华股份,小金属,9.0,0.691,6.269,-0.307,0.46,194003.7413
2010,300635.SZ,达安股份,建筑施工,8.0,7.792,81.309,-3.411,7.51,92030.3895
2879,600891.SH,秋林集团,百货,7.0,1.082,7.742,0.162,0.41,256548.7741
3405,603663.SH,三祥新材,矿物制品,7.0,1.929,14.212,-2.345,1.56,86357.744
1471,300087.SZ,荃银高科,种植业,7.0,1.996,14.566,0.103,1.27,390355.068
1299,002850.SZ,科达利,机械基件,7.0,2.226,16.458,-7.143,1.98,181430.0537
1883,300502.SZ,新易盛,通信设备,7.0,1.42,10.227,-6.482,1.07,250021.1569
1234,002779.SZ,中坚科技,农用机械,7.0,0.869,6.148,-3.715,0.32,214236.0
3193,603118.SH,共进股份,通信设备,7.0,1.642,11.658,-4.095,0.57,527498.6658
1994,300619.SZ,金银河,专用机械,7.0,1.851,13.616,-1.316,2.64,94103.6166
2620,600605.SH,汇通能源,商贸代理,6.0,3.455,22.286,-8.473,1.41,157658.7134
166,000586.SZ,汇源通信,通信设备,6.0,7.399,52.887,-5.81,2.89,225357.6
2414,600345.SH,长江通信,通信设备,6.0,1.811,11.231,-6.569,1.5,451044.0
2178,600073.SH,上海梅林,食品,6.0,1.16,7.017,-3.253,0.34,686417.9735
913,002451.SZ,摩恩电气,电气设备,6.0,3.27,20.242,0.812,1.57,497181.2418
2826,600833.SH,第一医药,医药商业,6.0,1.714,10.649,-5.549,0.44,201670.0577
587,002124.SZ,天邦股份,饲料,5.0,2.929,15.182,-8.597,0.42,738827.0167
778,002316.SZ,亚联发展,软件服务,5.0,2.128,10.896,-0.0,0.64,218006.3367
61,000150.SZ,宜华健康,医疗保健,4.0,1.636,6.696,-3.809,0.18,853198.2423
1542,300158.SZ,振东制药,中成药,4.0,2.273,9.341,-2.674,0.13,338550.453
1507,300123.SZ,亚光科技,船舶,4.0,2.693,10.74,-3.121,0.53,285052.2334
1695,300312.SZ,邦讯技术,通信设备,4.0,4.126,16.756,5.966,1.32,160581.915
2094,300722.SZ,新余国科,专用机械,4.0,1.265,5.083,1.965,1.4,63260.0
1781,300400.SZ,劲拓股份,专用机械,4.0,1.337,5.438,0.141,0.6,233291.6831
1924,300545.SZ,联得装备,专用机械,4.0,6.117,26.467,3.406,3.7,97855.0257
2666,600658.SH,电子城,园区开发,4.0,1.606,6.173,3.091,0.39,673388.1971
2139,600021.SH,上海电力,火力发电,4.0,1.284,5.188,0.653,0.41,694091.7264
2285,600193.SH,*ST创兴,装修装饰,4.0,2.786,11.486,-6.918,0.19,140373.09
2390,600316.SH,洪都航空,航空,4.0,1.398,5.589,-2.187,0.11,745081.978
2574,600556.SH,ST慧球,软件服务,4.0,1.729,6.814,-8.424,0.55,247535.6549
1466,300082.SZ,奥克股份,化工原料,4.0,1.304,5.254,-0.696,0.14,405477.9628
3436,603717.SH,天域生态,环境保护,4.0,1.596,6.524,-4.716,0.06,115609.2297
3090,601900.SH,南方传媒,出版业,4.0,1.65,6.726,-4.136,0.14,206843.9105
3058,601700.SH,风范股份,电气设备,4.0,10.083,46.853,-1.379,1.08,475957.44
94,000426.SZ,兴业矿业,铅锌,4.0,2.972,12.338,-6.855,0.22,690506.6085
3406,603665.SH,康隆达,纺织,4.0,2.155,8.87,1.169,1.47,98357.7309
169,000590.SZ,启迪古汉,中成药,4.0,1.319,5.372,-2.024,0.03,170775.7137
3363,603587.SH,地素时尚,服饰,4.0,1.57,6.41,-0.142,0.41,136701.0
265,000719.SZ,中原传媒,出版业,4.0,1.573,6.276,-4.929,0.06,519707.936
469,002006.SZ,精功科技,专用机械,4.0,2.823,11.34,0.207,0.3,245786.4
3247,603258.SH,电魂网络,互联网,4.0,1.926,7.752,3.131,0.88,194385.384
946,002484.SZ,江海股份,元器件,4.0,2.419,9.695,1.828,0.46,466588.3958
1013,002552.SZ,*ST宝鼎,机械基件,4.0,3.443,14.468,-0.634,0.52,107680.1319
1021,002560.SZ,通达股份,电气设备,4.0,3.574,14.493,-2.621,0.54,149634.0442
1383,002941.SZ,新疆交建,建筑施工,4.0,1.914,7.465,6.481,1.57,146900.0
1067,002606.SZ,大连电瓷,电气设备,4.0,1.605,6.359,-0.475,0.52,270187.3133
