,ts_code,symbol,name,industry,COL_LIMIT_PERIOD,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600975.SH,600975,新五丰,农业综合,15.0,10.0,11.22
1,002622.SZ,002622,融钰集团,电气设备,15.0,9.9783,5.07
2,600155.SH,600155,华创阳安,证券,15.0,9.9913,12.66
3,000590.SZ,000590,启迪古汉,中成药,15.0,10.0319,17.22
4,600928.SH,600928,西安银行,银行,15.0,10.0187,11.75
5,601519.SH,601519,大智慧,软件服务,14.0,9.9785,10.25
6,603888.SH,603888,新华网,互联网,14.0,10.0225,24.48
7,300033.SZ,300033,同花顺,软件服务,14.0,10.0033,99.85
8,600866.SH,600866,星湖科技,食品,14.0,10.0616,5.36
9,002565.SZ,002565,顺灏股份,造纸,13.0,9.9881,18.5
10,002830.SZ,002830,名雕股份,装修装饰,11.0,9.9749,17.53
11,300759.SZ,300759,康龙化成,化学制药,11.0,10.0,42.13
12,603383.SH,603383,顶点软件,软件服务,10.0,10.0,92.07
13,300663.SZ,300663,科蓝软件,软件服务,10.0,9.9971,38.07
14,600072.SH,600072,中船科技,船舶,10.0,9.9927,14.97
15,000066.SZ,000066,中国长城,电脑设备,10.0,9.9896,10.57
16,600446.SH,600446,金证股份,软件服务,10.0,10.0139,23.73
17,002274.SZ,002274,华昌化工,农药化肥,9.0,10.0418,10.52
18,600621.SH,600621,华鑫股份,证券,9.0,10.0348,15.79
19,000723.SZ,000723,美锦能源,焦炭加工,9.0,10.0119,9.23
20,600146.SH,600146,商赢环球,服饰,8.0,9.9919,13.65
21,300414.SZ,300414,中光防雷,元器件,7.0,10.0078,28.36
22,600695.SH,600695,绿庭投资,多元金融,6.0,9.1691,7.62
23,000615.SZ,000615,京汉股份,全国地产,6.0,9.9715,7.72
24,603666.SH,603666,亿嘉和,专用机械,6.0,7.0784,67.62
25,300527.SZ,300527,中国应急,专用机械,5.0,9.9653,12.69
26,002265.SZ,002265,西仪股份,汽车配件,5.0,9.9854,15.09
27,300065.SZ,300065,海兰信,软件服务,5.0,10.0186,17.79
28,600671.SH,600671,天目药业,中成药,5.0,10.013,25.38
29,300220.SZ,300220,金运激光,元器件,4.0,8.1919,25.49
30,000503.SZ,000503,国新健康,医疗保健,3.0,9.9961,27.95
31,002532.SZ,002532,新界泵业,农用机械,3.0,9.9455,8.07
32,300267.SZ,300267,尔康制药,化学制药,3.0,10.0952,5.78
33,601678.SH,601678,滨化股份,化工原料,3.0,9.9518,6.85
34,300334.SZ,300334,津膜科技,专用机械,2.0,7.909,9.96
35,000638.SZ,000638,万方发展,批发业,2.0,10.0145,7.58
36,300411.SZ,300411,金盾股份,专用机械,2.0,9.9613,11.37
37,002761.SZ,002761,多喜爱,纺织,2.0,9.9834,19.83
38,603110.SH,603110,东方材料,染料涂料,2.0,10.0266,16.57
39,300709.SZ,300709,精研科技,元器件,2.0,9.3789,44.2
40,300099.SZ,300099,精准信息,电器仪表,2.0,10.066,6.67
41,300110.SZ,300110,华仁药业,化学制药,2.0,10.1053,5.23
42,002177.SZ,002177,御银股份,电脑设备,2.0,10.0592,5.58
43,000927.SZ,000927,一汽夏利,汽车整车,2.0,10.1205,4.57
44,300475.SZ,300475,聚隆科技,专用机械,1.0,10.0,11.77
45,300529.SZ,300529,健帆生物,医疗保健,1.0,7.0532,62.23
46,300601.SZ,300601,康泰生物,生物制药,1.0,9.0804,56.7
47,603106.SH,603106,恒银金融,电脑设备,1.0,7.2317,13.79
48,600716.SH,600716,凤凰股份,区域地产,1.0,9.9593,5.41
49,300465.SZ,300465,高伟达,软件服务,1.0,10.0,9.35
50,603717.SH,603717,天域生态,环境保护,1.0,8.3259,12.1
51,300397.SZ,300397,天和防务,通信设备,1.0,10.0231,23.82
52,000031.SZ,000031,大悦城,全国地产,1.0,10.0671,6.56
53,300290.SZ,300290,荣科科技,软件服务,1.0,7.1429,10.5
54,603869.SH,603869,新智认知,软件服务,1.0,10.0,22.22
55,300226.SZ,300226,上海钢联,互联网,1.0,7.7249,83.95
56,300406.SZ,300406,九强生物,生物制药,1.0,9.98,16.53
57,600061.SH,600061,国投资本,证券,1.0,9.9924,14.53
58,601990.SH,601990,南京证券,证券,1.0,10.0,14.74
59,600383.SH,600383,金地集团,全国地产,1.0,7.59,13.75
60,600837.SH,600837,海通证券,证券,1.0,10.0392,14.03
61,600855.SH,600855,航天长峰,专用机械,1.0,9.9747,17.42
62,600864.SH,600864,哈投股份,证券,1.0,9.6369,7.85
63,601066.SH,601066,中信建投,证券,1.0,9.9871,25.55
64,600546.SH,600546,山煤国际,煤炭开采,1.0,10.0775,4.26
65,600532.SH,600532,宏达矿业,普钢,1.0,10.058,5.69
66,300197.SZ,300197,铁汉生态,环境保护,1.0,9.9034,4.55
67,600390.SH,600390,五矿资本,多元金融,1.0,7.1958,10.13
68,600376.SH,600376,首开股份,区域地产,1.0,7.545,9.55
69,600682.SH,600682,南京新百,百货,1.0,8.1154,16.12
70,600316.SH,600316,洪都航空,航空,1.0,7.838,16.51
71,600197.SH,600197,伊力特,白酒,1.0,10.0,21.45
72,600163.SH,600163,中闽能源,新型电力,1.0,9.901,4.44
73,601108.SH,601108,财通证券,证券,1.0,10.0083,13.19
74,601555.SH,601555,东吴证券,证券,1.0,10.0,10.12
75,600115.SH,600115,东方航空,空运,1.0,9.9842,6.94
76,600077.SH,600077,宋都股份,全国地产,1.0,10.089,3.71
77,601881.SH,601881,中国银河,证券,1.0,10.0465,11.83
78,000004.SZ,000004,国农科技,生物制药,1.0,10.0,21.67
79,603969.SH,603969,银龙股份,其他建材,1.0,10.0173,6.37
80,002049.SZ,002049,紫光国微,元器件,1.0,9.9902,45.03
81,002657.SZ,002657,中科金财,软件服务,1.0,9.1986,19.35
82,002783.SZ,002783,凯龙股份,化工原料,1.0,7.3695,10.49
83,002760.SZ,002760,凤形股份,机械基件,1.0,10.0059,18.69
84,300194.SZ,300194,福安药业,化学制药,1.0,10.1333,4.13
85,000958.SZ,000958,东方能源,火力发电,1.0,10.0,5.39
86,002668.SZ,002668,奥马电器,家用电器,1.0,10.0813,6.77
87,002663.SZ,002663,普邦股份,建筑施工,1.0,10.0592,3.72
88,002071.SZ,002071,长城影视,影视音像,1.0,10.0193,5.71
89,002418.SZ,002418,康盛股份,机械基件,1.0,9.9352,5.09
90,002607.SZ,002607,中公教育,文教休闲,1.0,8.4175,12.88
91,002572.SZ,002572,索菲亚,家居用品,1.0,9.9914,25.65
92,000759.SZ,000759,中百集团,超市连锁,1.0,10.0152,7.25
93,002500.SZ,002500,山西证券,证券,1.0,9.9771,9.59
94,002322.SZ,002322,理工环科,软件服务,1.0,7.086,14.81
95,002368.SZ,002368,太极股份,软件服务,1.0,10.0029,37.39
96,002205.SZ,002205,国统股份,其他建材,1.0,10.03,18.32
