,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_NO_LIMIT,COL_FLOAT_HOLDERS
0,000861.SZ,000861,海印股份,房产服务,3.2,True,True,True,香港中央结算有限公司(陆股通)
1,600811.SH,600811,东方集团,综合类,4.06,True,True,True,"昆仑信托有限责任公司-昆仑信托·东方集团定增一号集合资金信托计划
深圳市大华信安资产管理企业(有限合伙)-大华承运私募证券投资基金
中央汇金资产管理有限责任公司
中融金谷投资(北京)有限公司-中融金谷价值精选二号私募证券投资基金"
2,002420.SZ,002420,*ST毅昌,塑料,4.23,True,False,True,
3,600239.SH,600239,云南城投,区域地产,4.44,True,True,True,
4,002283.SZ,002283,天润工业,汽车配件,4.55,True,True,True,
5,600209.SH,600209,ST罗顿,综合类,4.81,True,False,True,
6,600676.SH,600676,交运股份,公共交通,5.4,True,True,True,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
7,000731.SZ,000731,四川美丰,农药化肥,5.46,True,False,True,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
8,002406.SZ,002406,远东传动,汽车配件,6.62,True,False,True,
9,000426.SZ,000426,兴业矿业,铅锌,7.25,True,False,True,"北信瑞丰基金-民生银行-四川信托-辰星2号证券投资集合资金信托计划
上海中汇金锐投资管理有限公司-中汇金锐定增2期私募投资基金"
10,300095.SZ,300095,华伍股份,机械基件,8.12,True,True,True,华宝信托有限责任公司-大地32号单一资金信托
11,600655.SH,600655,豫园股份,百货,9.12,True,True,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
12,002381.SZ,002381,双箭股份,橡胶,9.46,True,True,True,"泰达宏利基金-民生银行-国民信托-国民信托·证通1号单一资金信托
中国国际金融香港资产管理有限公司-客户资金"
13,002066.SZ,002066,瑞泰科技,其他建材,9.47,True,True,True,中央汇金资产管理有限责任公司
14,600966.SH,600966,博汇纸业,造纸,9.69,True,True,True,"中国建设银行股份有限公司-鹏华价值优势混合型证券投资基金(LOF)
上海彤源投资发展有限公司-彤源同祥私募证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
平安资产-工商银行-平安资产如意28号保险资产管理产品
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
招商银行股份有限公司-汇添富中盘积极成长混合型证券投资基金"
15,002238.SZ,002238,天威视讯,影视音像,10.26,True,False,True,中国建设银行股份有限公司-华夏收入混合型证券投资基金
16,002616.SZ,002616,长青集团,环境保护,10.9,True,True,True,"招商银行股份有限公司-景顺长城品质成长混合型证券投资基金
中国银行-景顺长城动力平衡证券投资基金"
17,603917.SH,603917,合力科技,汽车配件,11.1,True,False,True,
