,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_NO_LIMIT,COL_FLOAT_HOLDERS
0,000861.SZ,000861,海印股份,房产服务,3.21,True,False,True,香港中央结算有限公司(陆股通)
1,600657.SH,600657,信达地产,全国地产,4.09,True,False,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
2,600209.SH,600209,ST罗顿,综合类,4.84,True,False,True,
3,002487.SZ,002487,大金重工,钢加工,5.79,True,False,True,"中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
全国社保基金一一八组合
中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金"
4,000880.SZ,000880,潍柴重机,机械基件,8.06,True,False,True,北京神州牧投资基金管理有限公司-红炎神州牧基金
5,600246.SH,600246,万通地产,区域地产,8.79,True,False,True,"西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金
上海富诚海富通资产-宁波银行-富诚海富通福瑞通达1号专项资产管理计划
华宝信托有限责任公司-华宝信托-万通地产员工持股一期集合资金信托"
6,300374.SZ,300374,恒通科技,其他建材,10.68,True,False,True,"诸城晨光景泰股权投资基金有限公司
中央汇金资产管理有限责任公司"
7,002106.SZ,002106,莱宝高科,元器件,12.11,True,False,True,"中国国际金融香港资产管理有限公司-客户资金
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金"
8,300138.SZ,300138,晨光生物,食品,12.14,True,False,True,北京银网信联投资管理有限公司-银网信联6号私募证券投资基金
9,000096.SZ,000096,广聚能源,石油贸易,12.43,True,False,True,香港中央结算有限公司(陆股通)
10,002493.SZ,002493,荣盛石化,化纤,12.83,True,False,True,"汇安基金-浙商银行-汇安基金-湖畔1号资产管理计划
财通基金-建设银行-财通基金-海港1号资产管理计划
浙江浙商产融资产管理有限公司
香港中央结算有限公司(陆股通)
杭州华弘国泰投资管理有限公司-华弘国泰3号股权私募基金
金鹰基金-浙商银行-金鹰穗通定增515号资产管理计划"
11,603108.SH,603108,润达医疗,医药商业,13.08,True,False,True,"香港中央结算有限公司(陆股通)
西藏博恩资产管理有限公司-博恩添富7号私募证券投资基金"
12,600416.SH,600416,*ST湘电,电气设备,13.27,True,False,True,"兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
全国社保基金五零三组合
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
中央汇金资产管理有限责任公司
深圳市和沣资产管理有限公司-和沣远景私募证券投资基金"
13,600380.SH,600380,健康元,化学制药,15.42,True,False,True,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
基本养老保险基金一六零一一组合
全国社保基金一零八组合
博时基金管理有限公司-社保基金四一九组合
全国社保基金五零二组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一零八组合
全国社保基金五零二组合
博时基金管理有限公司-社保基金四一九组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实医疗保健股票型证券投资基金
基本养老保险基金一六零一一组合"
14,600233.SH,600233,圆通速递,仓储物流,15.86,True,False,True,
15,002039.SZ,002039,黔源电力,水力发电,15.99,True,False,True,"全国社保基金六零四组合
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金"
16,300720.SZ,300720,海川智能,电器仪表,16.08,True,False,True,
17,002332.SZ,002332,仙琚制药,生物制药,17.01,True,False,True,"中央汇金资产管理有限责任公司
国泰基金管理有限公司-社保基金四二一组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合润分级混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
齐鲁证券资管-民生银行-齐鲁民生2号集合资产管理计划
全国社保基金六零二组合"
