,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,300780.SZ,300780,德恩精工,机械基件,5.0,26.87,,9.85亿
1,300615.SZ,300615,欣天科技,元器件,5.0,31.09,"5G, ",12.16亿
2,600371.SH,600371,万向德农,种植业,3.0,15.43,"转基因, 乡村振兴, 万达系, 农业种植, 独角兽, 蚂蚁金服概念股, ",34.73亿
3,603701.SH,603701,德宏股份,汽车配件,3.0,16.02,"汽车零部件, 稀土磁材, ",32.07亿
4,300127.SZ,300127,银河磁体,元器件,3.0,19.82,"特斯拉, 稀土磁材, ",45.01亿
5,002885.SZ,002885,京泉华,元器件,3.0,19.95,"5G, OLED, 华为产业链, 小米概念股, 无线充电, 新能源汽车, 高送转, 充电桩, ",13.5亿
6,600359.SH,600359,新农开发,农业综合,3.0,7.89,"棉花, 食品, 新疆, 农垦, 乳业（奶粉）, 土地流转, 新疆国企改革, 农业种植, 资产重组, ",30.1亿
7,300713.SZ,300713,英可瑞,电气设备,2.0,22.76,"新能源汽车, 高送转, 国资入股, 充电桩, ",9.74亿
8,002057.SZ,002057,中钢天源,元器件,2.0,15.88,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 燃料电池, 新能源汽车, 高送转, ",50.76亿
9,300209.SZ,300209,天泽信息,软件服务,2.0,14.17,"5G, 社保重仓, 破净股, 物联网, 无人驾驶, 高质押率, 国产软件, 资产重组, ",37.37亿
10,600531.SH,600531,豫光金铅,铅锌,2.0,5.61,"有色金属, 黄金, ",61.16亿
11,603169.SH,603169,兰石重装,专用机械,2.0,6.34,"一带一路, 核电, 定增破发, ",66.17亿
12,300707.SZ,300707,威唐工业,专用机械,1.0,14.92,"特斯拉, 回购, 汽车零部件, 工业自动化, 智能制造, ",11.52亿
13,300711.SZ,300711,广哈通信,通信设备,1.0,21.56,"5G, 军工, 军民融合, ",9.75亿
14,300603.SZ,300603,立昂技术,通信设备,1.0,32.07,"高送转-预期, 物联网, 新疆, 云计算, 高送转, 人工智能, 智慧城市, 智慧安防, 资产重组, 独角兽, 人脸识别, ",15.48亿
15,300726.SZ,300726,宏达电子,元器件,1.0,22.57,"5G, 被动元件, 华为产业链, 军工, 军民融合, 半导体, ",24.48亿
16,300739.SZ,300739,明阳电路,元器件,1.0,18.92,"PCB板, 高送转-填权, 人民币贬值受益, ",13.11亿
17,300779.SZ,300779,惠城环保,环境保护,1.0,45.43,,11.36亿
18,300781.SZ,300781,因赛集团,广告包装,1.0,26.18,,5.53亿
19,600127.SH,600127,金健米业,农业综合,1.0,5.24,"乡村振兴, 食品, 湖南国企改革, 乳业（奶粉）, 强势人气股, 人造肉, ",33.63亿
20,300602.SZ,300602,飞荣达,元器件,1.0,25.41,"5G, 华为产业链, 高送转-填权, 无线充电, ",24.12亿
21,000037.SZ,000037,深南电A,火力发电,1.0,10.34,"火电, 电改, ",35.04亿
22,600363.SH,600363,联创光电,元器件,1.0,10.64,"新能源汽车, 国产芯片, LED, 充电桩, ",47.19亿
23,603110.SH,603110,东方材料,染料涂料,1.0,15.76,"回购, 石墨烯, ",8.56亿
24,603803.SH,603803,瑞斯康达,通信设备,1.0,13.02,"5G, 光通信, 物联网, 工业互联网, ",28.62亿
25,603787.SH,603787,新日股份,摩托车,1.0,13.09,"共享经济, ",9.28亿
26,603738.SH,603738,泰晶科技,元器件,1.0,16.8,"被动元件, 华为产业链, ",9.87亿
27,603389.SH,603389,亚振家居,家居用品,1.0,8.14,"家具家居, 资产重组, ",6.15亿
28,603358.SH,603358,华达科技,汽车配件,1.0,12.12,"汽车零部件, 工业自动化, 智能制造, ",16.69亿
29,603317.SH,603317,天味食品,食品,1.0,40.72,"次新股, 调味品, 食品, ",16.83亿
30,603085.SH,603085,天成自控,汽车配件,1.0,12.43,"二胎, 汽车零部件, 工业自动化, 智能制造, ",18.33亿
31,600366.SH,600366,宁波韵升,电器仪表,1.0,9.37,"特斯拉, 回购, 稀土磁材, 苹果产业链, 创投, ",92.68亿
32,603042.SH,603042,华脉科技,通信设备,1.0,17.34,"5G, 光通信, ",17.52亿
33,600856.SH,600856,中天能源,供气供热,1.0,2.95,"油气改革, 天然气, 定增破发, 互联网金融, ",39.63亿
34,600844.SH,600844,丹化科技,化工原料,1.0,3.92,"有色-锌, 有色金属, 资产重组, ",
