code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
600146,商赢环球,2.0,-63.392,0.351,-7.373,0.106,
000673,当代东方,7.87,-46.625,0.21,-8.373,0.131,
000504,南华生物,3.11,-36.426,0.148,13.026,0.12,
002547,春兴精工,7.98,-32.149,0.132,16.878,0.122,
600701,*ST工新,7.76,-30.637,0.127,-48.444,0.322,
002359,北讯集团,7.08,-29.535,0.139,-48.685,0.26,
000611,天首发展,3.19,-29.256,0.089,25.884,0.084,
000760,斯太尔,6.54,-28.36,0.093,13.627,0.083,
000038,深大通,1.8,-28.11,0.09,8.258,0.054,
000603,盛达矿业,3.93,-26.269,0.128,-2.666,0.059,
002504,弘高创意,4.15,-25.602,0.148,12.558,0.116,
000669,金鸿控股,6.7,-25.193,0.107,48.771,0.122,
002659,凯文教育,3.11,-24.733,0.091,-20.685,0.087,
000766,通化金马,5.73,-24.023,0.098,-5.517,0.039,
002143,印纪传媒,9.74,-23.702,0.067,11.799,0.123,
000955,欣龙控股,5.38,-22.948,0.067,-5.516,0.076,
002932,明德生物,0.17,-22.608,0.067,-33.448,0.124,
600506,香梨股份,1.48,-22.226,0.074,-2.288,0.089,
000576,广东甘化,4.36,-21.88,0.114,35.438,0.144,
002522,浙江众成,8.48,-21.359,0.111,5.981,0.062,
000953,ST河化,2.94,-21.23,0.101,-5.446,0.116,
002006,精功科技,4.55,-21.202,0.087,-17.452,0.094,
002672,东江环保,6.52,-19.716,0.077,-2.425,0.048,
002580,圣阳股份,2.98,-19.642,0.072,6.96,0.071,
000034,神州数码,3.58,-19.278,0.047,19.175,0.061,
002245,澳洋顺昌,9.14,-18.501,0.094,-7.546,0.078,
000546,金圆股份,6.61,-18.218,0.092,-22.478,0.096,
000526,紫光学大,0.96,-18.076,0.06,-30.222,0.12,
002607,亚夏汽车,7.05,-17.827,0.06,17.91,0.097,
002569,步森股份,1.4,-17.613,0.046,13.063,0.102,
002211,宏达新材,4.32,-17.609,0.066,-1.547,0.073,
002895,川恒股份,0.89,-17.54,0.06,-21.873,0.067,
000019,深深宝Ａ,4.16,-17.233,0.049,-13.097,0.08,
600818,中路股份,2.38,-17.115,0.076,-5.173,0.103,
600119,长江投资,3.07,-16.529,0.079,-1.205,0.111,
000498,山东路桥,4.41,-16.298,0.072,23.07,0.102,
002865,钧达股份,0.38,-15.969,0.08,32.049,0.109,
000503,国新健康,8.99,-15.909,0.096,-4.326,0.152,
600298,安琪酵母,8.24,-15.816,0.076,-14.194,0.106,
600165,新日恒力,6.85,-15.779,0.059,35.182,0.157,
002847,盐津铺子,0.36,-15.777,0.065,-14.132,0.074,
601619,嘉泽新能,5.04,-15.749,0.065,-9.061,0.087,
600281,太化股份,5.14,-15.652,0.043,-7.879,0.051,
002622,融钰集团,8.4,-15.641,0.078,13.426,0.104,
600779,水井坊,4.89,-15.228,0.107,-33.798,0.148,
002716,金贵银业,5.42,-15.204,0.063,-33.815,0.267,
