,ts_code,symbol,name,industry,COL_MAX_CONTINUOUS_LIMIT_COUNT,COL_LAST_IF_LIMIT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000820.SZ,000820,*ST节能,环境保护,7.0,False,14.38,"陕西省国际信托股份有限公司-陕国投·持盈88号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆30号证券投资集合资金信托计划",2.0
1,603157.SH,603157,*ST拉夏,服饰,5.0,False,4.24,,0.0
2,000980.SZ,000980,*ST众泰,汽车配件,4.0,False,74.26,"长城(德阳)长富投资基金合伙企业(有限合伙)
中意资产-招商银行-中意资产-招商银行-定增精选6号资产管理产品
烟台速源股权投资基金合伙企业(有限合伙)",3.0
3,002356.SZ,002356,*ST赫美,其他商业,4.0,False,10.16,,0.0
4,600816.SH,600816,ST安信,多元金融,4.0,False,130.55,"上海方圆达创投资合伙企业(有限合伙)-方圆-东方43号私募投资基金
上海方圆达创投资合伙企业(有限合伙)-方圆-东方8号私募投资基金",2.0
5,002684.SZ,002684,*ST猛狮,电气设备,3.0,False,15.44,"宁波致云股权投资基金管理有限公司
深圳前海易德顺升股权投资基金合伙企业(有限合伙)
深圳前海易德资本优势股权投资基金合伙企业(有限合伙)",3.0
6,600091.SH,600091,*ST明科,化工原料,3.0,False,9.97,,0.0
7,600518.SH,600518,*ST康美,中成药,3.0,False,113.31,"华夏基金-农业银行-华夏中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
五矿国际信托有限公司-五矿信托-优质精选上市公司投资单一资金信托",3.0
8,600615.SH,600615,*ST丰华,小金属,3.0,False,13.25,"重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-鸿睿一号集合资金信托计划",2.0
9,600725.SH,600725,ST云维,焦炭加工,3.0,False,30.44,,0.0
10,601020.SH,601020,ST华钰,铅锌,3.0,False,39.15,"海通证券资管-海通证券股份有限公司-证券行业支持民企发展系列之海通证券资管1号FOF单一资产管理计划
交通银行股份有限公司-前海开源沪港深核心资源灵活配置混合型证券投资基金",2.0
