,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,COL_INDAY_P_CHANGE,circ_mv
1060,002600.SZ,领益智造,元器件,0.0,-20.15,6.46,0.06,961177.6002
1407,300017.SZ,网宿科技,电信运营,0.0,-17.26,14.2,0.02,3076270.125
40,000050.SZ,深天马A,元器件,0.0,-15.76,17.02,0.03,3097397.6505
2243,600131.SH,岷江水电,水力发电,0.0,-15.55,21.28,0.01,867498.2052
1559,300170.SZ,汉得信息,软件服务,0.0,-12.56,17.98,0.02,1258727.4602
1748,300360.SZ,炬华科技,电器仪表,0.0,-12.15,9.77,0.02,324604.3957
1809,300423.SZ,鲁亿通,电气设备,0.0,-11.55,28.7,0.04,312534.2982
3352,603501.SH,韦尔股份,半导体,0.0,-11.48,48.59,0.01,682861.4794
2731,600718.SH,东软集团,软件服务,0.0,-11.25,14.79,0.01,1837465.6663
2654,600633.SH,浙数文化,互联网,0.0,-10.85,10.71,0.01,1381878.0358
2432,600354.SH,敦煌种业,种植业,0.0,-10.65,4.74,0.04,250178.1859
1389,002949.SZ,华阳国际,建筑施工,0.0,-10.12,32.14,0.03,157582.42
2616,600589.SH,广东榕泰,塑料,0.0,-9.45,5.93,0.01,392314.6356
1069,002609.SZ,捷顺科技,软件服务,0.0,-9.35,8.68,0.02,329276.0196
2088,300710.SZ,万隆光电,通信设备,0.0,-9.21,32.78,0.02,109891.672
3255,603220.SH,贝通信,通信设备,0.0,-9.21,34.25,0.02,289207.0
1763,300377.SZ,赢时胜,软件服务,0.0,-8.82,15.11,0.03,774670.2111
1359,002916.SZ,深南电路,元器件,0.0,-8.81,119.8,0.02,984381.4333
1979,300598.SZ,诚迈科技,软件服务,0.0,-8.77,29.78,0.02,144035.2583
2786,600776.SH,东方通信,通信设备,1.0,-8.64,32.61,0.08,3117516.2087
3345,603466.SH,风语筑,文教休闲,0.0,-8.23,19.25,0.01,169400.0
331,000818.SZ,航锦科技,化工原料,0.0,-8.19,13.08,0.05,876880.6089
3163,603032.SH,德新交运,公路,0.0,-8.01,36.82,0.01,288698.256
848,002387.SZ,维信诺,元器件,0.0,-7.89,13.1,0.02,1398833.9152
1600,300212.SZ,易华录,软件服务,0.0,-7.75,27.83,0.01,1179587.1848
1356,002912.SZ,中新赛克,软件服务,0.0,-7.56,117.0,0.01,606294.0
1929,300545.SZ,联得装备,专用机械,0.0,-7.4,32.4,0.03,155929.5101
355,000859.SZ,国风塑业,塑料,0.0,-7.22,7.39,0.06,546351.9227
128,000536.SZ,华映科技,元器件,0.0,-7.14,3.66,0.03,733223.7441
1659,300271.SZ,华宇软件,软件服务,0.0,-7.12,20.73,0.02,1158889.6173
2123,300749.SZ,顶固集创,家居用品,0.0,-7.08,35.46,0.01,101061.0
3247,603197.SH,保隆科技,汽车配件,0.0,-7.08,29.16,0.01,286939.293
207,000636.SZ,风华高科,元器件,0.0,-7.02,15.38,0.01,1376822.3847
1990,300609.SZ,汇纳科技,互联网,0.0,-6.93,41.5,0.01,226748.115
3401,603609.SH,禾丰牧业,饲料,0.0,-6.82,11.6,0.02,964164.704
574,002112.SZ,三变科技,电气设备,0.0,-6.74,8.37,0.01,153842.7436
474,002012.SZ,凯恩股份,造纸,0.0,-6.57,5.15,0.01,240492.2512
1382,002941.SZ,新疆交建,建筑施工,0.0,-6.57,34.4,0.05,223600.0
578,002116.SZ,中国海诚,建筑施工,0.0,-6.41,9.7,0.01,402759.4764
1231,002777.SZ,久远银海,软件服务,0.0,-6.38,37.0,0.03,592000.0
383,000901.SZ,航天科技,航空,0.0,-6.37,14.84,0.02,841437.4086
402,000925.SZ,众合科技,专用机械,0.0,-6.13,8.48,0.04,387952.2349
1317,002870.SZ,香山股份,电器仪表,0.0,-6.11,23.59,0.01,94643.08
2058,300679.SZ,电连技术,元器件,0.0,-5.97,35.02,0.01,353768.8777
802,002341.SZ,新纶科技,化工原料,0.0,-5.88,11.64,0.02,727752.3156
1005,002545.SZ,东方铁塔,钢加工,0.0,-5.82,7.76,0.01,598416.689
2743,600730.SH,中国高科,综合类,0.0,-5.78,6.53,0.03,383086.3693
2583,600552.SH,凯盛科技,玻璃,0.0,-5.77,5.99,0.03,457566.5178
53,000070.SZ,特发信息,通信设备,0.0,-5.73,15.1,0.03,906463.0098
1715,300327.SZ,中颖电子,半导体,0.0,-5.67,25.28,0.03,579677.6857
794,002333.SZ,罗普斯金,铝,0.0,-5.63,7.61,0.01,369061.9569
2401,600316.SH,洪都航空,航空,0.0,-5.61,14.52,0.02,1041250.2714
3429,603666.SH,亿嘉和,专用机械,0.0,-5.6,60.56,0.03,148744.2018
1523,300134.SZ,大富科技,通信设备,0.0,-5.47,16.98,0.07,1209683.2272
1369,002927.SZ,泰永长征,电气设备,0.0,-5.37,36.93,0.02,189731.568
3399,603607.SH,京华激光,造纸,0.0,-5.33,20.79,0.01,101277.1212
2018,300638.SZ,广和通,通信设备,0.0,-5.32,58.27,0.02,232497.3
1449,300059.SZ,东方财富,证券,0.0,-5.32,19.41,0.01,8061971.5863
1728,300340.SZ,科恒股份,元器件,0.0,-5.31,22.64,0.03,346504.8083
845,002384.SZ,东山精密,通信设备,0.0,-5.27,16.48,0.02,1916647.4461
2110,300735.SZ,光弘科技,通信设备,0.0,-5.15,25.66,0.03,280096.862
2570,600536.SH,中国软件,软件服务,0.0,-5.11,50.39,0.05,2492101.8585
1103,002643.SZ,万润股份,化工原料,0.0,-4.97,11.36,0.01,1013458.6122
231,000677.SZ,恒天海龙,化纤,0.0,-4.89,3.38,0.02,292024.5464
1513,300124.SZ,汇川技术,电器仪表,0.0,-4.75,26.37,0.01,3572984.931
1547,300158.SZ,振东制药,中成药,0.0,-4.69,5.47,0.01,465294.2156
497,002035.SZ,华帝股份,家用电器,0.0,-4.67,11.5,0.01,900305.7026
2203,600088.SH,中视传媒,影视音像,0.0,-4.66,16.69,0.07,663771.9816
1829,300443.SZ,金雷股份,专用机械,0.0,-4.65,16.95,0.02,270269.7552
498,002036.SZ,联创电子,元器件,0.0,-4.62,13.3,0.02,525409.0121
924,002463.SZ,沪电股份,元器件,0.0,-4.6,11.29,0.03,1889612.9823
1244,002791.SZ,坚朗五金,其他建材,0.0,-4.59,12.9,0.01,103696.65
2567,600532.SH,宏达矿业,普钢,0.0,-4.58,5.4,0.01,278675.4888
1778,300392.SZ,腾信股份,互联网,0.0,-4.57,9.44,0.04,244103.1497
1522,300133.SZ,华策影视,影视音像,0.0,-4.57,8.4,0.01,1161182.1396
1969,300587.SZ,天铁股份,橡胶,0.0,-4.54,23.4,0.02,98663.4698
2121,300747.SZ,锐科激光,元器件,0.0,-4.54,174.75,0.01,559200.0
742,002281.SZ,光迅科技,通信设备,1.0,-4.41,33.9,0.06,2130824.3393
1781,300395.SZ,菲利华,玻璃,0.0,-4.36,19.36,0.04,520971.2519
1847,300461.SZ,田中精机,专用机械,0.0,-4.36,24.4,0.01,226978.56
2536,600498.SH,烽火通信,通信设备,0.0,-4.3,31.94,0.01,3520984.4468
