,trade_date,up_count,down_count,up_limit_count,down_limit_count,limit_count_1,limit_count_2,limit_count_3,limit_count_4,limit_count_over5,max_limit_count,max_limit_stock
0,20200430.0,3068.0,633.0,78.0,11.0,47.0,16.0,6.0,6.0,3.0,9.0,603109.SH 神驰机电
1,20200320.0,2865.0,823.0,92.0,9.0,44.0,21.0,12.0,11.0,4.0,10.0,002953.SZ 日丰股份
2,20200319.0,2158.0,1529.0,66.0,20.0,22.0,21.0,9.0,6.0,8.0,9.0,300265.SZ 通光线缆
3,20200318.0,668.0,3017.0,51.0,9.0,17.0,11.0,13.0,3.0,7.0,11.0,300683.SZ 海特生物
4,20200317.0,1415.0,2269.0,65.0,24.0,20.0,20.0,12.0,4.0,9.0,7.0,300265.SZ 通光线缆
5,20200316.0,339.0,3344.0,46.0,189.0,14.0,13.0,4.0,2.0,13.0,10.0,002838.SZ 道恩股份
6,20200313.0,804.0,2878.0,62.0,26.0,19.0,16.0,12.0,8.0,7.0,6.0,603042.SH 华脉科技
7,20200312.0,583.0,3099.0,59.0,18.0,15.0,14.0,5.0,12.0,13.0,10.0,300683.SZ 海特生物
8,20200311.0,1058.0,2623.0,68.0,12.0,15.0,16.0,14.0,10.0,13.0,10.0,600550.SH 保变电气
9,20200310.0,2971.0,710.0,126.0,31.0,29.0,38.0,27.0,17.0,15.0,9.0,600550.SH 保变电气
10,20200309.0,579.0,3102.0,83.0,84.0,24.0,19.0,13.0,9.0,18.0,11.0,002838.SZ 道恩股份
11,20200306.0,1516.0,2165.0,99.0,3.0,27.0,22.0,15.0,10.0,25.0,10.0,600318.SH 新力金融
12,20200305.0,2925.0,756.0,141.0,1.0,56.0,32.0,18.0,12.0,23.0,10.0,600318.SH 新力金融
13,20200304.0,2441.0,1239.0,86.0,4.0,26.0,14.0,16.0,12.0,18.0,9.0,600318.SH 新力金融
14,20200303.0,2593.0,1086.0,103.0,0.0,31.0,26.0,23.0,9.0,14.0,8.0,600416.SH *ST湘电
15,20200302.0,3427.0,251.0,203.0,8.0,93.0,48.0,30.0,18.0,14.0,9.0,000004.SZ 国农科技
16,20200228.0,289.0,3387.0,49.0,298.0,13.0,11.0,13.0,3.0,9.0,8.0,000004.SZ 国农科技
17,20200227.0,1834.0,1842.0,93.0,25.0,23.0,33.0,10.0,16.0,11.0,8.0,600416.SH *ST湘电
18,20200226.0,1319.0,2355.0,84.0,110.0,32.0,17.0,20.0,4.0,11.0,10.0,002613.SZ 北玻股份
19,20200225.0,1126.0,2548.0,132.0,1.0,19.0,35.0,23.0,13.0,42.0,12.0,002239.SZ 奥特佳
20,20200224.0,2077.0,1597.0,168.0,3.0,47.0,41.0,25.0,21.0,34.0,12.0,002239.SZ 奥特佳
21,20200221.0,2285.0,1388.0,101.0,2.0,25.0,25.0,19.0,14.0,18.0,11.0,002239.SZ 奥特佳
22,20200220.0,3092.0,581.0,113.0,2.0,40.0,27.0,18.0,16.0,12.0,12.0,300160.SZ 秀强股份
23,20200219.0,1263.0,2410.0,87.0,18.0,31.0,26.0,10.0,11.0,9.0,9.0,002239.SZ 奥特佳
24,20200218.0,2754.0,918.0,134.0,2.0,40.0,35.0,26.0,10.0,23.0,11.0,300160.SZ 秀强股份
25,20200217.0,3469.0,202.0,160.0,13.0,68.0,36.0,24.0,16.0,16.0,10.0,300160.SZ 秀强股份
26,20200214.0,1628.0,2042.0,59.0,5.0,22.0,15.0,7.0,6.0,9.0,9.0,300160.SZ 秀强股份
27,20200213.0,856.0,2814.0,50.0,4.0,14.0,13.0,8.0,6.0,9.0,8.0,300160.SZ 秀强股份
28,20200212.0,3003.0,667.0,110.0,4.0,40.0,24.0,17.0,14.0,15.0,9.0,300051.SZ 三五互联
29,20200211.0,1409.0,2260.0,56.0,41.0,24.0,17.0,8.0,0.0,7.0,7.0,300654.SZ 世纪天鸿
30,20200210.0,2757.0,912.0,148.0,35.0,72.0,31.0,16.0,10.0,19.0,12.0,000700.SZ 模塑科技
31,20200207.0,2206.0,1462.0,168.0,7.0,53.0,38.0,32.0,14.0,31.0,10.0,600513.SH 联环药业
32,20200206.0,3314.0,351.0,242.0,4.0,85.0,63.0,35.0,31.0,28.0,12.0,000700.SZ 模塑科技
33,20200205.0,3153.0,511.0,169.0,12.0,64.0,39.0,35.0,14.0,17.0,12.0,000700.SZ 模塑科技
