,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
3336,603421.SH,鼎信通讯,通信设备,4.0,-2.889,-11.165,0.919,134132.2875
2591,600566.SH,济川药业,中成药,2.0,-5.601,-10.912,1.892,2677489.8252
1321,002875.SZ,安奈儿,服饰,1.0,-8.091,-8.091,0.711,71610.513
848,002387.SZ,维信诺,元器件,1.0,-6.885,-6.885,1.867,639723.8539
1293,002845.SZ,同兴达,元器件,1.0,-6.862,-6.862,0.102,145403.7142
1391,300003.SZ,乐普医疗,医疗保健,2.0,-3.449,-6.779,0.695,3294225.429
1955,300575.SZ,中旗股份,农药化肥,1.0,-6.732,-6.732,3.136,176425.9583
320,000802.SZ,北京文化,影视音像,3.0,-2.228,-6.541,0.596,521200.0744
1263,002812.SZ,恩捷股份,广告包装,4.0,-1.518,-6.025,2.051,651198.7719
1232,002778.SZ,高科石化,石油加工,2.0,-3.038,-5.991,0.674,173139.7585
151,000563.SZ,陕国投A,多元金融,1.0,-5.587,-5.587,8.284,1450828.7016
103,000504.SZ,南华生物,环境保护,2.0,-2.778,-5.48,0.151,413195.3573
1636,300250.SZ,初灵信息,软件服务,2.0,-2.75,-5.459,2.297,216692.1667
1183,002726.SZ,龙大肉食,食品,2.0,-2.666,-5.275,0.242,621144.4802
1593,300207.SZ,欣旺达,元器件,4.0,-1.283,-5.105,3.266,1224586.393
1239,002786.SZ,银宝山新,专用机械,2.0,-2.414,-4.783,7.594,351122.04
1929,300547.SZ,川环科技,橡胶,2.0,-2.379,-4.732,0.0,142369.9414
3420,603659.SH,璞泰来,化工原料,4.0,-1.138,-4.584,0.932,941262.82
3281,603305.SH,旭升股份,汽车配件,4.0,-1.13,-4.561,0.779,180111.1731
1470,300083.SZ,劲胜智能,元器件,1.0,-4.373,-4.373,0.305,410858.6088
1768,300384.SZ,三联虹普,纺织机械,2.0,-2.178,-4.309,0.429,255527.9991
1732,300346.SZ,南大光电,元器件,2.0,-2.172,-4.303,0.09,263726.1959
3545,603912.SH,佳力图,专用机械,2.0,-2.164,-4.287,0.946,172480.0
1713,300327.SZ,中颖电子,半导体,2.0,-2.141,-4.237,0.438,525791.5084
2790,600783.SH,鲁信创投,矿物制品,1.0,-4.116,-4.116,3.632,1401628.5506
1484,300097.SZ,智云股份,电器仪表,1.0,-4.08,-4.08,0.0,289444.3562
1331,002885.SZ,京泉华,元器件,2.0,-2.051,-4.067,2.166,100048.7982
2167,600053.SH,九鼎投资,多元金融,1.0,-3.894,-3.895,0.61,1001045.7072
1317,002870.SZ,香山股份,电器仪表,1.0,-3.868,-3.868,9.991,95405.36
3338,603444.SH,吉比特,互联网,1.0,-3.82,-3.82,0.407,620414.3266
1306,002859.SZ,洁美科技,元器件,2.0,-1.888,-3.785,0.955,378533.263
1804,300420.SZ,五洋停车,机械基件,2.0,-1.894,-3.754,1.418,268379.9639
1854,300470.SZ,日机密封,机械基件,2.0,-1.884,-3.734,0.256,422199.9936
1970,300590.SZ,移为通信,通信设备,2.0,-1.881,-3.733,2.493,287120.0
647,002185.SZ,华天科技,半导体,1.0,-3.671,-3.671,0.726,1182393.5984
685,002223.SZ,鱼跃医疗,医疗保健,2.0,-1.809,-3.594,0.047,1812825.356
2782,600775.SH,南京熊猫,通信设备,2.0,-1.802,-3.575,9.965,637574.764
3134,603005.SH,晶方科技,半导体,1.0,-3.49,-3.49,2.356,326211.0424
3385,603595.SH,东尼电子,元器件,2.0,-1.725,-3.425,6.8,199364.7348
3159,603032.SH,德新交运,公路,1.0,-3.418,-3.417,0.039,203939.208
1372,002930.SZ,宏川智慧,仓储物流,1.0,-3.406,-3.406,3.726,157488.87
51,000068.SZ,华控赛格,元器件,1.0,-3.376,-3.375,10.044,507362.4179
2198,600085.SH,同仁堂,中成药,2.0,-1.686,-3.346,0.0,3882632.3117
3322,603377.SH,东方时尚,汽车服务,4.0,-0.832,-3.322,0.619,860832.0
1472,300085.SZ,银之杰,软件服务,1.0,-3.286,-3.286,1.019,368941.5534
603,002141.SZ,贤丰控股,元器件,1.0,-3.282,-3.282,1.131,284563.776
423,000957.SZ,中通客车,汽车整车,1.0,-3.266,-3.266,9.325,403167.0387
1753,300368.SZ,汇金股份,专用机械,1.0,-3.264,-3.264,1.074,306381.8128
192,000617.SZ,中油资本,多元金融,1.0,-3.242,-3.242,1.499,330957.6192
2538,600503.SH,华丽家族,区域地产,1.0,-3.226,-3.226,1.538,634506.84
1778,300394.SZ,天孚通信,通信设备,1.0,-3.155,-3.155,1.14,508124.4008
3516,603866.SH,桃李面包,食品,2.0,-1.569,-3.116,0.601,2443960.818
952,002491.SZ,通鼎互联,通信设备,2.0,-1.565,-3.108,0.996,1073500.6141
3415,603650.SH,彤程新材,化工原料,2.0,-1.563,-3.107,0.707,125596.8
1212,002757.SZ,南兴装备,家居用品,2.0,-1.556,-3.09,0.0,286245.8663
2891,600895.SH,张江高科,园区开发,1.0,-3.083,-3.083,2.745,2550691.6889
1694,300308.SZ,中际旭创,电气设备,2.0,-1.549,-3.075,6.945,1051230.3549
117,000523.SZ,广州浪奇,日用化工,1.0,-3.07,-3.07,1.584,281509.407
2461,600390.SH,五矿资本,多元金融,1.0,-3.034,-3.034,1.564,433425.8593
749,002288.SZ,超华科技,元器件,1.0,-2.988,-2.988,2.899,454564.653
328,000813.SZ,德展健康,化学制药,2.0,-1.501,-2.98,1.251,961707.6453
2623,600600.SH,青岛啤酒,啤酒,2.0,-1.48,-2.944,0.237,2644471.7446
944,002483.SZ,润邦股份,工程机械,4.0,-0.739,-2.934,10.076,293327.5738
3116,601966.SH,玲珑轮胎,汽车配件,2.0,-1.472,-2.922,1.07,595944.3261
2417,600337.SH,美克家居,家居用品,2.0,-1.455,-2.895,2.982,776011.7279
1015,002555.SZ,三七互娱,互联网,1.0,-2.876,-2.876,1.354,1907481.254
